## Sheet: Sheet1
Observation | W | verse | Additional notes
the next day | when | John 2:1 | occurring the next day after v1:50-51
wedding celebration  | what | John 2:1 | the background for Christ's first miracle is the week-long celebration of the union between a husband and a wife
village of Cana | where | John 2:1 | a small village 8 miles north of Nazareth, a days walk from Capernum. Cana means "reed" modern day Khirbet Qana
in Galillee | where | John 2:1 | Jesus home province, a rural area in northern Israel
Jesus's Mother | who | John 2:1 | Mary, the virgin Mary, proposed to be wed to Joseph the Carpenter, never referred to by name in the Gospel of John
there | where | John 2:1 | there, meaning at the wedding mentioned at the beginning of v2:1
Jesus  | who | John 2:2 | Son of God, Savior of the World, son of Mary and Joseph
His Disciples | who | John 2:2 | Peter, Andrew, Phillip, Nathanel, and John (at least)
invited | what | John 2:2 | the bride & groom are not mentioned, but had to be close enough to Jesus' natural family to warrant invitations
the celebration  | what | John 2:2 | the final of the 3-stage wedding in the Bible, Contract, Consumation, Celebration (Gen 29:16-30)
wine supply ran out | what | John 2:3 | this constitued a serious offense against Jewish standards of hospitality in the day (Moody Bible Commentary) 
"they have no more wine" | what | John 2:3 | the phrasing of Mary's statement suggests that she was expectant that Jesus would do something miraculous
Woman or Dear Woman | who | John 2:4 | this is not a sign of disrespect, in those days "woman" was a respectful address, like "ma'am" today 
"my time has not yet come" | what | John 2:4 | illustrating that Jesus understood His life and ministry were set by divine will of the father and in His divine timing
the servants | who | John 2:5 | the servants of the wedding feast, also never named directly 
"do whatever he tells you" | what | John 2:5 | Mary clearly was expecting Jesus to do something miraculous and instructed the unnamed servants to participate 
stone water jars | what | John 2:6 | large stone vessels or "jars" that help about 20 or 30 gallons of water each
Jewish ceremonial washing | what | John 2:6 | this was not a washing for cleanliness, but more for legalistic or religious purification 
"Fill the jars with water"  | what | John 2:7 | Jesus instructions to the servants appeared mendane, not miraclulous / Jesus also using that which was sacred for service
when the jars had been filled | what | John 2:7 | Jesus waited until all six stone jars were filled, the filling of obedience led to the indwelling of the miraculous
to the master of ceremonies | who | John 2:8 | the person to whom the servants would report or serve under
followed His instructions | what | John 2:8 | though they didn't know the Savior, they followed His instructions and were the actual hands of the miracle
tasted the wine | what | John 2:9 | you have to "taste" or expierence the power of God to truly be impacted by it / taste and see that the lord is good (Ps 34:8)
not knowing where it came from | what | John 2:9 | the MC didn't know that the wine was miraculous, he only judged what he could tell with his own senses
called the bridegroom over | what | John 2:9 | it is the bridegroom, and not Christ, the is praised for the quality of the wine, often God's power is seen in the work of men
serves the best wine first | what | John 2:10 | a deceptive cultural practice of serving the "good stuff" first, then cheap stuff as the celebration went on & taste buds faded
kept the best until now | what | John 2:10 | the wine that Christ miraculously made was "better" than anyting served / Jesus is better than all our attempts to replace Him
revealed His glory | what | John 2:11 | the first miracle of Jesus wasn't "for" the actual reciptients, it was for His disciples and those who served at the wedding
His disciples believed | who | John 2:11 | upon seeing the supernatural power of Christ turn the ordinary water into extraordinary wine, they believed in Him
after the wedding | when | John 2:12 | after the (probably) week long feast had ended, then Jesus travelled 
Capernaum | where | John 2:12 | Jesus unofficial "headquarters" for His ministry, saw mulitple miracles and also garnished a strong rebuke (Matt 11:23-24)
Mother, Brothers, & Disciples | who | John 2:12 | Jesus travelled with both His natural family and His new spiritual family that He was building

## Sheet: Sheet2

## Sheet: Sheet3
