## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
when Jesus returned | when | Luke 8:40 | Luke is linking these next events with the healing of the demoniac in Geresa
Jesus returend | where | Luke 8:40 | Jesus crossed back over the Sea of Galilee from Geresa to Galilee, most likely Capernaum 
a crowd | who | Luke 8:40 | a large group of people, wanting to see Jesus, just the opposite of the crowd in the passage before this who asked Him to leave
Jarius, a synogogue leader | who | Luke 8:41 | a synogogue leader, this may mean a local Jewish leader, but not necessarily a member of the Sanhedron or Roman official 
fell at Jesus feet | where | Luke 8:41 | interesting this is the same action the demoniac took (v28) it is both a sign of submission and supplication 
his only daughter was dying | what | Luke 8:42 | this parallels the same situation as the widow whose son was restored to her (7:11-17)
girl of about 12 | when | Luke 8:42 | Luke tells us the age of the dying girl, but not her name 
on His way | when | Luke 8:42 | the healing of the "bleeding woman" happened on the way to heal Jarius' daughter
a woman | who | Luke 8:43 | like the daughter, the woman is never named, Luke focuses on her malady rather than her identity
bleeding for 12 years | when | Luke 8:43 | the woman had been suffering with her infirmity for as long as the little girl had been alive 
no one could heal her | who | Luke 8:43 | interestingly, Luke leaves out a detail from Mark's account, that she spent all she had on doctors and got worse (Mark 5:26)
came up behind him  | where | Luke 8:44 | hoping to be healed without making a scene, she approaches the Savior from behind seeking her healing 
edge of His cloak  | what | Luke 8:44 | this is most likely of the tassels on the outer wear of a Jew's clothing to remind them of the Law (Numbers 15:38-40)
who touched me | what | Luke 8:45 | Jesus is reconzing not just the casual bump from the crowd, but the true touch of faith from the woman seeking healing (v46)
Peter | who | Luke 8:45 | the brother of Andrew, a fisherman, one of the disciples / apostles, one of Jesus' "inner circle" (v51)
seeing… couldn't go unnoticed | when | Luke 8:47 | the woman seeing she wasn't going to be able to stay "under the radar" and now falls at Jesus feet like Jarius & the demoniac
prensence of all the people | what | Luke 8:47 | Jesus makes her healing a public point and also establishes she is now clean and able to be part of the community again 
daughter | who | Luke 8:48 | Jesus uses a term of relationship to describe this woman, she is now one of His "children" 
faith has healed you | what | Luke 8:48 | the literal word in the Greek mean "saved" and with the word "daughter" points to her salvation as well as healing 
while Jesus was speaking | when | Luke 8:49 | remember, the healing of this woman was on the way to the healing of Jarius' daughter 
daughter is dead | what | Luke 8:49 | the servant who came from the home believes that the daughter is dead, thus making her body also unlcean (Num 19:11)
don't bother the teacher | what | Luke 8:49 | clearly, the servant doesn't believe that Jesus can bring the girl back from dead, only to heal her sickness while she was alive
believe… she will be healed | what | Luke 8:50 | the word here again means "saved" believe and she will be SAVED, this also points to salvation in Christ
when he arrived at the house | when | Luke 8:51 | the culimation of v41 when Jarius pleads with Jesus to come to his house
did not let anyone go in | what | Luke 8:51 | Jesus kept the "crowd" at bay while he ministered personally to the family, only his closest three and family were there
she is not dead | what | Luke 8:52 | Jesus claims that the girl is not dead but merely "asleep"  the word used here in Luke (G2518) /ka-THYU-doe/ is never used
 |  |  | to describe death in the NT. Unlike the word Jesus uses in John to refer to Lazarus (G2837) /koi-MY-oh/ does refer to death
my child get up | what | Luke 8:54 | reglardless of the original state of the girl, at the spoken word of the Savior, she is fully and completely restored to health
not to tell anyone | what | Luke 8:56 | Jesus knew the frailty of the human heart, if too many Jews recognized His true Messiahship, they might try to make Him king
 |  |  | by force, which was NOT the Father's Will for Jesus' first incarnation 

## Sheet: Sheet2

## Sheet: Sheet3
