## Sheet: Sheet1
Observation | W | verse | Additional notes
Jacob | who | Gen 31:1 | the son of Isaac, husband of Rachel & Leah, father of the "12 Tribes" 
Laban | who | Gen 31:1 | father of Rachel & Leah, a trickster or swindler, a man who cheats 
Laban's sons | who | Gen 31:1 | the un-named brother's of Rachel & Leah, this is the first time they are mentioned
Jacob has robbed our father | what | Gen 31:1 | interesting how the blessings of God are seen by those who do not know Him
Jacob began to notice | what | Gen 31:2 | just as God used Esau's anger to drive Jacob TO Laban, the son's anger now drives him FROM Laban to head home
I will be with you | what | Gen 31:3 | a continuation of the promise the Lord gave Jacob in Gen 28:15, the Lord has been, is, and will be with him 
Rachel and Leah | who | Gen 31:4 | the daughters of Laban and now wives of Jacob
in the field | what | Gen 31:4 | the "inheritence" that Jacob was to take from Laban was the flock, also, it's possible Jacob didn't want to be overheard
he has cheated me | what | Gen 31:7 | another example of the character of Laban, he takes any and every advantage to gain benefit from a situation
changed my wages 10 times | what | Gen 31:7  | this must have taken place AFTER Gen 30:31-33  when the flock was decided as the "wage" for Jacob
God has not allowed him | what | Gen 31:7 | Jacob clearly sees God as his source of both blessing and provision
I am the God… | what | Gen 31:10-13 | God speaks to Jacob directly again, this is an example of the covanential realtionship Jehovah has with His people 
appeared to you at Bethel | what | Gen 31:11 | God reminds Jacob of the last time He spoke with him 
Get ready to leave | what | Gen 31:13 | God prepared Jacob for the coming relocation by telling him in advance to prepare 
He has reduced our rights | what | Gen 31:15 | as his character has shown, Laban cheated even his own daughters by removing their inheritence rights. 
never told… they were leaving | what | Gen 31:20 | as a means of getting out of Laban's cheating ways, they left without notifying Laban 
three days later | when | Gen 31:22 | the amount of time between Jacob leaving and Laban finding out Jacob left
decieiving me like this | what | Gen 31:26 | Jacob's name means "deceiver" now, after cheating Jacob, Laban is the one who feels "decieved" 
drag my daugthers away | what | Gen 31:26 | Laban's arrogance has him locked into a worldview that revolves around himself 
would have given a feast  | what | Gen 31:27 | Laban easily makes himself look better by saying what we "would have" done, but doesn't really have to do
kiss my daughters | what | Gen 31:28 | now he calls them "daughters" but they have already told us how we had reduced them to "foreign women" 
I could destroy you | what | Gen 31:29 | the self-absorbed arrogant man always sees himself as the strongest and most powerful in the room 
God of your father | what | Gen 31:29 | Laban correctly describes God as that "of your father" as Laban is outside of the Covanential relationship with Jehovah
stolen my gods | what | Gen 31:30 | Laban came all this way to seek his idols 
take your daughters by force | what | Gen 31:31 | Jacob clearly has a horrible impression of his father-in-law that he fears his wives would be taken by force ! 
if you find anything… | what | Gen 31:32 | Jacob's confidence of his own innocence is rooted in his faith in God, he has no need to plunder Laban, God has provided for him 
Laban searched | what | Gen 31:33 | notice the order Laban searched: Jacob's tent, then Leah's, then the servant wives, and searched Rachel last
what's my crime?  | what | Gen 31:36 | Jacob let Laban look, but once he didn't find anything Jacob starts getting mad, "what have I done" (that you treat me this way) 
For twenty years… | when | Gen 31:38 | now we get a chance to see how long Jacob has been with Laban, 14 years for the two wives and 6 for the "wage" of the flocks
God has seen your abuse | what | Gen 31:42 | Jacob knows that the blessing he has received are the justice of God Almighty for the treatment he suffered under Laban
everything you see is mine | what | Gen 31:43 | still Laban thinks that all that God has blessed Jacob with is somehow his
what can I do now?  | what | Gen 31:43 | Laban realizes that there is no proof for the charges that he has brought to Jacob's attention… he has lost 
so let's make a covanent | what | Gen 31:44 | Laban by offering to make a covanent basically recognizes that he has lost and he now wants to save face by offering a covanent
attributes of this covanent | what | Gen 31:44-53 | the name:  witness pile… the Lord would be a witness when they were away from each other
 |  |  | the terms:  don't mistreat my daughters… interesting since Laban had already devalued them, but still loved them perhaps
 |  |  | the terms:  boundary of safety… both Laban & Jacob agree to not cross this line to harm the other
 |  |  | the gods: Laban calls on TWO gods, Jehovah, the God of Abraham, and another god (possibly his idols) the God of Nahor
 |  |  | the seal:  JACOB not Laban offered a sacrifice to the one true God and they feasted together, the sealing of the deal on his own
Laban went home | what | Gen 31:55 | after not finding any reason to reposess any of the blessings of Jacob, Laban goes home

## Sheet: Sheet2

## Sheet: Sheet3
