## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
Jesus | who | Luke 17:1 | The Son of God, Son of Man, Promised Messiah, Savior of the World. Luke has also featured Him as a teacher and healer
his disciples | who | Luke 17:1 | the following teachings, while possibly being overheard by the audience of 15:1-2 are not directed at his disciples 
stumble / stumbling block | what | Luke 17:1 | lit. /SCAHN-de-lon/ (G4625) is the stick or trigger for a snare or trap. In context, causing someone to sin or walk away 
bound to come | what | Luke 17:1 | the Savior states very clearly that the journey of discipleship is going to have it's traps and snares
woe to anyone | who | Luke 17:1 | we should never be the cause of someone being ensared by sin or falling away from Christ
in the sea / millstone / neck | what | Luke 17:2 | this is a very illustrative way of saying being dragged to the depths of the sea and killed 
watch yourselves | who | Luke 17:3 | Jesus instucts His disciples to watch themselves, rather than the self-righteous who watch overs to inflate themselves 
brother or sister | who | Luke 17:3 | Luke as a companion of Paul would have had a similar understanding of the familial relationships between disciples 
sin-rebuke / repent-forgive | what | Luke 17:3 | the true disciple of Christ should exemplify God's character in forgiveness, not their own prideful judgment or grudge
even if they sin… | what | Luke 17:4 | this is not intended to mean that once someone sins against you eight times you can stop forgiving, but to always forgive 
the apostles | who | Luke 17:5 | the use of Apostle /ah-POS-stah-los/ is an anachronism, it is the use of something outside the normal timeline. In this 
 |  |  | case, the word Apostolos is used to describe the original Apostles, although they aren't apostles yet. 
Lord | who | Luke 17:5 | the disciples addressing the Savior use the word "Kyrios" /KOOR-ee-os/ meaning one who has authority over another 
increase our faith  | what | Luke 17:5 | the disciples seeing themselves as lacking as the Lord to miraculously increase their faith. Interesting, He doesn't. 
small faith | what | Luke 17:6 | the disciples had already 'measured' their faith and decided they didn't have enough, Jesus responds with this illustration
 |  |  | that the size of their faith isn't the issue, even a small amount of faith can do something impossible. 
servants and duty | what | Luke 17:7-10 | this is a curious saying that doesn't leave a lot of room for interpretation. The bold truth of this cuts to heart of religious
 |  |  | pride or entitlement. Jesus points out that when a servant has done all that the Master has instructed to do, there is no 
 |  |  | reward. It is the role of a servant to serve, not to be served. A true disciple should not expect any meritorious earning
 |  |  | for doing that which is already required of a servant. In other words, a servant's primary responsibility is obedience. 
 |  |  | There is also an illusion to the fact that the servant is never greater than the master. In the analogy, the master doesn't serve
 |  |  | the servant but the other way around. A servant should remember his role and not expect that master to serve him. 
way to Jerusalem | where | Luke 17:11 | Jesus' Journey to Jerusalem is mentioned in 9:51 and 13:22, Luke is crafting Jesus passion as His purpose for travelling
Samaria and Galilee | where | Luke 17:11 | the meeting of the top two parts of the snowman, Jesus is on the border between Jewish and Samaritan lands 
going to a village | where | Luke 17:11 | Luke places Jesus going TO A VILLAGE, this would be because the Lepers weren't allowed in the village, see Leviticus 13:46
10 men who had leprosy | what | Luke 17:12 | In the first centruy, the name Leprosy (Hanson's disease today) was used for multiple types of skin diseases
stood at a distance | where | Luke 17:12 | because they were considered unclean, they were not allowed to be close to anyone. This is likely why they were together
called out / shouted to Him | what | Luke 17:12 | because of the distance they needed to keep from the Savior, they had to yell to communicate
show yourselves… priests | where | Luke 17:14 | while the priest did not perform the healing, it was his responsibility to prounounce the lepers clean, see Levitcus 13
as they went | when | Luke 17:14 | this healing happened while they were travelling to the priest, this means they had the faith to obey before being healed
one of them | what | Luke 17:15 | one of the ten men healed returned to praise God, the others (presumably Jews) continuned on about their own way 
at Jesus feet | where | Luke 17:16 | this is a sign of worship to bow at the feet of another person, this healed leper is worshiping Jesus for the miracle
a Samaritan | who | Luke 17:16 | Samaritan and Jews hated one another in the first century. This is another instance of the "less likely" tax collectors and
 |  |  | sinners are coming to Jesus and the religious eilte are ignoring His message and mission. 
were not all ten cleansed? | what | Luke 17:17 | Jesus admits that all then lepers were cleansed, but only the Samaritan had the true heart of faith to come and worship 
made you well | what | Luke 17:19 | the literal word here is /so-zo/ and means to be saved from an impending destruction. This may allude to his salvation

## Sheet: Sheet2

## Sheet: Sheet3
