## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
Jesus | who | Luke 19:1 | The Son of God, Son of Man, Promised Messiah, A teacher and a healer, the Savior of the World 
Jericho | where | Luke 19:1 | the same city that Jesus was entering at the end of the previous chapter when He stopped to heal the blind man
passing through | what | Luke 19:1 | Jesus "set his face" toward Jerusalem (9:51) and this is part of the journey to His final week
Zacchaeus | who | Luke 19:2 | the two main details given about him are (a) tax collector and (b) wealthy, this allows Zacchaeus to be a foil of both the 
 |  |  | rich young ruler (a wealthy man) and the blind man (an outcast) from the previous chapter
wanted to see Jesus | what | Luke 19:3 | Zacchaeus is described as "wanting to see Jesus" this illustrates an element of faith in his heart when he heard Jesus
 |  |  | would be passing by, like the blind man from the previous chapter 
short man… crowd | what | Luke 19:3 | the crowd again plays a roll in keeping the outcast with true faith from getting to the Savior who saves them 
ran ahead… climbed a tree | what | Luke 19:4 | Zacchaeus not only "wanted" to see Jesus, but was willing to do something undignified (sitting in a tree) to see the Savior 
Jesus reached the spot | where | Luke 19:5 | the spot directly under the tree Zacchaeus had put himself into, Jesus looked up to see him 
I must stay at your house | what | Luke 19:5 | this is only time in recorded Scripure where Jesus invites Himself to someone's home
come down at once… gladly | when | Luke 19:6 | the speed at which Zacchaeus comes down from the tree further illustrates his excitement at the Savior's presence 
all the people  | who | Luke 19:7 | the religious people hated Zacchaeus because he was a tax collector, the poor hated him because he was a cheat (v8)
guest of a sinner | what | Luke 19:7 | first century religious culture dictated that one was judged by the company they kept, in the self-righteous view
 |  |  | Jesus is harming His own reputation by eating with "tax collectors and sinner" as in 15:1-2
Zacchaeus stood up | what | Luke 19:8 | this is likely because there is a gap of time during verse 6 where Zacchaeus led Jesus to His home, welcomed Him there
 |  |  | and then served a meal, this can account for the fact Zacchaeus "stood up" as in from the table and meal they were sharing
Look, Lord | who | Luke 19:8 | in speaking to Jesus, Zacchaeus uses the word /KUR-ee-os/ which is a military term for one having authority over another
my possessions to the poor | what | Luke 19:8 | here, Zacchaeus does spontaneously what the rich young ruler could not do in he previous chapter 
I will pay back four times | what | Luke 19:8 | Zacchaeus is identifying with the place of a theif by holding himself to a 4 times scale of repayment (Exodus 22:1) 
salvation has come | what | Luke 19:9 | the generous actions of Zacchaeus are the FRUIT of His salvation, not the MEANS by which he obtained it
son of Abraham | who | Luke 19:9 | this does not merely mean a physical descendant of Abraham, but also a faithful believer (Genesis 15:6)
seek and save what was lost | what | Luke 19:10 | this is a strong theme in the book of Luke, you can see it very clearly in the "Lost Parables"of Luke chatper 15
while they were listening | when | Luke 19:11 | this links the passage that follows with the preceeding text, Jesus gives this parable while in Zacchaeus' home
tell them a parable | what | Luke 19:11 | remember, a parable is NOT a factual event, it is a fictional story created by the Savior to teach a lesson
because… Kingdom of God | what | Luke 19:11 | the following parable deals with money and with the ruling of the Kingdom of God, it is in response to the hearts of 
 |  |  | those who are listening to Jesus at Zacchaeus' home and possibly the crowd mentioned earlier
man of noble birth | who | Luke 19:12 | this man represents Jesus, the King of Kings born of nobel birth and destined to rule Israel as the Davidic "forever king" 
went to a distant country | where | Luke 19:12 | this illustrates the time between the first and second comings of Christ, Jesus will be "gone" for a time and then return
10 servants | who | Luke 19:13 | this are the disciples, apostles, and ultimately anyone who serves in the Lord's Kingdom
10 minas | what | Luke 19:13 | a mina is one-sixtieth (1/60) of a talent, or about three months wages 
put this money to work | what | Luke 19:13 | there is a direct expectation on the part of the Savior that His servants will be working during His absense 
until I come back | what | Luke 19:13 | the work of the Lord's Kingdom will not end until He returns, His true servants must keep working until His return
his subjects hated him | who | Luke 19:14 | this represents the Jewish religious leaders who stirred up the people causing them to reject their rightful King
We do not want this man | what | Luke 19:14 | this is prophetic of the choosing of Barabas over the Savior that will occur shortly (John 18:40)
He was made King however | what | Luke 19:15 | God's sovereign plan was and is at work through the ministry and now Church of Jesus, He is the King and will be returning
sent for his servants… find out | what | Luke 19:15 | the servants of Jesus will have to answer for what they did with what they were given, it is called the Bema Judgment
Observation | W | Verse | Thoughts / Details
first one, earned 10 more | what | Luke 19:16 | it is important to note that unlike the parable of the talents (Matthew 25:14-30), all the servants in this parable are given
 |  |  | the same amount of money, though we each have our own unique gifts and abilities (talents parable) we also have a shared
 |  |  | group of tools like the Word, the Holy Spirit, the Church Body etc. 
take charge of 10 cities | what | Luke 19:17 | there is a direct link between the faithfulness and accomplishment of servants before the King's return and their assigned
 |  |  | duties after His return. The way we serve Him in this life will directly affect our position in the next life. 
five more… five cities | what | Luke 19:18-19 | this illustrates the same principle as the 10, the servant is given authority based on the product of his service
another servant | what | Luke 19:20-21 | what is valuable to note about this servant is that their description of the king is not wrong (v22), and that knowledge
 |  |  | is what ultimately classified him as a "wicked servant" however, unlike the parable of the talents, the consequences for
 |  |  | this servant is the mere revoking of the mina, presumably because Jesus is speaking of only saved servants
he already has ten | what | Luke 19:25-26 | the argument here is made from a position of equality equal fairness which is not accurate. All three servants started out
 |  |  | with the same amount. The first increased his holdings 10 fold, clearly he was a better manager than either of the other two
those enemies of mind | who | Luke 19:27 | presumably, these are the self-righteous religious elite who believe they know better than the One True King
kill them in front of me | what | Luke 19:27 | this likely represents the "death" of final judgment, all those who do not accept the Kingship of Christ will be cast out

## Sheet: Sheet2

## Sheet: Sheet3
