## Sheet: Sheet1
Observation | W | verse | Additional notes
Adam | who | Gen 4:1 | First created human, first man, first husband, major culpable agent in the Fall of mankind
sexual relations  | what | Gen 4:1 | Adam has sex with his wife. As they are married, this is not sin it is blessed by God
Eve | who | Gen 4:1 | First created female, first wife, minor culpable agent in the Fall of mankind
she became pregnant | what | Gen 4:1 | Adam & Eve's sexual union and subsequent pregnancy are in line with God's plan and blessing (Gen 1:28)
Cain | who | Gen 4:1 | the first born of Adam and Eve, also the first natural born human birth, God promised her a son (Gen 3:15)
I have made a man, the Lord | what | Gen 4:1 | the phrase "with the help of" is not in the Hebrew at all, Eve's expectation was that this son would be the promise messiah
Abel | who | Gen 4:2 | the second born of Adam and Eve, the younger brother 
when they grew up  | when | Gen 4:2 | this covers all of the time from Abel's birth to an undefined point when he is "grown" allows for expansion of population
Shepherd | what | Gen 4:2 | here is the first reference to a shepherd, following the Lord's direction man now tends/cares for domesticated animals
cultivated the ground | what | Gen 4:2 | Farmer, Cain following his father Adam, learned to culitvate the ground, the very curse the Lord set on Adam (Gen 3:17)
time for the harvest | when | Gen 4:3 | we see that man has already begun to use the cycle of crop growth to dictate time and 'season' of life 
worship God | what | Gen 4:3-4 | neither profession is prerrable at this point, both the farmer and the shepherd bring offerings to the Lord of their labors
accepted Abel, not Cain | what | Gen 4:4-5 | Cain's offering was NOT rejected because of it's nature, fruit & grain offerings were legitimate unde the Law (Lv 2:1-16)
why are you so angry?  | what | Gen 4:6 | just as He had done with his father, the Lord asks Cain a quesiton to which He already knows the answer 
you will be accepted if… | what | Gen 4:7 | Cain brought "some" of his crops, Abel brought the first and best, this is a heart issue of putting God first, not a blood issue
but if you refuse, then watch | what | Gen 4:7 | God offers us each the chance to "do what is right" but like Cain, sin is also waiting at the door eager to control us
let's go out into the field | what | Gen 4:8 | Cain's jealousy grew from an inner strife, to a verbal discourd, the hebrew implies "having words with" as the tone here
Cain kills Abel | what | Gen 4:8 | no sooner than one generation out of the garden and we're already seeing the effects of sin tearing apart a family 
where is your brother?  | what | Gen 4:9 | again, the Lord chooses a soft tone to speak to Cain, questioning him just as he did Adam in the garden with patient love
where is Abel?  | what | Gen 4:9 | God's patience with Cain suggests that he to was a believer and had a relationship with God
am I my brother's…? | what | Gen 4:9 | unlike his parents, Cain resists the Lord's inquiry and responds with a sarcastic comment to the Lord
blood cries out to me | what | Gen 4:10 | you can't keep your sin hidden forever, it will eventually "find you out" (Numbers 32:23) 
cursed and banished | what | Gen 4:11 | Sin always causes separation from God and usually also those whom we love 
anyone who find me | who | Gen 4:13 | gives evidence to the idea that there were indeed a much larger group than just the three of them on earth 
sevenfold punishment | what | Gen 4:15 | Even in His rebuke and chastisement of Cain, still loved him and protected him from human retribuation 
put a mark on Cain | what | Gen 4:15 | the mark was to signify the Lords protection, NOT the haneous nature of Cain's crime, nothing negative is expected of his kids
Cain left the Lord's presence | where | Gen 4:16 | though Cain's relocation was physical, he moved to the land of Nod, the move was also spiritual, sin took him away from God
Cain's wife | who | Gen 4:17 | Cain's wife was either his sister, niece, or other female relative. There is no record of another family, incest wasn't sin yet
Cain's descendants | who | Gen 4:17 | Cain > Enoch > Irad > Mehujael > Methushael > Lamech 
Lamech's descendants | who | Gen 4:20 | two wives: Adah > Jabal & Jubal     Zillah > Tubal-Cain & Naamah 
Jabal | who | Gen 4:21 | the first to raise livestock in tents 
Jubal | who | Gen 4:21 | the frist to play the flute and lyre 
Tubal-Cain | who | Gen 4:22 | became and expert in forging tools of bronze and iron
Seth  | who | Gen 4:25 | another son born to Adam & Eve
Enosh | who | Gen 4:26 | Enosh the son of Seth
At this time | when | Gen 4:26 | this is the first time that people worshipped the Lord by name 

## Sheet: Sheet2

## Sheet: Sheet3
