## Sheet: Sheet1
Observation | W | verse | Additional notes
Isaac | who | Gen 28:1 | the son of Abraham and Sarah, the second patriarch of the Hebrews, the father of Jacob and Esau
Jacob | who | Gen 28:1 | the son of Isaac, the third patriarch of the Hebrews, name will be changed to Israel (Gen 32:28) 
do not marry… | what | Gen 28:1 | just as Abraham had not allowed a local woman for Isaac (Gen 24:3) Isaac now requires a kinsmen wife for Jacob
Paddan Aram | where | Gen 28:2 | an area in northwest Mesopotamia 
Bethuel | who | Gen 28:2 | Jacob's maternal grandfather, the man to whom Rebekah gave as a wife for Isaac (Gen 24:50)
Laban | who | Gen 28:2 | Jacob's maternal uncle, the son of Betheul. Laban was also part of brokering Rebekah's betrothal to Isaac (Gen 24:50)
Isaac's blessing for Jacob | what | Gen 28:3-5 | It is clear that Isaac's blessing of Jacob is the continuation of the Abrahamic Covanent and not a mere human blessing
 |  |  | "blessing given to Abrham" - Isaac not only knows about the promise from God to his father, but knows Jacob is recipient
 |  |  | "possession of the land" - Isaac understands that as part of the Abrahamic blessing, Jacob will inherit the land
 |  |  | "now live as an alien" - Isaac understands that while they are living in the land, their family will eventually posess it
 |  |  | "God gave to Abraham" - all of these blessings are conditional on God's character, not his own paternal will 
Esau realized how displeasing | what | Gen 28:6-8 | while we are tempted to view Esau as the victim, his poor choice here illustrates why he is not the some of promise
 |  |  | as a last ditch effort to please his father, Esau marrys into Abraham's line, but sins further by taking another pagan wife
Haran | where | Gen 28:10 | an area named for Abram's brother, Haran (Gen 11:26), this showing further the link between Abraham and Jacob
reached a certain place | where | Gen 28:11 | in this time period, places were considered "holy" because a diety's power resided there, here we see it is not the place, as 
 |  |  | this place isn't even named yet, it is the person, Jacob. Yahweh is a personal God, not a residual one
stone under his head | what | Gen 28:11 | this doesn't necessarily mean a "stone pillow" the term "under the head" can also be translated "at the head" ie protection
stairway to heaven | what | Gen 28:12 | this is most likely a showing of power and provision of comfort to Isaac (the inside brother) angels working God's will
I am the Lord | what | Gen 28:13 | the Lord uses His covanent name, Yahweh, when He self-identifies to Jacob, this futher's the personal nature of it 
The God of your… | what | Gen 28:13 | God also let's Jacob know that He is the God who had relationship with both his grandfather and father
ground belongs to you | what | Gen 28:13 | Yahweh now reaffirms, or continues, His covanent with Jacob, the first promise mentioned is the land grant
descendants… numerous | what | Gen 28:14 | the second aspect of the Abrahamic Covanent that the Lord confirms with Jacob is the nation to come from his seed
all the… world… blessed | what | Gen 28:14 | the third major part of the Abrahamic Covanent now given to Jacob, the world will be blessed (through Jesus Christ) 
what's more… | what | Gen 28:15 | God doesn't stop with the tri-level promise that's been handed down, God offers Jacob specific blessings also
 |  |  | "I am with you" - God promises his presence, and by extension, his blessing in and on Jacob's life
 |  |  | "I will protect you" - God promises his protection, this would be meaningful seeing as Jacob was an "indoor" guy (Gen 25:27)
 |  |  | "I will bring you home" - God promises that Jacob's journey away from home will be limited and he'll return in God's time
 |  |  | "until I have finished" - God promses that His presence, provision, and protection will not fade 
The Lord is in this place | what | Gen 28:16 | this reflects the pagan belief at the time, namely that physical places were indwelt with a diety's presence (see note v11)
I wasn't even aware of it | what | Gen 28:16 | this is the first time in recorded Scripture where God has spoken with Jacob directly
gateway to heaven | what | Gen 28:17 | like the ancient pagans, we too can be distracted by the power of God and think it is related to a place or activity…
next morning… got up early | what | Gen 28:18 | a repeated theme in Genesis, when someone hears from the Lord, rising early was usual done  (Gen 19:27, 20:8, 21:14, 22:3)
a memorial pillar | what | Gen 28:18 | another common practice in the time by pagans, which later was adopted by the Hebrews of remembering a holy place
Bethel | where | Gen 28:19 | literally means "house of God"
If… then…  | what | Gen 28:20 | Jacob seems to be making a bargain with God, but seeing as God's Word never fails, he's making a commitment. 
present a tenth | what | Gen 28:22 | while tithing is not a mandanted form of worship yet, we see here it is already a common practice (Gen 14:20) 

## Sheet: Sheet2

## Sheet: Sheet3
