## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
Jesus | who | Luke11:14 | The Promised Messiah, second member of the Trinity, the Son of Man
a demon | what | Luke11:14 | a fallen angel, underling of Satan
when the demon left | when | Luke11:14 | Luke is tying the result of the man's healing to the moment when the demon releases him
man mute…spoke | what | Luke11:14 | this was proof of Jesus' divine healing by reversing the man's physical ailment
crowd | who | Luke11:14 | in the pattern Luke has established, Jesus healed a single person to teach a large crowd
was amazed | what | Luke11:14 | Luke is using the crowds reaction to illustrate the miraculous nature of what they just witnessed
some of them | who | Luke 11:15 | Luke gives a clear example that not all people respond to Christ the same way
 |  |  | this should help strengthen us in our efforts to share Jesus with others, even if some do not respond as the crowd did, we are 
 |  |  | still doing the work that God has called us to do. Even Jesus was rejected by the people
Beelzebub | who | Luke 11:15 | considered the "prince of demons," translated "lord of the flies" as in on a dung heap
driving out | what | Luke 11:15 | there are only two options when driving out demons. Either Jesus is using the power of God or the power of Satan
sign from Heaven | what | Luke 11:16 | there is a clealy established Biblical pattern that God could create signs in the Heavens above the Earth.
 |  |  | the Noahic covenant (Gen.9:12-13), the sun standing still for Joshua (Jos.10:12-14), the Nativity star (Matt.2:1-2)
kingdom…against itself | what | Luke 11:17 | Jesus is stating here that he is not using any demonic powers to perform His miracles. Satan would not drive out his own
by whom do your… | what | Luke 11:19 | Jesus is turning the accusation back on the critics using their own paradigm against them. If Jesus, the Son of God, is casting
 |  |  | out demons using Satan's authority, then whose authority were Jewish exorcists using?
finger of God | what | Luke 11:20 | Matthew uses "spirit of God" (Matt. 12:28). While using different wording, the meaning is the same, the power of God
kingdom of God near… | what | Luke 11:20 | Jesus is repeating the same message that He told the 72 to use when He sent them out as evangelists (Luke 10:9,11)
strong man | who | Luke 11:21 | Jesus is using the illustration of a strong man to describe Satan 
his own house/possessions | what | Luke 11:21 | this refers to anyone who doesn't belong to Christ. Since Eden, Satan has been the prince of this world (John 14:30)
 |  |  | until we are redeemed by Christ we belong to this world and thus belong under Satan's authority (original sin)
someone stronger | who | Luke 11:22 | Jesus is the someone streonger in this illustration. He is referring to when He defeats Satan and saves the souls of those 
 |  |  | willing to accept Him as their personal Saviour
divides up…plunder | what | Luke 11:22 | Once you have accepted Christ, you are His and His alone. There is no neutrality with God
he who is not… | who | Luke 11:23 | this goes with Luke 9:50 in further illustrating there is no neutral spiritual authority. You either belong to Satan or to Jesus
swept clean…in order | what | Luke 11:25 | when the demon returns to its former host, it finds that nothing has replaced the hole it had left. The house is not under new
 |  |  | ownership. This illustrates the neccessity for discipleship after deliverance
worse than the first | what | Luke11:26 | having not been filled with the Spirit of God, the demon not only returns, but brings more demonic bondage, further 
 |  |  | damaging the soul of their inhabitant
as Jesus was saying | when | Luke 11:27 | Luke is tying the events of His teaching to the praise given by the woman
a woman | who | Luke 11:27 | the lack of details given by Luke show us that who she is isn't the focus, we should be focusing on what she says
blessed is the… | what | Luke 11:27 | the woman is focused on the familial tie between Mary and Jesus as the conduit for God's blessing
rather are those | what | Luke 11:28 | Jesus corrects the focus back to hearing and obediance, not familial relationship

## Sheet: Sheet2

## Sheet: Sheet3
