## Sheet: Sheet1
Observation | W | verse | Additional notes | 
some time later | when | Gen 48:1 | this links the events of the chapter to the ending of the previous chapter which prepares for it (Gen 47:28-31) | 
your father is ill | what | Gen 48:1 | the information that Jacob is ill (while being very old) drives the events of this chapter.  | 
He took  | who | Gen 48:1 | the "favorite" son Joseph  | 
Manasseh and Ephraim | who | Gen 48:2 | the two sons of Joseph who will soon be elevated to a higher status in the clan  | 
when Jacob was told… strength | what | Gen 48:2 | again we see the emotional response Jacob has to his "favorite" son Joseph coming to see him in his old age | 
God Almighty | who | Gen 48:3 | the Hebrew name for God used here is El Shaddai, it's meaning is that of the great, powerful, and awesome God.  | 
 |  |  | interestingly, this term is also associated with the previous two partriarchs as well, Abraham (17:1), and Isaac (28:3) |  
 |  |  | as well as Jacob himself (35:11) in all three of these instances, the context is the covanential relationship with God, as  | 
 |  |  | Jacob repeats again here. This provides the conext for this passage, it is not just about fatherly blessing, but patriachral  | 
 |  |  | lineage and relationship as part of God's covenant people  | 
I will make you… descendants | what | Gen 48:4 | Jacob repeats the covenant promises made by God to himself, his father and grandfather before speaking to his grandsons | 
will be reckoned as mine | what | Gen 48:5 | Jacob elevates the status of Ephriam and Manasseh to "full son" status equal to that of his other sons Reuben & Simeon | 
 |  |  | with the covenant already repated and dominating the theme of this chapter, clearly, Jacob is saying that the Egyptian | 
 |  |  | born sons of Joseph would be covenant inheritors like that of their uncles  | 
any children born after | who | Gen 48:6 | Jacob makes sure that this elevation of status for the two sons of Joseph is not misunderstood. Only the two named sons | 
 |  |  | will have this new status, any more children born to Joseph will be his and not Jacob's | 
to my sorrow… Rachel | who | Gen 48:7 | Jacob remembers painfully the "favorite" wife of his life as he looks upon her son and grandsons | 
sons God has given me | what | Gen 48:9 | Joseph, having never waivered in his faith also sees his sons as gifts from God as part of His plan  | 
so I may bless them | what | Gen 48:9 | Jacob's intention here is to bless the sons of Joseph, before the blessings given to his other 11 sons next chapter  | 
 |  |  | this too may again illustrate Joseph's favored position among his brothers still  | 
I never expected to see… | what | Gen 48:12 | Jacbos never thought he would see the face of his favorite son again, and through the plan and blessing of God he is  | 
 |  |  | not only able to see his son, but his grandsons as well | 
right hand / left hand | what | Gen 48:13-16 | the "switching" of Jacob's hands is not an accident. He does this intentionally in keeping with patriarchal tradition | 
 |  |  | the younger son is blessed more than the older. Ephraim would go on to be a powerful tribe in the Northern Kingdom (Hos 5:3) | 
Joseph was displeased | what | Gen 48:17-18 | Joseph, thinking his father was too old or blind to know the difference between his sons tries to correct Jacob.  | 
"I know my son, I know" | what | Gen 48:19 | Jacbo correctly Joseph lovingly, he as the father knows exactly what he is doing, it is not accident, but providence | 
my God make you like… | what | Gen 48:20 | before giving blessings to his other children, Jacob gives a place of prominence to the sons of Joseph | 
I am about to die | what | Gen 48:21 | Jacob sensing the end of his life informs his favorite son that his life is ending soon, but that Joseph would once again see the  | 
 |  |  | land of his own people, that which has been denied to him to so many years  | 
I will give you one more…. | what | Gen 48:22 | Jacob again blesses out of order by giving Joseph the "double portion" intended for the firstborn son. This birthriht should  | 
 |  |  | not be confused with the Messianic blessing that will be given to Judah in the next chapter. Joseph remained the favorite | 
 |  |  | son, but even this did not change God's plan for the redemption of His people and the blessing of the whole world.  | 

## Sheet: Sheet2

## Sheet: Sheet3
