## Sheet: Sheet1
Observation | W | verse | Additional notes
ready to leave | when | Gen 44:1 | Joseph waited until the brothers were ready to leave Egypt again before enacting the next part of his plan
Joseph gave the instructions | what | Gen 44:1 | the "silver cup" test was designed and orchestrated by Joseph, just like the questions (42:7) and the returned money (42:28)
his palace manager | who | Gen 44:1 | as previously (Gen 42:23) Joseph used his position as governer to keep an egyptian directly between he and his brothers
as much as they can carry | what | Gen 44:1 | Joseph's provision for his family was the maximum that they could carry, blessing is in abundance
put each man's money back | what | Gen 44:1 | again Joseph returns the money to his brothers, another blessing that they will misunderstand
personal silver cup | what | Gen 44:2 | Joseph singles out Benjamin by having the "stolen" item appear in his bag, further testing his brothers
up at dawn | what | Gen 44:3 | as with many other times in Genesis, the first light of day was the time to set out, no waiting was needed
barely out of the city | where | Gen 44:4 | Joseph allowed the brothers to get far enough away that they showed they left the city
kindness for evil | what | Gen 44:4-5 | Joseph has setup Benjamin to take the fall for a crime he did not commit, just like him with Potiphar's wife
 |  |  | this test also tested the brothers love of their youngest member, Joseph's favorite 
we would never do such a thing | what | Gen 44:7 | the brothers are telling the truth, they would never steal from the only man that can supply them necessary food
return the money | what | Gen 44:8 | the palace manager may be the same man as 43:19 to whom they returned the money, surely he would know their character
let him die, us be slaves | what | Gen 44:9 | the level of severity here only futher illustrates the depth of their belief in their own innosence 
only the one who stole the cup | what | Gen 44:10 | Joseph has clearly setup the circumstance to single out and bring Benjamin to him as well as test the hearts of his brothers
searched oldest to youngest | what | Gen 44:12 | again as at the meal before, the palace manager searched in birth order, another hint as Joseph's identity
tore their clothing | what | Gen 44:13 | this was a sign of extreme stress, grief, and worry in this time period 
still in his palace | where | Gen 44:14 | Joseph chose the place of his own home, all be it a palace, to question his brothers
what have YOU done | what | Gen 44:15 | Joseph blames his brothers, knowing full well they are innocent,
Judah stepped forward | who | Gen 44:18 | here we see Judah step into the "saving" role by standing between a "guilty" Ben and the ruling authority
his father would die | what | Gen 44:22 | Judah points out that Benjamin is Jacob's favorite, this had to remind Joseph of himself. 
I guaranteed to my father | what | Gen 44:32 | Judah became the guarantor of the of safe return for Benjamin, like Christ is our guarantor of everlasting life
Judah as a Messianic type |  |  |  
 |  |  | Judah becomes the guarantor, literally "surety" H6148 for Benjamin. This word can also mean "mortgage" or "exchange" 
 |  |  | in dealing with Tamar, Judah unknowingly provided surety for her with a seal, cord, and walking stick (Gen 38:25)
 |  |  | in this chapter, Judah takes the lead in speaking to Joseph (18) and willingly provides himself as the surety (33)
 |  |  | the outcome of his surety is the restoration of a son to his father (33) and the pleasing of a father's heart (34)

## Sheet: Sheet2

## Sheet: Sheet3
