## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
someone in the crowd | who | Luke 12:13 | which crowd? The one that gathered in verse 1, Luke is continuing the same thought, there is no break from last week 
teacher (Jesus)  | who | Luke 12:13 | the literal word here is G1320 /day-dosk-a-los/ which means specifically a teacher of the things of God 
tell my brother to divide | what | Luke 12:13 | what we have here is clearly a civil or legal issue of inheritance, according to OT Law, the first born was to receive a 
 |  |  | double portion of the inheritance from the father (Deuteronomy 21:17). Interestingly, we aren't told how many brothers
 |  |  | are in this inheritance, which brother it is, or any other detail of the execution of the estate. Because it's not necessary. 
who appointed me judge | what | Luke 12:14 | Jesus is in fact, the Savior and will judge the Church, but it was not God's plan for the Savior to be an arbitor of civil affairs
 |  |  | Jesus was not going to accept the distration from His heavenly mission because that was of greater importance
 |  |  | also… Jesus had no civil authority, even if He had elected to give a judgment, it would not have been civily binding
Be on your guard | what | Luke 12:15 | the human condition has not changed since the days of Christ, we must also be watchful and mindful of the state of our hearts
all kinds of greed | what | Luke 12:15 | greed is the sin of always needing more, or said another way, never being satisfied… with what God has provided 
life does not consist | what | Luke 12:15 | the purpose of the life of the believer is not to amass "stuff" but to glorify God and accomplish His will 
abundance of possessions | what | Luke 12:15 | this verse is not to be used to validate the "poverty Gospel" that being poor is more Godly, Jesus is talking about neededing
 |  |  | to have abundance or to be distracted by abundance is not the same thing as owning possessions or having provison 
this parable | what | Luke 12:16 | the following story is fictional, the people are not real, the purpose is the intended teaching of the story, not the details
the ground | what | Luke 12:16 | the GROUND is what yielded the abundance, not the man himself. It was God who blessed this man with abundance
certain rich man | who | Luke 12:16 | the only detail the Lord provides about the man is his wealth, making this the central point to which He is going to teach 
abundant harvest | what | Luke 12:16 | all farmers receive harvest for their work, but the amount of it is always up to God, farming is an act of faith and diligence
he thought to himself | what | Luke 12:17 | the rich man did not seek any wisdom or guidance from the Lord or counsel, he only consulted himself
no place to store my crops | where | Luke 12:17 | the desire to store the abundant crops is not a bad thing, arguably this is good stewardship, yet, because it was driven by 
 |  |  | greed and not godliness, it is still not a good example to follow
this is what I will do | what | Luke 12:18 | again, the rich man cares only for himself, his plans, his desires, his comfort, there is no concern for Godliness at all 
my surplus grain | what | Luke 12:18 | notice the rich man took full credit for the abundant harvest as if he had made it happen, thus the produce was all his 
take like easy… | what | Luke 12:19 | because of his self focused attitude, he assumes that all of the harvest was intended for his own comfort and pleasure
you fool! | what | Luke 12:20 | the man is a fool because his life plan didn't include God, he only planned for and considered himself
life will be demanded of you | what | Luke 12:20 | our very lives are gifts from the Lord, we did not have control over our birth and do not set the day of our death either 
but is not rich toward God | what | Luke 12:21 | the problem was not that the man received a blessing or wanted to store it in good stewardship, the fault of this rich man 
 |  |  | was that in the reception of his blessing, he thought not for God or what God would have him do with his blessing
said to His disciples | who | Luke 12:22 | Jesus then turns from the parable to again teach his disciples about Kingdom life 
do not worry | what | Luke 12:22 | this is the central theme of this teaching and is stated here and then repeated again in verses, 25, 26, and 29
life is more than food | what | Luke 12:23 | Jesus takes the background of the "rich fool" and then expands further to illustrate that even worry over basic necessities
 |  |  | is not necessary for the life of the believer, God is still the Jehovah Jireh (God, my Provider) 
body is more than clothes | what | Luke 12:23 | today not much has changed, we are still distracted and pulled away into too many concerns over clothing and dress
consider the ravens | what | Luke 12:24 | the raven was considered an unclean animal (Leviticus 11:15) and could not be touched or eaten, yet the Lord uses it to teach
how much more valuablle | what | Luke 12:24 | again, Jesus uses a lesser to greater argument to illustrate our value as people against the provision of the ravens
can add a single hour | what | Luke 12:25 | worrying in effect can add nothing to life, it does not produce anything accept contempt and is not for the Godly
since you can not | what | Luke 12:26 | again we see another lesser to greater argument, since we can't add even and hour to our life, why worry about big things
consider the flowers | what | Luke 12:27 | Jesus used the ravens to illustrate God's provision of food, and now the flowers to illustrate God's provision of beauty
they do not… yet Solomon | who | Luke 12:27 | as an extreme example, Jesus shows that the flowers don't work, and yet even the richest man alive wasn't as well clothed
Observation | W | Verse | Thoughts / Details
don't set your heart | what | Luke 12:29 | while food and drink are necessary for life, the connotation used here is that of eating and drinking for pleasure
Heavenly Father knows | who | Luke 12:30 | one of the greatest reasons to let go over worry is that it trying to take back control of God as if He is not aware of our needs
seek His Kingdom | what | Luke 12:31 | there is a clear imperative for the Kingdom of God to be the primary priority, not our own empire, comfort, and pleasure 
will be added to you | what | Luke 12:31 | seeking God will bring about blessing, but we are then responsible to put God first in the blessing and not be distracted 
do not be afraid | what | Luke 12:32 | fear is another major motivator of worry, fear and faith are both the sure belief and action based on something unseen
pleased to give you  | what | Luke 12:32 | God our Father does enjoy giving good gifts to His children (Matthew 7:11) yet, we are not always worthy of them 
sell and give | what | Luke 12:33 | taken in context, this does not mean to sell ALL and give ALL,  but that fear of provision should never hinder us from doing
 |  |  | an act of ministry for someone who is in need or is less fortunate than us.
provide for yourselves | what | Luke 12:33 | there is a direct link between the faith in provision we use in this life and the rewards Christ will offer in the next
there your heart is also | what | Luke 12:34 | it has been said if you want to see someone's priorities, look at their checkbook. We must trust God first and in money second
 |  |  | that said, we must be good stewards of the resources God gives and not be wasteful either, His Kingdom expansion is 
 |  |  | carried on the backs of our income and obedience to give it back to Him 

## Sheet: Sheet2

## Sheet: Sheet3
