## Sheet: Sheet1
Observation | W | verse | Additional notes
when Isaac was old | when | Gen 27:1 | `
Esau | who | Gen 27:1 | the first born son of Isaac, the favorite of his father, a man of the field, he was a hunter / outdoorsman
my son, yes father | what | Gen 27:1 | the commuication here is intimate. This illustrates the closeness of the father and son
don't know when I may die | what | Gen 27:2 | the motivation of Isaac is the fear of death, he wants to pass on the blessing before he dies
hunt game / favorite dish | what | Gen 27:3 | Esau's mission was to hunt wild venison and prepare a meal with this protein
blessing belongs to you | what | Gen 27:4 | the blessing does not belong to Esau, he sold it to Jacbo for a bowl of soup (Gen. 25:33)
Rebekah | who | Gen 27:5 | the wife of Isaac, from the land of Ur in Mesopotamia, brought back to be Isaac's wife
Jacob | who | Gen 27:6-8 | the second born son of Isaac, held his brother's heal when he was born, he is the son of promise
I heard / listen to me | what | Gen 27:6-8 | Rebekah's motivation is clearly to insure that her son (her favorite) receives the blessing from Isaac
two goats / favorite dish | what | Gen 27:9 | Rebekah's plan is to prepare the goat to taste like venison this deption is not only in word, but in deed as well 
Esau is a hairy man | what | Gen 27:11 | Jacob's first objection to the deceptive plan is that he can not pass for his brother
curse me instead | what | Gen 27:12 | Jacob's second objection to the deceptive plan is if they fail, he would incur a curse in place of a blessing
let the curse fall on me | what | Gen 27:13 | Rebekah accepts the full responsibility for the curst that Abraham might give 
the way he liked it | what | Gen 27:14 | Rebekah form fashioned the meal (of goat, not venison) to be to Abraham's liking, it was designed for him
clothes, hair, food… | what | Gen 27:15-17 | The level of deception that Sarah shows here is not "accidetal" it is clear that she wants to deceiebve completely
It is your firstborn | what | Gen 27:19 | Jacob's statement is not a total lie, he bought the birthrite from his father earlier, he is (for legal purposes) the heir
find so quickly? | what | Gen 27:20 | Isaac realizes it should have taken longer to find, stalk, kill, clean, return, and cook the meal
come closer… | what | Gen 27:21 | Isaac knows the difference between his sons and wants to confirm with his physical senses it is Esau
smell of his clothes | what | Gen 27:27 | Isaac has one more test to identify Esau, the smell of his clothes, illustrates the importance of the blessing
dew of heaven/richness earth | what | Gen 27:28 | this blessing is on the ability to produce crops, the same blessing Isaac had expiereinced. (Gen 26:12)
masters / servants | what | Gen 27:29 | the second part of the blessing has to do with preeminence and position. This is more than monitary, it's political
almost before… | when | Gen 27:30 | Jacob gets in and out of decieving his father with little time to spare before his brother returns
blessing must stand | what | Gen 27:33 | despite the deception, the blessing Isaac gave to Jacob would stand
what about me?  | what | Gen 27:34 | Esau realizing he has lost his blessing cries out, yet he willingly gave it away shortly before? 
away from richness/dew | what | Gen 27:39 | Esau and his descendants (Edomites) would be come desert dwellers, this is the "far" from rich soil and dew
then I will kill my brother | when | Gen 27:41 | Esau doesn't want to bring any stress on his father, so he decides to wait until Isaac dies to take his revenge
Rebekah heard… | when | Gen 27:42 | again we see a repeat of Rebekah "over hearing" what is going on. Can illude to her busy-body nature in the home
tired of local women… | what | Gen 27:46 | Rebekah uses the dislike of local women to move her favorite son to safety, also bring Jacob to his future wife

## Sheet: Sheet2

## Sheet: Sheet3
