## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details | 
after we had torn… away | When | Acts 21:1 | Luke connects the events of this chapter with the heartfelt goodbye at the end of the last.  | 
put out to see and sailed | where | Acts 21:1 | the travel narrative resumes as Luke brings us through several ports quickly  | 
From Kos to Tyre | where | Acts 21:2-3 | Luke mentions Kos, Rhodes, Patara, and then the longer leg ending at Tyre, they are now back in Syria  | 
sought out the disciples | who | Acts 21:4 | when the group landed in Tyre, they sought out disciples to commune with and find lodgings | 
stayed seven days | when | Acts 21:4 | aparently, the ship took a full seven days to unload its cargo in Tyre and this gave Paul and the delegates time to meet | 
 |  |  | with and undoubatbly worship with the disciples there in Tyre as they did in Troas | 
through the Spirit… | what | Acts 21:4 | here is another instance of the word "pneuma" which can be translated as 'human spirit' or 'Holy Spirit' depending | 
 |  |  | on one's reading of the context. I (Pastor Bill) believe the more adequate reading is Holy Spirit. This does not need to | 
 |  |  | be the Holy Spirit telling Paul not to go, but merely warning him of what awaits him, and the other disciples then  | 
 |  |  | pleading with him (v12) to not go and avoid the difficulties that the Spirit is predeciting | 
time to leave | when | Acts 21:5 | the time to leave was when the ship they were traveling on was ready to depart  | 
WE left and continued | who | Acts 21:5 | the inclusion of the 'WE' in this verse illustrates that Luke was traveling with Paul at this point in the narrative  |   
all of them… wives & children | who | Acts 21:5 | the church in Tyre was in unity to see Paul and his companions off to Jerusalem | 
reached Caesarea | where | Acts 21:8 | Paul reaches the city where the Spirit was first given to the gentiles (Acts 10)  | 
Phillip the Evangelist | who | Acts 21:8 | this is the same as one of the seven chosen to serve the Hellenistic Widows in Acts 6 and ministered in Acts 8 | 
four daughters… prophesied | who | Acts 21:9 | this is the only detail given about Phillip's daughters. Some have tried to argue that the prophesy found in the NT | 
 |  |  | is somehow secondary or sub-standard to the prophets of the OT, this is not the cause. It is the same Spirit speaking | 
a prophet named Agabus | who | Acts 21:10 | this is the same prophet from Acts 11:28 who predicted the famine | 
came down from Judea | where | Acts 21:10 | Luke does not mean down as in 'south' as we would say it today, but rather down in elevation to the coast | 
the people pleaded with Paul | who | Acts 21:12 | the disciples, after hearing the warnings of the Spirit urge Paul not to go to Jerusalem. This is not the Holy Spirit but  | 
 |  |  | the 'human spirit' of the believers asking him not to go | 
why… breaking my heart | what | Acts 21:13 | Paul clearly understood that he needed to follow the Spirit's leading and consider His warnings, obedience dictated  | 
 |  |  | he must go to Jerusalem despite what would face him there  | 
I am ready | what | Acts 21:13 | Paul's faith-filled attitude rings with a determination to follow Christ's plan into the hardhships that awaited him  | 
would not be disuaded | what | Acts 21:14 | despite the well-meaning friends and disciples, Paul had to defend his following the Spirit and tell his friends to let him go | 
the Lord's will be done | what | Acts 21:14 | finally, the disciples rejoin Paul in their understanding, that it was the Lord's will and not theirs to be done | 
after this | what | Acts 21:15 | after the two scenes of warnings and Paul illustrating his faith is determined to go to Jerusalem  | 
started… up to Jerusalem | where | Acts 21:15 | travelling to Jerusalem required them to go UP in elevation from the coastal city of Caesarea | 
home of Mnason | where | Acts 21:16 | this is the sole reference to this person in the Scriptures all we are told is his place of origin and his faith in Christ  | 
 |  |  |    | 

## Sheet: Sheet2

## Sheet: Sheet3
