## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
day of unleavened bread | what | Luke 22:7 | by the time of the first century, the feasts of Passover, Unleavened Bread, and Firstfruits were all one celebration Nisan 14-21
Passover lamb | what | Luke 22:7 | the Passover Lamb was a literal lamb that was slaughtered and prepared  for the Passover meal, which was in remembrance 
 |  |  | of the "passing over" of the angel of death in the Exodus narrative in Exodus chapter 12
Jesus | who | Luke 22:8 | the Son of God, Son of Man, Promised Messiah, Savior of the World, the final Passover Lamb
Peter and John | who | Luke 22:8 | two of the "inner three" disciples among Jesus 12, they were with Him at His transfiguration (Matt 17:1), Jesus also took 
 |  |  | them into the house of Jairus to witness the healing of his daughter (Luke 8:51), now trusts them to prepare the meal
go and make preparation | what | Luke 22:8 | this was no small task, as the piety of the group was on the line to celebrate the meal correctly 
where do you want us… | where | Luke 22:9 | notice the disciples do not ask how to prepare, this means they understood the task and the responsibility, and trusted
 |  |  | the Lord's provision to have all they needed at hand. 
man carrying a jar of water | what | Luke 22:10 | this would have been an odd site, as the carrying of water was considered "woman's work". This also is not likely a 
 |  |  | prearranged symbol, but is rather another example of Christ's divine omniscience. 
house that he enters | where | Luke 22:10 | this place was most likely a "room for rent" as during the three primary festivals a year, all Jewish men were required to
 |  |  | travel to Jerusalem. Many homes had a room prepared and ready to rent for the express purpose of observing the feasts
 |  |  | this is likely a pre-arranged place previously taken care of by the Savior, though not mentioned in the Scriptural account
the teacher asks | what | Luke 22:11 | if we see the room and home as pre-arranged, then the Lord's question is not rude or impertinent, but merely an inquiry 
 |  |  | the use of only the term "teacher" may imply the owner of the house was familiar with the Lord and His nickname 
Large room… all furnished | where | Luke 22:12 | this further illustrates the preparedness of the owner to have the room ready at the time of the Passover for the required meal
when the hour came | when | Luke 22:14 | this is not the hour of the Lord's suffering, but rather the hour of the beginning of Passover, or sunset to begin the meal 
eagerly desired | what | Luke 22:15 | the Lord here reveals His heart, in desiring to eat this meal, as a pious Jew, but also with His trusted apostles 
before I suffer | when | Luke 22:15 | again, Jesus sees His coming passion, death, and resurrection as foregone conclusions. They have been divinely scheduled
 |  |  | to accomplish the Lord's will. 
finds fulfillment | what | Luke 22:16 | the sacrifice of Jesus on the cross of Calvary is the final fulfillment of the foreshadowing of the Passover Lamb
after taking the cup | what | Luke 22:17 | Luke's account only mentions two cups, however, in the traditional Passover meal, there were actually four distinct cups
 |  |  | used to remember Jehoavah's promises to His people in Exodus 6:6-7. 
he took bread and broke it | what | Luke 22:19 | the Lord here adds the bread as a symbol for the Christian community to remember His broken body that would happen shortly 
after supper… took the cup | what | Luke 22:20 | The four cups used in the Passover meal are the cups of Sanctification, Praise, Redemption, and Acceptance.
 |  |  |  Scholars debate which cup the Savior used for the institution of Christian communion. It is our (Pastor Bill and Zack) opinion
 |  |  | that the Savior likely used the third cup, the cup of Redemption (I will redeem you from Ex 6:6) because that is what Christ 
 |  |  | in fact did by the shedding of His blood which is what we are to remember in the cup of Christian Communion 
going to betray me | who | Luke 22:21 | the betrayal of the Lord is already known to Him by His divine omniscience
as it has been decreed | what | Luke 22:22 | the death and resurrection of Christ is an appointed action that will happen by the sovereign will of God
woe to that man | what | Luke 22:22 | there is debate over Judas' culpability in his betrayal of the Christ, here the Savior seems to indicate Judas' guilt is his 
 |  |  | alone, this would have to suggest, that the ultimate choice to betray the Savior was also Judas' alone
began to question… greatest | what | Luke 22:23-24 | I (Pastor Bill) see these two verses as two ends of the spectrum on which the disciples were attempting to rank themselves 
 |  |  | they were debating which was the "worst" (the one who would betray) and which was the best (the most devout) 
lord over them | what | Luke 22:25 | Jesus illustrates that authority in the world's standard is seen by oppressive measures, the "benefactors" were in fact 
 |  |  | more dictators and tyrants than they were servants. 
not like that… one who serves | what | Luke 22:26 | Jesus using a reverse analogy, teaches His disciples that "greatest" in His Kingdom would be the one who serves, not rules
is greater… I am among you | what | Luke 22:27 | Jesus here uses His own actions (i.e. the washing of the disciples feet in John 13:1-17) as the example of Godly leadership 
stood by me… my Kingdom | what | Luke 22:28-29 | the disciples have witnessed the Lord's ministry first hand and would also inherit the Kingdom to come from it 
12 thrones judging | what | Luke 22:30 |  this likely refers to the 12 thrones judging the nation of Israel referenced in Revelation 20:4
Simon, Simon | who | Luke 22:31 | the repeating of Peter's old name illustrates the seriousness  and compassion by which Jesus is speaking to His disciple
Satan | who | Luke 22:31 | the Father of Lies, fallen angel, enemy of God, tempter, deceiver, he who has set himself against the will of God 
sift YOU as wheat | who | Luke 22:31 | an important note in this verse is the Greek word is plural, and some newer translations read "sift all of you as wheat"
 |  |  | to put in our modern vernacular, it is the difference between "you" and "y'all" 
