## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
When one of the… | when | Luke 7:36 | this is the chronological moment in which the scene begins, this is an illustration of Jesus eating with "sinners" (v34)
Pharisees | who | Luke 7:36 | the Pharisees were a sect of Jewish leaders who prided themselves on self-righteously following their own "law" 
Pharisee's house | where | Luke 7:36 | this next scene takes place in the home of Simon the Pharisee
have dinner with him | when  | Luke 7:36 | Luke further gives us the time of day this encounter takes place, in the evening, at dinner time 
reclined at the table | what | Luke 7:36 | this indicates that this was more than a mere evening meal, this was a banquet in which guests were entertained by a host
woman… lived a sinful life | who | Luke 7:37 | many have taken to the tradition of considering this woman the same as Mary Magdalene, but there is no Biblical support 
 |  |  | for this position. We simply know that she is lived a life that was defined by sin, likely a prostitute
[when] she learned | when | Luke 7:37 | while it is an implied "when" there was a moment before the story began that this woman heard the news that Jesus was 
 |  |  | in this certain place and something within her drove her to the actions that Luke records for us here. 
stood behind him | where | Luke 7:38 | Jesus was reclined on a couch-like chair with His head towards the table and His feet away, this is why she is standing 
weeping | what | Luke 7:38 | the "sinful" woman is at the feet of the Savior broken and weeping, most likely out of a repentant heart
tears… hair… on feet | what | Luke 7:38 | this woman took the humble position of being a servant to wash the Lord's feet with her own tears and hair
 |  |  | this is both incredibly humble of her to do and boldly intimate to do with her own tears and hair 
poured perfume on them | what | Luke 7:38 | the "alabaster jar" would have been only for very expensive perfume, this is another act of self sacrifice & reverant worship
when the Pharisee saw… | when | Luke 7:39 | here, we see Luke establish another implied "when" as Simon the Pharisee watched the sinful woman touch Jesus
said to himself | what | Luke 7:39 | another great example of Christ's Messianic Identity was the ability to "look at the heart" (1 Sam 16:7) of this Pharisee
If this man were a prophet | what | Luke 7:39 | this kind of statement is likely not one of faith, but rather one of indifference or possibly full on doubt of Christ's Messiahship
who is touching him  | what | Luke 7:39 | The religious elite of Jesus' day considered themselves to holy as they would not be in the presense of sinners, let alone 
 |  |  | be touched by them, as if their sin would infect them via contact, sadly, many Christians still think this way today 
she is a sinner | what | Luke 7:39 | sadly, this is the only part of this narrative in which Simon is correct. The woman is in fact a sinner. 
I have something to tell you | what | Luke 7:40 | this is effectually as if Jesus was respectful to Simon while asking to teach him something. Remember, only Simon and Jesus
 |  |  | know the thoughts that are in his mind. Luke has told us, but the other people in the room at the time could not have known
teacher | who | Luke 7:40 | here were find a fun little nugget, Luke doesn't use the same word for Jesus here that Matthew, Mark, and John do. 
 |  |  | Rhabbi (G4461), literally means "my great one" or "my master" and is from the orginal Hebrew word Rabbi
 |  |  | Didaskalos (G1320), literally means "teacher" or "one who teaches about God" and is from the Greek word Dedasko (teach)
500 Denarii | what | Luke 7:41 | a denarius was worth one full days wage, 500 is just under two years wages, in 23061,  this would be $153,565.38
50 Denarii | what | Luke 7:41 | this is obviously 10% of the debt of the first person, so in the 23061 zip code, this would be $15,356.54
neither of them had the money | what | Luke 7:42 | despite the fact that these two individuals had very different sized debts, they were the same in that they could not pay
which one loved more | what | Luke 7:42 | Jesus asks the simple question to Simon, His host, and allows him to answer correctly, the obvious answer
bigger debt forgiven | what | Luke 7:43 | Jesus now turns the attention to the concept of forgiveness, which Simon had completely ignored in v39
you did not  vs.   She did | what | Luke 7:44-46 | Jesus nows points out Simons lack of hospitality for Jesus
 |  |  | washing the feet of a guest was a sign of hospitality, yet Simon did not do this, yet the woman washed them with her tears 
 |  |  | giving of a kiss was another sign of respect and hospitality, Simon did not do this, yet the woman kisses the Savior's feet 
 |  |  | putting oil on the head was a sign of respect, which Simon did not do, yet the woman annointed the Lord's feet
her sins have been forgiven | what | Luke 7:47 | this is not illustrating the the acts this woman performed caused her sins to be forgiven, but that she did them because of the 
 |  |  | "great debt" that had been forgiven her, her sins… the actions of love pour out from the heart that has been forgiven much 
forgiven little, loves little | what | Luke 7:47 | this is a rebuke of Simon because he did not think he had much to be forgiven of did not show as much love as the woman
your sins are forgiven | what | Luke 7:48 | this is not the moment this woman's sins were forgiven. As she didn't "earn" forgiveness, Jesus is comfirming aloud for
 |  |  | all who are present that indeed this woman's sins had already been forgiven, as evidenced by the heart of love shown
other guests | who | Luke 7:49 | this is the first time in this story that the "crowd" is seen as having an action, Luke again brings the story to Jesus' forgiveness
faith has saved you  | what | Luke 7:50 | this was, and always is, the only requirement for Salvation in Christ, saving faith is the faith that believes and trusts in Jesus
go in peace | what | Luke 7:50 | the final result of total forgiveness in Christ is the presence of peace in one's heart, this is a sign of the inner transformation

## Sheet: Sheet2

## Sheet: Sheet3
