## Sheet: Sheet1
Observation | W | verse | Additional notes
Jacob | who | Gen 37:1 | the third of the patriarch's and final "son of the promise", name changed to Israel, the father of the 12 tribes 
Caanan | where | Gen 37:1 | the Promised Land, promised to Abraham for his people, the land given by God to the Israelittes 
lived as a foreigner | who | Gen 37:1 | God's people, beginning with Abraham, lived in the land of Caanan, but not as the "owners" thus living as a foreigner
this is the account | what | Gen 37:2 | from this point on, the book of Genesis focuses on the development of Jacob's family, specifically his son Joseph
Joseph | who | Gen 37:3 | the first born son of Rachel, older brother of Benjamin, Jacob's "favorite son" 
tended his father's flocks | what | Gen 37:2 | like the men before him in his family, Joseph was a shepherd
worked for… reported back | what | Gen 37:2 | clearly, Joseph was a "tattle-tail" yet, it was only because of his brothers "bad things" that they would be found guilty
Jacob | who | Gen 37:3 | in the original Hebrew the word is Israel, as that is what God changed his name to
loved Joseph more | what | Gen 37:3 | Jacob did not love all his children equally. Joseph was the favorite, and it was not a secret. 
because… born… old age | what | Gen 37:3 | the main source of the emnity between the brothers is the favoritism of the father, Jacob
special gift … robe/coat | what | Gen 37:3 | the "coat of many colors" was an expensive gift that served as a visual reminder of how "favorite" Joseph was
 |  |  | the official fatherly robe could also be understood as a symbol of the future ruler of the clan, which should be the first born
the first dream | what | Gen 37:5-7 | Joseph was definitely prideful, he knew that he was saying he was better than his brothers
bown down before | what | Gen 37:7 | the implication of "bow down" here is not an act of worship, but an act of submission to the authority of
you actually think… | what | Gen 37:8 | clearly, his brothers did not receive this dream well. Even though it was from God, it's reception wasn't appreciated
the second dream | what | Gen37:9 | the second dream now inlcuded the "sun and moon" and his father and mother are now part of the submission
father scolded him | what | Gen 37:10 | the second dream now had his father and mother bowing before him, outwardly Jacob scolds him 
brother jealous / Jacob…. | what | Gen 37:11 | whether it was because of human wisdom or spiritual faith, Jacob did not discount Joseph's dream as quickly as the brothers
I will send you to them | what | Gen 37:13 | Joseph is sent to "check in" with this brothers by his father with the intent of reporting back to him 
I'm looking for my brothers | what | Gen 37:16 | when Joseph arrives, his brothers aren't where he expected them to be. So he continued to look instead of heading home
Dothan | where | Gen 37:17 | the city of Dothan was closer to the road heading to Egypt, this brought them closer to trade roads to meet traders
made plans to kill him | what | Gen 37:18 | the theme of sibling rivalry shows itself again, like Cain & Abel that rivarly lead to murderous intent
we can tell our father | what | Gen 37:20 | Jacob, the deceiver, here would be the victim of his sons deception
Reuben, in the well | what | Gen 37:21-22 | Reuben, as the good big brother, didn't want to kill his brother, probably because of his love for Jacob, not Joseph
ripped off his robe | what | Gen 37:23 | they first struck at the initial source of their anger, the symbol of their father's favoritisim over them
Judah, "Let's sell him"  | what | Gen 37:26 | it is through the actions of Judah that the eventual salvation of the Israelites came to pass 
sell him to Ishamaelite traders | what | Gen 37:27 | again we see the struggle between the descendants of Abraham
20 pieces of silver | what | Gen 37:28 | this was the standard price of a slave at this time. Most slaves were from military conquest, but private sale also occurred 
Reuben tore his clothes | what | Gen 37:29 | this was an ancient sign of grief and lamenting
Look what we found | what | Gen 37:32 | the one who deceived his father visually, is now decieved himself by a visual ruse
Potiphar | who | Gen 37:36 | this name and explination here is to give an understanding of the character into the next segment of the narrative

## Sheet: Sheet2

## Sheet: Sheet3
