## Sheet: Sheet1
Observation | W | verse | Additional notes
about this time | when | Gen 38:1 | after Joseph was sold into slavery
Hirah | who | Gen 38:1 | friend of Judah
daughter of shua | who | Gen 38:2 | first wife of Judah
Er, Onan, Shelah | who | Gen 38:3-5 | the sons of Judah
in the course of time | when | Gen 38:6 | the time it took for Er to grow up to be old enough to marry
Tamar | who | Gen 38:6 | the daughter-in-law of Judah
er was wicked | what | Gen 38:7 | the Lord help Er directly accountable for the actions of his life. Being "evil" isn't the same as a single evil act
marry as our law requires | what | Gen 38:8 | this law was an expression of maternal honor, to ensure that one's mother would be provided for later in life
 |  |  | it also ensured that the "name" of the deceased relative would carry on through his wife's next child
considered it evil to deny… | what | Gen 38:10 | this is perhaps the biggest key to this chapter as it highlights the need for an heir from Judah, the Messiah's line
go back to your parent's home | what | Gen 38:11 | this was against Judah's cultural responsibiliy for Tamar, HE should have been the one to provide for her 
was aware no arragements | what | Gen 38:14 | Tamar is aware that Judah is not following the customs of the day, this drives her deception
disguise herself | what | Gen 38:14 | following the patter, Judah is now decieved by one of his children (in-law) in a disguise 
let me have sex with you | what | Gen 38:16 | Judah's actions with a prostitute are not right or righteous, this is a large point of this chapter 
leave me your identification | what | Gen 38:18 | Tamar's choice for the identification makes it clear that she had a plan to out Judah later with this 
but couldn't find her | what | Gen 38:23 | Judah is more worried about his image than his responsibility, He doesn't give an extra effort to get the goat to her 
let her be burned | what | Gen 38:24 | Judah's hypocrisy reaches a high point when he wants to kill Tamar for her actions, but does not accept his own
she is more righteous | what | Gen 38:26 | impersonating a prositute to have incestuous sex with your father-in-law is not righteous, her actions lead to her restoration
because I didn't arrange | what | Gen 38:26 | the focus of this chapter is the moral failure and then restoration of Judah, he was supposed to care for Tamar
twins | what | Gen 38:27 | another re-occurring theme in the book of Genesis, twins that rival one another
the scarlet string | what | Gen 38:29-30 | Perez the "second born" would become the line from which the Messiah would come. Another example of the Lord choosing
 |  |  | not the first born or "legal" son, but the son of His choosing to be a part of His will and plan

## Sheet: Sheet2

## Sheet: Sheet3
