## Sheet: Sheet1
Observation | W | verse | Additional notes
Abram | who | Gen 13:1 | the man who will become the father of the Hebrew nation, husband of Sarai, Uncle of Lot
Egypt | where | Gen 13:1 | the land that Abram was "removed" from last chapter, a symbol of the World, soon to be of captivity as well
Negev | where | Gen 13:1 | the final stop in Abram's travels in last chapter "south in stages toward the Negev" (Gen 12:9)
his wife (Sarai)  | who | Gen 13:1 | Sarai, whose name will become Sarah will be the mother of the nation of the Hebrews, who we will find out is barren
Lot | who | Gen 13:1 | the nephew of Abram. Whose father, Haran died while Terah (Lot's grandfather) was still alive (Gen 11:27-28)
wealthy | what | Gen 13:2 | part of the Abrahamic covanent was the blessing of God, we see here the material aspect despite his lack of obedience
land could not support | what | Gen 13:6 | Both Abram & Lot had prospered to the point of conflict. Their wealth was in their flocks & herds. Thus a lack of land resources.
quarelling between | what | Gen 13:7 | even though they are family, their shepherds are not. Resources (money) can/will bring division in a family if unattended
Caananites / Perizzites | who | Gen 13:7 | other peoples that are in the land promised to Abram's descendants, illustrates God's hand on Abram that his people thrived
conflict… come between us | what | Gen 13:8 | Abram desired peace with his nephew and between their households BECAUSE they were family 
is open to you | what | Gen 13:9 | Abram is a gracious and humble move allows Lot to choose which part of the land he wants, and takes the remainder 
if you go… I'll go | what | Gen 13:9 | to end conflict, Abram divides his household from Lot's and goes in the opposite direction. Distance often ends conflict
Lot took fertile land | where | Gen 13:10 | Lot saw the the land was good for his use. He was only concerned with the physical, not the Spiritual
moved near Sodom | where | Gen 13:12 | Lot moved his household closer to the "world" and the sinful/wicked of the cities of Sodom & Gomorrah
After Lot had gone | when | Gen 13:14 | the Lord delayed the confirming of His convenant with Abram until Lot had left, because it did not apply to Lot
giving all this land… | where | Gen 13:15 | The Lord confirms the land portion of His promise to Abram, now known as the Palestinian Covanent
a permanent possession | what | Gen 13:15 | the Lord's promised land is a permanent posession for Israel, even know, His promise stands all the way to Revelation 
go and walk… the land | what | Gen 13:17 | Abram is instructed to walk the land as it is now His, the walk of faith has it's own rewards
There he built another alter | what | Gen 13:18 | again Abram confirms his faith by building another alter with which to worship God

## Sheet: Sheet2

## Sheet: Sheet3
