## Sheet: Sheet1
Observation | W | verse | , 
In those days | when | Luke 2:1 | Luke wrote his gospel in the between 70 - 85 AD, so obviously he is writing hisotry in retrospect
Caesar Augustus | who | Luke 2:1 | the first emperor of Rome, known as Octavian, adopted son of Julius Caesar, ruled until AD14, replaced by Tiberius
census | what | Luke 2:1 | the purpose of the census was to register the populus for taxes 
Quirinius | who | Luke 2:2 | well  known solider and friend of the emporer Tiberius, was the governor of Syria from AD 6-9
 |  |  | Jesus was born before the death of Herod in AD 4, this presents a challenge (not problem) for translators, possible solutions:
 |  |  | 1. he was governor twice and Luke refers to the former    2. the Greek says "govering" which could refer to any admin post
to their own town | what | Luke 2:3 | It was Jewish custom to register in the town of your ancestor, Bethlehem was the City of David 
Joseph | who | Luke 2:4 | also known as "Joseph the Carpenter"  and also Joseph the father of Jesus (John 1:45) 
Nazareth  | where | Luke 2:4 | a very town in southern Galilee, a very small town of little importance "Can anything come from Nazareth?" (John 1:46)
Galilee | where  | Luke 2:4 | the region north of Judea and Samaria
Judea | where | Luke 2:4 | the ancestral home of the Jews, the promised land, to the south of Samaria and Galilee
David | who | Luke 2:4 | King David of Old Testament fame, fought Goliath, united the fractured Kingdom, committed adultery with Bathsheba
Mary | who | Luke 2:5 | the virgin mother of the Savior, visitted by an angel, relative of Elizabeth 
the time came | when | Luke 2:6 | the end of the 40 weeks or 9 months of Mary's pregnancy
firstborn | what | Luke 2:7 | this does not indicate she would have more kids, but that as the firstborn Jesus was consecreated to God (Ex 13:22)
wrapped him in clothes | what | Luke 2:7 | the "swaddling clothes" were just not to keep the baby warm, but limbs were wrapped to keep them straight, a sign of care
manger | what | Luke 2:7  | a feeding trough for animals, a humble beginning for the King of Kings and Lord of Lords
guest room available | what | Luke 2:7 | there was no "inn" or "inn keeper", no ancient hotel, most likely a guest room attached to a house, or public place for travellers
shepherds | who | Luke 2:8 | shepherds were the poorer lower class of Israel, often dirty and unclean because they lived with the animals in the field
 |  |  | this illustrates Jesus Messianic mission that the lower classes would surely have been excited to hear about 
living out in the fields | what | Luke 2:8 | shepherds lived in the fields with their animals in the warmer months (March - November) 
 |  |  | the December date for Christmas comes from the Emperor Constaintine and overlays with the pagan holiday of Saturnalia
keeping watch | what | Luke 2:8 | the shepherds would sleep in shifts to protect the sheep from theives or predators
an angel of the Lord | what | Luke 2:9 | this is the third time an angel has appeared to herald the coming of the King, this time to the people He came for 
Do not be afraid  | what | Luke 2:10 | a common reponse for an angel when first appearing to a human, with Zecharaiah (1:13) and Mary (1:30) 
good news | what | Luke 2:10 | the original Greek word is "euaggelizō" and is from the same root which we get our English word "Evangelism" 
great joy  | what | Luke 2:10 | the natural reponse to the "Good News" of Jesus should be joy in the heart of the Believer
all the people | who | Luke 2:10 | does NOT refer all the people of the word, it literally means "a people or tribe from the same stock and language" - the Jews
today | when | Luke 2:11 | the shepherds were given the birth annoucement of the Savior the day of His arrival, this shows Jesus came to the Jews first
he is the Christ (Messiah) | what | Luke 2:11 | the Greek word "christos" or Christ (which begins with an "X") is the translation of the Hebrew word "masia" or Messiah
 |  |  | it literally means the "annointed one" and finds it's roots in the story of David as the "annointed" chosen vice-regent of God
this will be a sign to you | what | Luke 2:12 | clearly, they were going to go searching for this child, the angel gives them some prophetic guidance to get there 
Heavenly Host | who | Luke 2:13 | angels, a lot of them to be more specific 
Glory to God | what | Luke 2:14 | the mission of Jesus was not to bring glory to Himself, but for that of the Father (John 17:1) this should be our aim as well
in highest heaven / on earth | what | Luke 2:14 | in this verse we see both heaven and earth the focus of the arrival of the Savior, glory in heaven and peace on earth 
let's go to Bethlehem | what | Luke 2:15 | the shepherds immedately were motivated (obviously) to see what the angel was telling them about
they hurried  | what | Luke 2:16 | the speed in which they sought the Savior shows the motive of their hearts
spread the word | what | Luke 2:17 | this recipie for discipleship is seen here (1) hear the Good news  (2) seek the Savior  (3) spreak the Word about Him to others
Mary… in her heart | what | Luke 2:19 | this may be a subtle reference that Mary was Luke's source of the infomration, who else would know this detail

## Sheet: Sheet2

## Sheet: Sheet3
