## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
Paul | who | Acts 18:18 | the called "apostle to the gentiles" see Romans 11:13, Galatians 2:8
stayed on in Corinth | where | Acts 18:18 | after the incident before Gallio in verses 12-16
brothers and sisters | who | Acts 18:18 | Luke clearly sees all of the Christians as one in the family of God 
sailed for Syria  | where | Acts 18:18 | this brings Paul back to Jerusalem and then "down" to Syrian Antioch
Priscilla & Aquilla | who | Acts 18:18 | a married couple who were also Christian ministers as well as tentmakers/leather workers
cut off his hair / vow he made | what | Acts 18:18 | this is most likely a Nazarite vow (Num 6:1-21), though it is unmentioned, Paul would have set a specific amount of time
 |  |  | not to cut his hair, drink any wine or anything else made from the fruit of the vine, and touch anything dead. This would 
 |  |  | have concluded with the cutting of his hair to present it along with a sacrifice as an offering to the Lord. What is interesting
 |  |  | about this detail is it illustrates Paul did not see an incompatibility between his Jewish heritage and Christian faith 
Cenchreae | where | Acts 18:18 | a port town south of Corinth
arrived at Ephesus  | where | Acts 18:19 | a port town directly across the Aegean Sea from Cenchreae
left Priscilla & Aquilla | what | Acts 18:19 | Priscilla & Aquilla stayed in Ephesus to establish their business and possibly the church in Ephesus itself 
went into the synagogue | where | Acts 18:19 | in keeping with his custom, Paul goes to the place of greatest impact for the chance to begin a new church 
I will come back | what | Acts 18:20-21 | it seems odd that Paul would not remain in Ephesus to finish the church planting work when there were willing parties 
 |  |  | in the synagogue who wanted to hear more about Jesus. If the assumption of Paul's head shaving being a Nazarite vow is 
 |  |  | correct, this would give an understanding to his choice here. Once Paul shaved his head, he would have needed to present 
 |  |  | the trimmed hair and offering in the Temple at Jerusalem within one month. 
if it is God's will | what | Acts 18:21 | Paul still saw his actions as being guided by the Spirit, not his own plans or desires 
landed at Caesarea | where | Acts 18:22 | Paul lands not near Syrian Antioch where he would finish his journey, but close to Jerusalem, this gives additional 
 |  |  | evidence to the Nazarite vow perspective 
went up (to Jerusalem)  | where | Acts 18:22 | Luke mentions Paul "went up" and greeted the church. In our common language today, we may be tempted to think it means
 |  |  | he went north to Antioch, but that doesn't fit the text here. Paul "went up" in elevation to the city of Jerusalem, greeted 
 |  |  | the church there, then went to Antioch. This also illustrates his bringing his Nazarite vow to conclusion. 
set out from there | what | Acts 18:23 | this is the beginning of Paul's third missionary journey, it begins with little pomp and circumstance, but gets right to action
churches in Galatia | where | Acts 18:23 | Paul visits several of the churches that he planted on his first missionary journey 
Apollos | who | Acts 18:24 | Luke introduces us to the character of Apollos with several important details. He is a Jew. He is from Alexandria. He was 
 |  |  | a learned man. He was powerful or knowledgable of the Scriptures. 
had been instructed in the way | what | Acts 18:25 | clearly, Apollos had received some teaching about Jesus, but this teaching was not complete. There is debate as to whether
 |  |  | Apollos is "saved" at this point, or merely teaching powerfully of the OT persepctive on Jesus as the Messiah
taught… baptism of John | what | Acts 18:25 | Apollos was not wrong in his teaching about Jesus, but it wasn't complete. He clearly did not understand Christian 
 |  |  | baptism or the gift of the Holy Spirit. This is a great example of right but not complete understanding of all that Jesus
 |  |  | came to do. I (Pastor Bill) believe that many Christians today are like Apollos. They know of Jesus and what he did
 |  |  | but that do not know or haven't been taught fully about the Holy Spirit and the gift given to us because of Jesus
he spoke boldly  | what | Acts 18:26 | some scholars see Apollos' ability to speak boldly about Jesus evidence of his having received the Spirit even though he 
 |  |  | did not have an correct understanding of Christian Baptism, he did not understand the Spirit he had
invited him to their home | what | Acts 18:27 | Priscilla & Aquilla did not want to embarrass Apollos openly, so chose to invite him to their home to teach him the rest
 |  |  | of what he did not know. This also shows humility and teachability on Apollos' part to be able to receive from tent makers
Jesus was the Messiah | what | Acts 18:28 | after receiving the "rest of the story" from Priscilla & Aquilla, Apollos continues to teach and minister powerfully in Ephesus

## Sheet: Sheet2

## Sheet: Sheet3
