## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
when Jesus finished speaking | when | Luke 11:37 | Luke gives a chronological link to the preceeding passage indicating it is all part of the same discourse 
Jesus | who | Luke 11:37 | the Son of God, Son of Man, 2nd Member of the Trinity, Promised Messiah of the Jewish People and the Savior of the World
pharisee invited Him to eat | what | Luke 11:37 | the setting for the coming verses is at a meal with at least one pharisee (v37) and one scribe (v45)
reclined at the table | where | Luke 11:38 | the act of "reclining" at the table gives the idea that this was a banquet or perhaps a Sabbath meal
wash before a meal | what | Luke 11:38 | this is not a washing for cleanliness but rather for ceremonial piety according to the traditions of the pharisees, not the Law
outside / inside of the cup | what | Luke 11:39 | Jesus using the ritual washing as his example shows that the pharisees worried about being seen as righteous
 |  |  | but on the inside were full of greed and wickedness. This reminds us that the "Lord looks at the heart" (1 Sam 16:7)
foolish… be generous | what | Luke 11:40-41 | Jesus brings the pharisees to task that their perspective that God would be pleased with their "external only" form of
 |  |  | righteousness is a foolish and immature view of the Father. What is on the inside should drive what the outside does
tithe of mint and rue | what | Luke 11:42 | The focus of this verse shouldn't be the act of tithing itself, but rather the items Jesus mentioned "mint" and "rue" 
 |  |  | both of these are very small herbs, the implied point Jesus is making is that the pharisees were legalistic enough to make
 |  |  | sure to tithe 10% of even the herbs in their homes, but yet neglected the greater acts of Justice and the Love of God
should have practiced  | what | Luke 11:42 | Jesus is not saying that the pharisees desire to tithe is bad or evil, but that legalism should never replace the Love of God
important seats & greetings | what | Luke 11:43 | the pharisees loved to receive the "praise of men" from important seats at banquets to lenghly formal greetings in public
unmakred graves | what | Luke 11:44 | according to the OT Law, a person would be unclean if they came in contact with a dead body (Numbers 5:2), Jesus is 
 |  |  | calling the pharisees a tomb that other don't know is defiling them because it is "hidden", the pharisees appeared to be
 |  |  | righteous and Godly, but in reality were filled with death and defilement, which was infecting those around them 
experts / lawyers / scribes | who | Luke 11:45 | the scribes were those who were experts in the study, interpretation, and application of the Law 
load people with burdens | what | Luke 11:46 | the scribes would "weight down" people with their interpretation and applications of the Law that no one could live up to
not lift a finger | what | Luke 11:46 | in the midst of their overly "heavy" application of the Law, the scribes would not help anyone follow it, but rather judge them
build tombs for the prophets | what | Luke 11:47 | Jesus is saying that while the scribes see themselves as erecting places of honor for the prophets of old, and even tried to
 |  |  | to claim they would not have taken part in killing them (Matt 23:30), they are closer to those who killed the prophets than
 |  |  | they realize, as they are opposing God's own Son, the one of whom the prophets spoke (John 1:45)
I will send prophets & apostles | what | Luke 11:49 | this is not a quote from the OT Scriptures, Jesus is speaking prophetically as the Son of God about the past treatment of 
 |  |  | the prophets in the OT and the coming treatment of the Apostles that would happen in the first century Church
blood of Abel & Zecharaiah | what | Luke 11:51 | this is not easily understood in our Bibles because the books of the Christian Bible are not in the same order as they are in 
 |  |  | the Hebrew Bible. Abel, is the first murder (Gen4:8) in the Genesis  (the first book in our Bible and the Hebrew Bible), Zechariah is the 
 |  |  | last murder (2 Chron 24:21)  in the Hebrew Bible because Chronicles (one book and not two) is the last book in the Hebrew Bible
 |  |  | Jesus is in effect saying, "First the first murder in the first book to the last murder in the last book." 
this generation will be… | what | Luke 11:51 | Jesus could be prophetically referring to the coming destruction of the Temple by the Roman in AD 70
the key to knowledge | what | Luke 11:52 | the scribes were those responsible to teach the people the Word of God, which is the key to knowing God, they failed to
 |  |  | come to the true knowledge of God for themselves, but then also failed to bring those they were responsible for 
when Jesus went outside | what | Luke 11:53 | Luke now gives the thematic break letting the reader know that this discourse has ended
began to oppose Him | what | Luke 11:53 | Luke gives the "take away" effect of the Lord's teaching, those religious and self-righteous leaders openly opposed Jesus
waiting to catch Him | what | Luke 11:54 | the final response of the pharisees and scribes was to listen carefully to Jesus, but not with a heart to learn, but to trap

## Sheet: Sheet2

## Sheet: Sheet3
