## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
There was a  | what | Luke 16:19 | the first question we must face is whether we believe this is a parable or a factual description of the afterlife. Several 
 |  |  | details point to it being more than a parable: (1) named characters (2) not based on an observable detail ie, sheep/coins
 |  |  | (3) it portrays the afterlife in an unexpected way ie, no banquet.    However, Jesus is using the story to teach a greater 
 |  |  | point which makes it parabolic in that sense.  Regardless of which way you see it, the Savior's ulimate points are not
 |  |  | changed, but the details will be directly affected by your view of whether this is parabolic or factual. 
Rich man | who | Luke 16:19 | this is the only detail given to us of the man's life. In the LXX he is call "Dives" but that is just the word 'riches' in Latin
purple and fine linen | what | Luke 16:19 | this is a deeper description of the oppulance in which this man lives. Purple was the most expensive cloth of the day
 |  |  | the fine linen can refer to his outer or inner garments and thus ilustrate the 'best of the best' clothing
lived in luxury | what | Luke 16:19 | a description of being served the finest foods and living in relaxation, Luke is deepening the "richness" of this man's life
at his gate | where | Luke 16:20 | the fact that the rich man's estate had a gate is an additional illustration of his wealth and stature 
beggar named Lazarus | who | Luke 16:20 | this is not the same Lazarus as in John 11, this man is poor with no family, unlike the rich man, this Lazarus must beg
 |  |  | for his very existence, the polar opposite of the rich man from the previous verse
covered with sores | what | Luke 16:20 | Luke now deepens the portrait of the 'poor man' by illustrating he was so destitute his own body was in pain 
longing to eat | what | Luke 16:21 | this is the same language as the state of the Prodigal Son in the previous chapter, destitute and without ability to provide 
fell from the rich man's table | what | Luke 16:21 | this illustrates the difference between these two individuals, the rich man had provision to waste, the poor man had none
even the dogs | what | Luke 16:21 | in first century Palestine, dogs were considered vile, dirty, and dangerous creatures, not lovable pets like we have today 
the time came | when | Luke 16:22 | the moment of death, this moment is something that everyone will expierence and no one can control 
angels carried him | what | Luke 16:22 | there are examples of angels being sent to humans in the Bible (Abraham, Jacob, Jesus) so if you view this story as factual
 |  |  | this could be evidence of angelic ministry to humans after their death, if you view it paraboliclly, this is less important
Abraham's side  | where | Luke 16:22 | to the first century Jew, there could be no better place of joy and fulfillment than to dine with Abraham himself 
and was buried | what | Luke 16:22 | notice the care given to Larazur (carried by angels) but the rich man was just buried. 
Hades | where | Luke 16:23 | this is the Greek word for the OT term "Sheol" in the OT it is often the place of both the righteous and unrighteous dead
 |  |  | however, in the NT Hades usually refers to the place of only the unrighteous dead, as it does here
he was in torment | what | Luke 16:23 | notice again the polar opposites of the rich and poor man, in death Lazarus is with Abraham, the rich man is in torment
 |  |  | this would have been shocking to the first century listeners because they would have assumed that the rich man's wealth
 |  |  | was a sign of God's blessing while Lazarus' poverty was a sign of God's divine judgment, Jesus directly opposes this mentality
Father Abraham | who | Luke 16:24 | the rich man knows that he is a child of Abraham, clearly by blood and not faith, and calls to him for aid 
send Lazarus | who | Luke 16:24 | interestingly, the rich man recognizes Lazarus enough to call him by name (if you see this as parabolic, this detail is not big) 
remember in your lifetime | what | Luke 16:25 | Abraham now gives the primary point of the teaching, our choices and actions in this life will directly affect our state 
 |  |  | of affairs in the next life 
great chasm | what | Luke 16:26 | this literally means "an un-bridgeable gap" For the parabolic view, this is just a literally feature of the story, but for the 
 |  |  | literal view, this solidifies the view that there are no more chances in the afterlife, our destinations are set upon our death
send Lazarus to my family | what | Luke 16:27-28 | the rich man will not be able to change his eternal destiny, but he is not concerned with the state of his remaining 
 |  |  | family members. This is probably the biggest detail, in my opinion, determined by the factual or parabolic view. In the 
 |  |  | parabolic view, this is another detail to highten the dramatic tension of the story. In the factual view, this is Biblical 
 |  |  | evidence that we remember our earthly lives and family when we pass on from this life. 
Moses and the Prophets | who | Luke 16:29 | this is a phrase for "The Law and the Prophets" referring to the OT and the Torah directly by Its author, Moses
from the dead goes to them | what | Luke 16:30 | as people we have this idea that if something is outrageous enough or surprising enough then we will be "convinced" 
 |  |  | enough to believe, but sadly, this kind of faith never holds. Only faith rooted in God and His Word can save
even if… from the dead | what | Luke 16:31 | Jesus is likely not referring to His own resurrection, because He is the only one at this point who knows about it. 
 |  |  | His audience, the same one from the previous chapter would have no knowledge of Christ's death or resurrection yet
 |  |  | as it has not happened. We can see in Acts that Jesus words rang true, but this is not the original meaning for the audience

## Sheet: Sheet2

## Sheet: Sheet3
