## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
On a Sabbath | when | Luke 13:10 | Luke breaks from the previous section and places this event on a Sabbath, to illustrate another Sabbath contraversy 
one of the synogogues | where | Luke 13:10 | a synogogue was a local place of worship for the Jews. It was a place of teaching and prayer, but not sacrifice
crippled woman | who | Luke 13:11 | all we know of this woman is her gender,  the length of time of her condition (18 years), and that she is a Jew (v16)
crippled by a spirit | what | Luke 13:11 | Luke is making a clear link betweent the woman's condition and a work of Satan (v 11, 16)
 |  |  | This should not suggest that all sickness or illness is demonic in its cause, but that sickness can be a tool of the enemy
when Jesus saw her | when | Luke 13:12 | Jesus is the initiator of this healing, she did not come forward, ask for healing, or need to have faith for it. This is all Jesus.
he called her forward | where | Luke 13:12 | just as Jesus is the initiator of this healing, Jesus is the one who makes the healing a focus point for the whole synogogue
he put His hands on her | what | Luke 13:13 | Jesus could have healed with only a declaration (Matt 8:13) but elects to use His hands in this setting
healed and praised God | what | Luke 13:13 | the final outcome of the woman's healing is not just her restored body, but praise to God for His acts
Indignant | what | Luke 13:14 | notice the contrast between the woman's praise for, and the "religious" leaders judgment of the same action 
healed on the Sabbath | what | Luke 13:14 | the legalistic culture of Jesus day had warped the meaning and practice of the Sabbath so far that it excluded mercy 
six days… come here then | when | Luke 13:14 | the religious leader trying to "defend" the Sabbath would not have been able to heal her on any other day, yet demands 
 |  |  | she should have come then, his perspective is so warped that he can not see the plain mercy of God in his midst 
you hypocrites | what | Luke 13:15 | finding it's root in the Greek Theater, a hypocrite is someone who is two faced or wearing a mask to appear different 
donkey… this woman | what | Luke 13:15-16 | in a classic "lesser to greater" rabbinic argument Jesus illustrates the hypocrisy of caring for an animal but not a person 
the people | who | Luke 13:17 | here again we have another example of Luke placing a "crowd" of people observing the ministry of Jesus
Kingdom of God | what | Luke 13:18 | the "Kingdom of God" is both the then present day nation of the Jews as well as the future restoration of the Davidic Kingdom 
mustard seed | what | Luke 13:19 | a mustard seed is one of the smallest seeds and usually only grows into a bush, for Jesus to declar it to be a tree illustrates 
 |  |  | a growth and final outcome far beyond anything normally expected. 
birds perched in it's branches | what | Luke 13:19 | the fact that a mustard seed would grow into a tree was miraculous by itself, but then for the tree to be strong enough for 
 |  |  | birds to nest illustrates the strength of the tree and the diversity of the birds alludes to gentile inclusion in the Kingdom 
yeast | what | Luke 13:21 | yeast is a culture that is used in baking. Its primary purpose is to "work through" the dough and cause it to rise. Jesus is 
 |  |  | using the analogy of yeast to illustrate the pervasive nature of the Kingdom, it will spread by it's own nature
Alternate Interpretation |  |  | Some commentaries see the yeast as the evil that will corrupt the Kingdom and thus see the birds as vulures or birds of prey
 |  |  | representing false teachers and heretics coming into the Kingdom. I do not agree with this interpretation, but wanted to show
 |  |  | you how they got there. Most of the time yeast is used to symbolize evil (Matt 16:11, Mark 8:15, Luke 12:1) so if assume that
 |  |  | Jesus is making the same kind of statement here, then you will see the birds as another symbol of evil. However, if you see 
 |  |  | the "tree" as the main point of the mustard seed parable, then you will see the spreading pervasive nature of yeast as the 
 |  |  | main point of the second parable. I believe the latter is more textually supported and requires less guessing. 
towns and villages  | where | Luke 13:22 | most likely the towns and villages of Galillee and Perea, the area east of the Jordan River 
his way to Jerusalem | where | Luke 13:22 | Jesus has already "set his face towards Jerusalem" and is following the will of the Father (Luke 9:51) 
only a few going to be saved? | what | Luke 13:23 | this question has caused a lot of discussion and even disagreement over the centures, the simple answer is yes, but Jesus
 |  |  | doesn't stop there, he explains it in further detail with the Parable of the Narrow Door
many will try… not be able | what | Luke 13:25 | Luke gives us a sobering reminder that not everyone who "tries" to get to Heaven will actually be there. 
owner of the house | who | Luke 13:25 | Jesus first century Jewish audence would have most certainly understood this to be Jehovah God 
closes the door | what | Luke 13:25 | the "door" of salvation is only open for a time, it will come to an end at the appointed time by the will of God 
I don't know you | what | Luke 13:25, 27 | there is (and hasn't been) any relationship between those outside the door and the owner of the house 
 |  |  | there are those who have convinced themselves they have a relationship with God, but in reality do not
ate and drank with you | what | Luke 13:26 | these people thought that they were eating and drinking with God when in reality they were not
taught in our streets | what | Luke 13:26 | these people were "near" the teachings of God but were never transformed by them
weeping and gnashing of teeth | what | Luke 13:28 | a common Biblical phrase for both sorrow and anguish 
Abraham, Isaac, Jacob | who | Luke 13:28 | the three patriarchs of the Jewish faith, they are also used as symbols of the the covanent nation Herself 
people…east west north south | who | Luke 13:29 | I believe this is another allusion to the future gentile inclusion in the Kingdom of God, which would have been unexpected 
places at the feast | what | Luke 13:29 | the feast is the final wedding feast in which God's covenant people enjoy His provision and proximity to His glory 
first, last, last first | what | Luke 13:30 | I believe Jesus is illustrating gentile salvation, the "first" are the Jews who heard about God covenant plan first but are 
 |  |  | coming to Him last. While the "last" are the gentiles who heard of God's plan last but are coming to Him first. 
Pharisees | who | Luke 13:31 | Pharisees were religious teachers who followed a strict and highly legalistic code of obedience to traditons
leave this place | what | Luke 13:31 | it seems odd for the Pharisees to want to help Jesus, but remember they could have just as easily been trying to get rid of him 
