## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
came to Thessalonica | where | Acts 17:1 | passing through Amphipolis and Apollonia implies they did not say long at either location, Paul was heading to Thessalonica
a Jewish synagogue | what | Acts 17:1b-2a | Paul's custom or pracitce of ministry was to preach and teach first in the local synagogues to Jews and God fearing Greeks
 |  |  | this gave him the greatest opporutnity to speak with those who would already believe in the One True God and have 
 |  |  | and familiarity and understanding of the Old Testament Scriptures. 
three Sabbaths | when | Acts 17:2 | the length of time here suggests Paul preached in the Synogogues for three weeks. Reading 1 Thessalonians gives the clear
 |  |  | impression that Paul stayed longer than three weeks. (1 Thess 2:9). This is easily reconciled in the fact that Paul began 
 |  |  | his ministry for three weeks in the synagogues then broke out to house church meetings after that. Remember, when Paul
 |  |  | leaves the city, there is a functioning Christian church left behind. 
suffer / rise from the dead | what | Acts 17:3 | two key elements of the gospel presentation have to be the atonement of Christ's death and victory of His resurrection. 
Jesus… is the Christ | what | Acts 17:3 | the word "Christ" is the Greek version of the Hebrew word "Messiah" which means 'chosen or anointed one' 
some Jews / Greeks & women | who | Acts 17:4 | here we see the reception of Paul's ministry in Thessalonica, there were some Jews who received his message, but the majority
 |  |  | of those who responded to his preaching were Jews. This means that from its inception, the church at Thessalonica was a
 |  |  | majoritily Greek Christian church with some Jews in attendance. Notice also Luke's inclusion of the prominent women. 
the Jews were jealous | what | Acts 17:5 | sadly, there are always those who witness the hand of God in ministry and react with jealousy instead of joy
formed a mob | what | Acts 17:5 | the Jews had learned the most effective way to attack a Christian mission is with political accusations 
saying there is another king | what | Acts 17:7 | this charge is both correct and misleading, Jesus Himself said His Kingdom was not of this world, see John 18:36
 |  |  | this charge however would have brought a severe penalty for calling anyone king other than Ceasar was a capital offense
post bond | what | Acts 17:9 | some scholars believe the "bond" posted here was a guarantee that Pual would not return to the city, see 1 Thess 2:18
as soon as it was night  | when | Acts 17:10 | the believers in Thessalonica use the cover of darkness to help Paul and Silas escape the city and head to Berea
they went to the synagogue | where | Acts 17:10 | again, Paul's follows his plan and begins with the people who have the "highest chance of success" for conversion 
more noble character | what | Acts 17:11 | the exact meaning of this phrase is debated, but the reality of it is seen in the actions of the Bereans, rather that react with 
 |  |  | selfish or jealous motives (like those in Thessalonica) they first turn to the Scriptures to search for themselves. 
examined the Scriptures | what | Acts 17:11 | the Bereans received Paul's message with gladdness, but did not immediately accept it as truth. They "examined the Scriptures"
 |  |  | for themselves EVERY DAY, not just on the Sabbath. The commitment to a Scriptrual worldview is paramount, they will 
 |  |  | accept Paul's preaching only after they confirm it is in line with Scriptures. We need more Christians like this today. 
many Jews, Greeks, women | who | Acts 17:12 | unlike Thessalonica, Luke records that many Jews believed in Berea. This is likely due in no small part to their commitment 
 |  |  | to the Scriptures. Christ is the King and the Scriptures declare His glory. Luke also keeps us keenly aware that Greeks also 
 |  |  | believe. However, unlike the previous city, the Greek women are mentioned first in Berea, possibly noting a higher number 
 |  |  | of believing women than men among the Greeks. 
When the Jews… heard | when | Acts 17:13 | the level of persecution faced by Paul was severe, the Jews of one town have no legal authority in another, but rather continue
 |  |  | their campaign of civil unrest agitating crowds of people forcing the local legislatures to get involved. 
immediately sent Paul | when | Acts 17:14 | in response to the turmoil brought about by the Thessalonicans, the believers in Berea get Paul out of the city quicky 
Silas and Timothy stayed | what | Acts 17:14 | here we see the two "younger recruits" staying together as a team to continue the work in Berea while Paul escapes
brought him to Athens | where | Acts 17:15 | Paul did not travel alone, but rather with believing brothers from Berea who escorted him all the way to Athens

## Sheet: Sheet2

## Sheet: Sheet3
