## Sheet: Sheet1
Observation | W | verse | Additional notes
the famine continued | what | Gen 43:1 | the famine continued because God had already declared how long it would last (41:27)
grain… was almost gone | when | Gen 43:2 | Jacob's timeline was still focused on himself and the meeting of his immediate needs
go back and buy us food | what | Gen 43:2 | Jacob now reverses his earlier objection to sending the boys back (42:38) because he needs food
Judah | what | Gen 43:3-5 | Judah repeats Joseph's instructions regarding Benjamin. Again a father must "sacrifice" his son for salvation from death
cruel to me / why did you tell | what | Gen 43:6 | Jacob's selfishness sees the situation only in how it affects him and his feelings, now turns to blaming others
let me bare the blame | what | Gen 43:8-10 | Judah steps up and gives the guarantee for the life of young benjamin, Judah is also accepting responsibility for the food
best products, money, brother | what | Gen 43:11-14 | Jacob sends his sons with gifts for Joseph. How often do we try to impress God with our gifts, when he desires obedience
terrified when they saw | what | Gen 43:18 | the brothers fear was based on what they saw, often times our eyes only see the natural, not God working supernaturally 
it's because… | what | Gen 43:18 | how quick the brothers were to jump to assumptions based on their own perception of the events, not God's design
the he will seize us | what | Gen 43:18 | taking their assumptions to heart, the brother then decided what things would happen to them, not once consulting God
no idea who put money | what | Gen 43:22 | they clearly see this as their "fault or guilt" that they returned with the money, not the blessing from God
Don't be afraid… Your God | what | Gen 43:23 | how awesome that it is the pagan Egyptian who saw God's blessing told the brothers to not fear
then he released Simeon | what | Gen 43:23 | as Joseph promised (42:17-20) and released Simeon when Benjamin was brought to him 
water to wash, food for… | what | Gen 43:24 | unknown to them, they were walking into a place of blessing, not a place to be feared
prepared their gifts | what | Gen 43:25 | they still thought they needed to buy Joseph's grace with the meager gifts they brought
How is your father | what | Gen 43:28 | unlike his father, Joseph's first thought and quesiton is of his family, not himself
overcome with emotion | what | Gen 43:30 | Joseph is now face to face with thing that he had been denied the many years he was in Egypt… FAMILY
Egyptians despise Hebrews | what | Gen 43:32 | by now, Joseph walked, talked, and looked like an Egyptian, yet was a Hebrew 
 |  |  | A son of Abraham came to a foreign land and became a foreigner in order to bring salvation to the people of God
told his brothers where to sit | what | Gen 42:33 | I think Joseph has having a little fun with his brothers showing that he knew their birth order 
they feasted and drank | what | Gen 42:34 | when the people of God are in the place of God, there is blessing to be had, this was God's plan for reconciliation & salvation

## Sheet: Sheet2

## Sheet: Sheet3
