## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
Soon Afterword | when | Luke 8:1 | Luke is linking the following verses here to the events that happened in chapter 7 
cities & villages | where | Luke 8:1 | Luke has been focusing thus on Jesus' ministry in Galilee, so these would be the cities and villages in Galilee
Kingdom of God | what | Luke 8:1 | the kingdom of God is comprised of all past, prsent, and future believes, here is Jesus proclaiming HIS Kingdom in person
the twelve (his disciples)  | who | Luke 8:1,9 | the apponited disciples selected by Jesus 
some women | who | Luke 8:1 | women normaly would not have been a part of a rabbinic ministry, Luke includes this detail to show us the Savior's inclusion 
 |  |  | of women. Also not that it was the women who were first to the empty tomb on Easter Sunday
Mary Magdalene | who | Luke 8:2 | Mary gets her name most likely from the nearbby town of Magdala, again there is no evidence she was a prositute 
Joanna, wife of Cuza | who | Luke 8:3 | this is mostly likely a woman of some means as her husband was the steward of Herod's household 
Susanna | who | Luke 8:3 | this is the only time this particular woman is mentioned in Scripture 
many others | who | Luke 8:3 | even at the point in Jesus ministry, there were more than just the 12 disciples 
out of their means | what | Luke 8:3 | following Jesus has ALWAYS had a cost, the true followers were willing to sacrifice out of their own means for His work 
great crowd | who | Luke 8:4 | again, Luke gives another example of Jesus teaching to a crowd, some were His followers, others were not
parable | what | Luke 8:4 | Jesus often taught in parables, they are "earthly stories with heavenly meanings" 
A sower (farmer)  | who | Luke 8:5 | this is a fictional person, but it remind us that we are looking at 1st century farming, not farming today 
 |  |  | in this time, farming was done by hand, or with the use of animals to plow ground. First, the farmer would plow or turn up 
 |  |  | the soil, then he would go through and cast the seed by hand onto the already prepared ground. 
the path | where | Luke 8:5 | the "path" referred to here would have been along the sides of the field for the farmer or others to walk around it
on the rock | where | Luke 8:6 | this is not a rock on the surface, this is a patch of ground that was shallow soil over bedrock, the farmer can't see the difference
among thorns | where | Luke 8:7 | similar to the rock, the farmer couldn't see the thorns or their seeds in the soil, so the casts the seed here as well
good soil | where | Luke 8:8 | there is no visible difference between the good, the thorns, or the rock, only God knows the true nature of the soil
… has ears let him here | what | Luke 8:8 | Jesus is recognizing that not everyone who is listening is actually "hearing" meaning they will not all be "good soil" 
seeing, not see…  | what | Luke 8:10 | Jesus is quoting Isaiah 6:9 in which God sent Isaiah to preach to an unbeleiving people as a judgement that would bring exile
people "on the path"  | who | Luke 8:12 | these are people who hear, but never accept or respond to the truth of God's Word
people "on the rocks"  | who | Luke 8:13 | these are people who do hear the word, have some sort of emotional response, but ulimately are not saved (in my opinion) 
people "in the thorns"  | who  | Luke 8:14 | these are people who do hear the word, possibly got saved, but are ultimately drawn away by worldly enticements 
people in the "good soil"  | who  | Luke 8:15 | these are people who hear the word, perserveve through trials, and minister to other, these people ARE saved
 |  |  | Depending on what you believe about the nature of salvation changes how you see the "saved" state of the four people 
 |  |  | "path" people are definitely NOT saved 
 |  |  | "rocky" people are either saved and fallen away or not saved at all
 |  |  | "thorny" people are either saved and fruitless or not saved at all 
 |  |  | "good soild" people are deinately saved. 

## Sheet: Sheet2

## Sheet: Sheet3
