## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
people  | who  | Luke 18:15 | people, likely mothers or parents together, Jesus ministry has been public and has drawn crowds in previous chapters
bringing babies | what | Luke 18:15 | this was for the practice of a prayer of blessing from a prominent teacher 
Jesus | who  | Luke 18:15 | Son of God, Son of Man, Promised Messiah of the Hebrews, Savior of the World 
the disciples | who  | Luke 18:15 | those whom Jesus called to follow him on earth, 11 of which would become apostles
rebuked them | what | Luke 18:15 | likely they saw the people asking their master for prayers as an inconvienence or bother to Jesus
called the children to Him | what | Luke 18:16 | the Lord uses this circumstance as an opportunity to teach the disciples something 
Kingdo of God belongs to | what | Luke 18:16 | a "child like faith" is one that readily accepts the authority and ability of God to do what he has said. Children don't 
 |  |  | usually stop and examine an adult to see if they are trust worthy, they assume, as an adult they must be. 
will not receive… will not | what | Luke 18:17 | I believe jesus is referring to the type of faith illustrated by the children, a simple belief unhindered by understanding
a certain ruler | who  | Luke 18:18 | this exchange is also found in Matt 19:26-29 and Mark 10:17-30, this person is often called the Rich Young Ruler
good teacher | who  | Luke 18:18 | the young ruler uses this term for Jesus as the "Good Teacher" 
what must I DO | what | Luke 18:18 | notice the question reveals the heart problem of the young ruler, he sees salvation as something that can be bought with action
why do you call me good | what | Luke 18:19 | Jeus doesn't deny the title of "good" but rather redirecs th man's foucs onto his own sin and depravity 
no one is good except | who  | Luke 18:19 | Jesus reiterates the status of the Father in character and immutability as the true "good" in the universe 
you know the commandments | what | Luke 18:20 | Jesus is not suggesting that the Law could make someone righteous, we know that is not the case, but rather the Law
 |  |  | is there to how us how sinful we actually are in comparison to God's glory 
all these I have kept | what | Luke 18:21 | again, we see a glimpse into the heart of the man, trusting in his own actions to make hi righteous
you still lack  | what | Luke 18:22 | Jesus ponted out that the man's heart was still tied to his posessions and actions, thus he is still lacking
sell and give to the poor | what | Luke18:22 | Jesus gets the heart of the issue in the man's heart, namely he wants to keep and spend his money on himself 
treasure in heaven | what | Luke 18:22 | the life we live on this earth prepares us for the next, we can and do earn rewards we will be given in the next life 
when he heard this | when | Luke 18:22 | the moment the rich young ruler heard the Savior's teaching, his heart responded because he was unble to follow 
great wealth | what | Luke 18:23 | how interesting that the presence and collection of earthly wealth in this life often impeeds the spiritual growth
camel / eye of needle | what | Luke 18:25 | this is a saying that means exactly what it says, the camel was the largest animal familiar to Jesus audience 
 |  |  | by using this large animal and the small opening at the top of a sewing needle Jesus uses objects the people would know
 |  |  | in order to illustrate His point that riches, or the trusting in them, creates an impossiblity to following on faith 
those who heard this | who | Luke 18:26 | the members of the crowd who were bringing their children (v1) and listening to His teaching
who then can be saved? | what | Luke 18:26 | the crowd is likely illustrating how pervasive the trusting and loving of money is in the hearts of the people 
is possible with God | what | Luke 18:27 | there is nothing impossible for God, even the things that seem impossible for man are in His ability to accomplish
we have left all | what | Luke 18:28 | in reponse to this, the disciples point out how much the have sacrificed and left behind to follow Christ
no one… will fail to receive | what | Luke 18:29-30 | Jesus completes this thought by assuring the disciples, and the crowd at large that was listening to Him teach, that the Lord
 |  |  | will not forget the sacrifces made by His people in sevice. There will be an eternal reward for earthly service. 

## Sheet: Sheet2

## Sheet: Sheet3
