## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
circumsized believers | who | Acts 11:1 | these are Jewish believers
criticized him (Peter) | what | Acts 11:2 | these Jewish believers are unaware of the details of what the Lord has done through Peter in Joppa and Caesarea, their 
 |  |  | critcisim comes from their understanding that one must be a Jew in order to come to Christ
… ate with them | what | Acts 11:3 | this illustrates the depth of the Jewish believers reliance on the OT requirements of the Law, even as Christians 
Peter's defense | what | Acts 11:4-17 | In his defense, Peter recounts the details of the previous chapter making the following points
 |  |  | 1. God speaks to Peter (Acts 11:4-10)
 |  |  | 2. God speaks to Cornelius (Acts 11:11-14)
 |  |  | 3. God verifies this divine appointment with His Spirit (Acts 11:15-17)
 |  |  | 4. Peter concludes with the simple logic that if God has done this, to resist it would be to resist Him 
additional details | what | Acts 11:4-17 | Peter adds a few additional details here that the reader did not have in chapter 10
 |  |  | 1. the "sheet" came down to where Peter was (Acts 11:5)
 |  |  | 2. there were six brothers who travelled with Peter from Joppa to Caesarea (Acts 11:12)
 |  |  | 3. Corneilius was told the message from Peter would bring about their salvation (Acts 11:14)
repitition  | what | Acts 11:4-17 | Ancient writers often used repitition to illustrate the importance of events. Clearly, Luke is doing this here 
when they heard this | when | Acts 11:18 | the moment the Jewish believers heard Peter's explination they responded, there was no "down time" for them 
objections / praised God | what | Acts 11:18 | the Jewish believers now respond not only with the withdrawl of their criticism but are drawn to praising God for His grace
so then | what | Acts 11:18 | the believers here illusrate a powerful level of faith in that they need no further details and fully accept Peter's message 
persecution / Stephen | when | Acts 11:19 | Luke now takes the reader "back in time" to the events following the death of Stephen, the following account occurred 
 |  |  | before Peter's dream or visit to Caesarea
only among Jews | what | Acts 11:19 | these missionarys took the Word of the God to the various cities mentioned, but did NOT speak to any gentiles 
some of them… Greeks | who | Acts 11:20-21 | these Greeks would have heard the message of Jesus, but still would have been required to become a Jew first as Peter's
 |  |  | testimony from Cornielius had not happened yet. 
Barnabas | who | Acts 11:22 | his name means "son of encouragement" and he is specifically selected for a mission of just that
Antioch | where | Acts 11:22 | locate near the mouth of the Orontes river in Syria, it has also been known as the "Paris of the ancient world" 
went to look for Saul | what | Acts 11:25 | Barnabas already knew Saul because he was the brother who presented Saul to the disciples in Jerusalem (Acts 9:27)
Barnabas & Saul | what | Acts 11:26 | Barnabas and Saul work together for a year building the Church in Antioch. This illustrates a powerful principle for 
 |  |  | pastors that true Kingdom growth in a church family requires teaching and encouragment. 
first called Chrisitans  | what | Acts 11:26 | it is here we see the first use of the term 'Christian' in this day and time it was not a favorable term, but more an insult 
the prophet Agabus | who | Acts 11:27-28 | here we see the ministry of the Spirit did not stop but continued to work through the very members of the Church. This 
 |  |  | one in particular had the gift of prophecy (see Eph 4:11, 1 Cor 13:2)
provide help  | what | Acts 11:29 | the help provided was NOT compulsory or guilt-given, each person decided in their own heart (2 Cor 9:7) for the purpose
 |  |  | of providing help to their fellow believers. 
gifts to the elders | what | Acts 11:30 | this is the first reference to elders in the NT, while in context they are Jewish as the money is being sent to Jersusalem
 |  |  | Jews were used to having elders in their local synogues, so appointing them here would have been natural. Gentile elders
 |  |  | are addressed later by Paul in his letters to both Timothy and Titus 

## Sheet: Sheet2

## Sheet: Sheet3
