## Sheet: Sheet1
Observation | W | verse | Additional notes
Pilate | who | John 19:1 | Pontius Pilate, the Roman prefect over the region 
Jesus | who | John 19:1 | Son of God, Promised Messiah, Light of the World, 2nd Member of the Trinity
soilders | who | John 19:2 | the Roman soilders assigned under Pilate
crown of thorns | what | John 19:2 | a "crown" to mock Jesus as being a "king" although he is the King of Kings, a method of humiliation and tortue
purple robe | what | John 19:2 | purple being the color of royalty, it was additional humiliation 
Hail the King of the Jews | what | John 19:3 | though they intended it to be cruel and humiliating, the Romans were indeed correct in their statement
find no basis | what | John 19:4 | Jesus was accused of blasphamy, though He was actually the Son of God, and was guilt-less of all other crimes
Crucify! Crucify!  | what | John 19:6 | how quickly the cheers of Palm Sunday turn to the Jeers of Good Friday calling for Jesus' death
I find no basis for a charge | what | John 19:6 | Pilate could not find a reason to execute Jesus and tried to have him released several times
We have a law… | what | John 19:7 | finally the Jewish leaders admit the real reason they want to kill Jesus
where do you come from | what | John 19:9 | Pilate as a Roman believed in the fact that Gods can and do come to earth and interact with mortals
Pilate was afriad | what | John 19:8 | Pilate's wife had a dream about Jesus and warned Pilate to not harm him (Matt 27:19)
I have the power to | what | John 19:10 | we today still make the same mistake that Pilate made, thinking that we have the power to control God's plans 
greater sin | what | John 19:11 | Pilate was guilty of his part in the death of Jesus, but the Jews are more guilty because of their knowledge of the Messiah
Pilate tried to set Jesus free | what | John 19:12 | Pilate's job is uphold the law, as Jesus hadn't broken any, Pilate's job is see justice done, which means Jesus' release
anyone who claims to be king… | what | John 19:12 | The Jewish leaders use political pressure to force Pilate to kill Jesus

## Sheet: Sheet2

## Sheet: Sheet3
