## Sheet: Sheet1
Observation | W | verse | Additional notes
Jesus | who | John 14:15 | "me" Jesus speaking of Himself, Savior of the World, Promised Messiah, 2nd Member of the Trinity, Light of the World
Father | who | John 14:16 | The Eternal Father in Heaven, Creator of the World, 1st Member of the Trinity
Advocate | who | John 14:16 | The Holy Spirit, 3rd member of the Trinity, the part of the God Head that is granted to us everyday
leads to all truth | what | John 14:17 | part of the benefit of living with and by the Holy Spirit is the guidance to truth in daily living
the world | who | John 14:17 | general term for the rest of humanity, anyone who is not already in "the light" 
lives with you, later in you | what | John 14:17 | The disciples had a limited access to the Holy Spirit, because He had not been poured out on the church yet
I will come to you, you will see | what | John 14:19 | Jesus is giving His disciples a preview that He will return to them after his death before His ascension
When I am raised to life again | what | John 14:20 | Jesus again pointing out to His disciples that He was going to die, but that wouldn't be the end 
Father in Me, I in You | what | John 14:20 | Jesus' relationship with his Church is the same, we have access to the Father thru the Son
accept + obey = love | what | John 14:21 | the love that we have for the Savior is shown both in our acceptance of and obedience to His teachings
and reveal myself to each | what | John 14:21 | We have a promise from the Savior Himself that He would reveal Himself to those who love Him
Judas | who | John 14:22 | not the disciple who betrayed the Lord, but the other Judas
reveal yourself only to us | what | John 14:22 | Judas clearly understood that Jesus was reavling Himself to just the select disciples at this time
love me, do what I say, make home | what | John 14:23 | again, Jesus links the ideas of love for Him with obedience to His teachings, and now eternal security with Him
words are not my own | what | John 14:23 | remembering that Jesus words are not His own, but in line with the sovereign plan from the Father
the peace I leave with you | what | John 14:27 | one of the key characteristics of a believer should be a life that is lived in peace, not worry or conflict
I have told you these things | what | John 14:29 | Jesus foretelling certain details to His closest disciples to reassure them throught the coming events
ruler of this world | who | John 14:30 | Satan, the prince of the air, the enemy, the accuser, the serpent, the leader of the fallen angels
Father requires of Me | what | John 14:31 | Jesus showing that His entire life and ministry have led to this moment which is ordained by the Father in Heaven

## Sheet: Sheet2

## Sheet: Sheet3
