## Sheet: Sheet1
Observation | W | verse | Additional notes
Nicodemus | who | John 3:1 | a Jewish leader who at first comes to Jesus during the night, then defends him (7:51), then helps bury the body of Jesus (19:39)
Jewish Religious Leader | who | John 3:1 | the Jewish society was occupied by Rome, but they were given some freedom to rule their own matters (18:31)
Pharisee | who | John 3:1 | a part of the Jewish ruling council, in contrast to the saducees, they believed in resurrection and in angels/demons (Acts 23:6,8)
After Dark | when | John 3:2 | the first time Nicodemus visit Jesus is under the cover of darkness, most likely to conceal his seeking the Savior
evening | when | John 3:2 | referencing again, the night time setting in which this story takes place
came to speak | what | John  3:2 | Nicodemus' goal in this is to speak to Jesus, he is not there to confront or challenge, but to speak with or learn from 
Jesus | who | John 3:2 | the Son of God, third member of the Trinity, Savior of the World
Rabbi | who | John 3:2 | G4461 /Rah-BEE/ literally, "my great one" a dual sign of respect and submission to one's teaching
we all  | who | John 3:2 | Nicodemus speaking of the group of religious leaders as a whole
know God has sent You | what | John 3:2 | an admission that there were Jewish leaeders to did believe in the miraculous power of Jesuus if nothing else
to teach us | what | John 3:2 | an admission that there were some Jewish leaders who were willing to listen to Jesus' teaching, Nicodemus among them
miraculous signs | what | John 3:2 | The ministry of Jesus & His disciples was marked by the display of miraculous supernatural power (Acts 8:19)
evidence that God is with you | what | John 3:2 | the miracles that Jesus performed were the evidence that God the Father had sent Him. Just like Moses, Elijah, etc
unless you are born again | what | John 3:3 | genesis of the term "born-again" but also symbolizing the beginning of a new life of faith instead of sin
Kingdom of God | what | John 3:3 | The Kingdom of God is used to symbolize the renewed kingdom that the Jews wanted, God's Kingdom on earth
old man | what | John 3:4 | Nicodemus is referring to himself, as well as other men by proxy, in seeing the impossibility of physical rebirth
mother's womb | where | John 3:4 | Nicodemus is only seeing the natural or physical implications of the spiritual truth that Jesus is trying to relay
born of water | what | Jonn 3:5 | referring natural physical childbirth, water breaking, A human baby is born from an fluid environment
and the Spirit (of the Spirit) | what | John 3:5 | referring to the spiritual rebirth that happens at the moment of salvation 
Humans > Human Life | who | John 3:6 | all minkind or all men or all humans, speaking about us in generality about our ability or inability of procreation
Holy Spirit | who | John 3:6 | Third member of the Trinity, God the Holy Spirit, present at Creation (Gen 1:2), at Jesus' Baptism (John 1:32)
spiritual life | what | John 3:6 | the new life that comes at Salvation and is only possible by the working of the Spirit in our lives 
how are these things possible? | what | John 3:9 | Nicodemus didn't ask if it was true, he accepted Jesus teaching as true, but then wanted to understand the "how" 
don't understand these things? | what | John 3:10 | Jesus is showing that all the religious knowledge and understanding of man is nothing compared to the knowledge of the Spirit
testimony | what | John 3:11 | from the root word G3144 /Mart-TOOS/ meaning witness, also the same word we get "martyr" from 
Son of Man | who | John 3:13 | a prophetic messianic term from the old testament book of Daniel (7:13-14)
Moses | who | John 3:14 | a rescuer of the Hebrews in the Exodus story, also the deliverer of the 10 commandments
Bronze snake on a pole | what | John 3:14 | while travelling after receiving miracluous freedom, God's people rebelled, God sent a plague of snakes (Num 21:8-9)
the wilderness | where | John 3:14 | the "wilderness" is a term that comes us frequently, it is often a place of desolation where one comes closer to God (Matt 4:1)
must be lifted up | what | John 3:14 | a foreshadowing of Jesus own death on the cross at Calvary
everyone | who | John 3:15 | implying all humans on earth, this gives credence to the standpoint that God desires all men to be saved (1 Tim 2:4)
eternal life | what | John 3:16 | the promise of a resurrected life after death on this earth to live with God 
judgement | what | John 3:18 | this judgement is the eternal judgement that all men will face on Judgement Day, judged by God for our deads on this earth
God's Light | who | John 3:19 | another name for Jesus in the gospel of John 1:4-6
darkness | what | John 3:19 | the opposite of light, in this case sin, light and dark are large themes in the gospel of John 

## Sheet: Sheet2

## Sheet: Sheet3
