## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
now… | when  | Acts 8:26 | with this transition, Luke begins the next recorded moment in the ministry of Phillip the Evangelist 
angel of the Lord said | what | Acts 8:26 | there is no disputing the encounter with the Ethiopian eunuch was directed by God, this was not a casual encounter 
go south to the road… | where | Acts 8:26 | not only is this a divine appointment, it is met with divine direction, Phillip is told where to go to intercept the eunuch
Jerusalem to Gaza | where | Acts 8:26 | the total distance the eunuch would have had to travel is debated. Estimates range from 750 to 1,500 miles. Regardless of 
 |  |  | the imperical number. What is important is to observe the eunuch's dedication that he would travel for what was likely 
 |  |  | several weeks just to make it to Jerusalem to worship the One True God. 
Ethiopian Eunuch | who | Acts 8:27 | this is a man from Ethiopia who may or may not have had his genitalia altered. By the time of the first century, the term eunuch 
 |  |  | was commonly used for government officials regardless of their "below the belt" status
important official | who | Acts 8:27 | Luke expounds on the man's position in his home governemnt, this gives credenence to the idea that eunuch was positional
 |  |  | this man was in charge of the money for his home country. He is a high level person, like "Secreatary of the Treasury"
gone to Jerusalem to worship | what | Acts 8:27 | the motivation behind the eunuch's trip to Jerusalem was one of worship, while he was an official, this was not an 
 |  |  | official visit, it was a worshipful one 
on his way home | what | Acts 8:28 | the eunuch had already visitted Jersusalem and was now on the return trip headed back to his home country 
sitting in his chariot reading | what | Acts 8:28 | if the eunuch is sitting in his chariot reading then he is not driving. Given the man's high value position in his home 
 |  |  | government, he travelled with aids and likely security as well. 
Book of Isaiah | what | Acts 8:28 | often referred to as "the 5th Gospel" the book of Isaiah contains more messianic material than any other OT book 
The Spirit told Phillip | what | Acts 8:29 | again we see the Spirit directing Phillip's evangelistic work
do you understand…? | what | Acts 8:30 | Phillip takes the opportunity that the Spirit had put him in place for and begins with the very Scripture the enuch is reading
how can I? | what | Acts 8:31 | the eunuch read but did not understand the messianic nature of the passage. This is what the Spirit sent Phillip for
he invited Philip | what | Acts 8:31 | the eunuch, having a true heart to undertstand the Scriptures asked Philip to help teach him 
passage from Isaiah | what | Acts 8:32-33 | this passage is from Isaiah 53:7-8, the larger context is the suffering servant of God, the Messaih
who is the prophet talking… | what | Acts 8:34 | the eunuch does not understand to whom the passage refers, his question however illustrates his desire to know 
good news about Jesus | what | Acts 8:35 | Philip now does the task the Spirit has sent him there for, the preaching of the message of Jesus 
what can stand in the way | what | Acts 8:36 | the phrasing of the question is interesting, the eunuch asks what coul standin the way, this may be due to the fact that if
 |  |  | he was a physical eunuch, he would be exluded from Temple worship as per Deutereonomy 23:1, in this light, we can see 
 |  |  | why he may ask, "what stands in the way?"
textual varriance on v37 | what | Acts 8:37 | there are three different greek texts that are used for bible translation, please see the note at the bottom for details 
into / out of the water | where | Acts 8:38-39 | there is no way to dispute this is an example of baptism by immersion 
spirit took Philip | what | Acts 8:39-40 | as swiftly as the Spirit led Philip to this encounter, the job was done and the evangelist was moved again by the Spirit 
Observation | W | Verse | Thoughts / Details
Different Greek Texts |  |  | there are three main Greek texts that are used for Bible Translation today. Here is an overview of them
 |  |  | 1. The Textus Receptus
 |  |  |  (Latin for "Received Text"), this is the work of a 15th century Dutch theologian named Erasmus. He was racing
 |  |  | with a competing group in Spain to be the first to write a full Greek manuscript of the Scriptures. Having only a few documents
 |  |  | to work with, and a deadline to beat, Erasmus's orginal Greek Text was first published in 1516, with updated and corrected 
 |  |  | additions coming later in 1519, 1527, and 1535. The Textus Receptus was the first Greek text to be used to make vernacluar
 |  |  | translations for the common people of the day. The KJV, NKJV, MEV, and Reformation-era Bibles are based on this text.
 |  |  | 2. The Majority Text 
 |  |  | The majority text is a Greek manuscript that is often called the "democratic text." With the Scriptures being copied over the 
 |  |  | centuries, scribal errors crept their way in. The Majority text views all the manuscripts as equal and essentially gives each one
 |  |  | a single vote as to which interpretation should be accepted. There are no English tranlsations based on this text. 
 |  |  | 3. The Critical Text 
 |  |  | The Critical text is a Greek manuscript that is made from a group of ancient manuscripts and their variants
 |  |  | in an attempt to preserve the original writing of Scripture. Unlike the Majority Text, the Critical takes into account the age
 |  |  | of a document as well as the school or family from which that document arises. This is done through a process called
 |  |  | textual criticism. This text is viewed by virtually all Biblical scholars as the most accurate Greek text to date. All English
 |  |  | translations of the Bible other than those based on the Textus Recptus are based on this text. 

## Sheet: Sheet2

## Sheet: Sheet3
