## Sheet: Sheet1
Observation | W | verse | Additional notes
before Passover | when | John 13:1 | before the time of the annual Passover celebration, one of the festivals in which Jewish men are required to attend
I (Jesus)  | who | John 16:1 | Son of God, Savior of the World, Promised Messiah, 2nd Member of the Trinity, Light of the World
won't abandon your faith | what | John 16:1 | Jesus knew that persecution was coming and gave them some private encouragement to hold onto their faith
expelled from the synagogues | what | John 16:2 | part of the persecution was the necessary separation from the Jewish system of sacrifice
kill you will think they are doing… | what | John 16:2 | the Jewish persecution of the early church was done out of a misplaced zeal for the Lord
never known the Father or Me | what | John 16:3 | those who persecute the church (then & now) do so from a place of ignorance of the the Father or the Savior
when then happen, you will | what | John 16:4 | Jesus shows concern for the future state of their faith and tries to make provision for future encouragement
I didn't tell you earlier | when | John 16:4 | choosing to , hold back earlier Jesus in his final hour with his Disciples now reveals the last bits of truth
I am going… to the one who sent | what | John 16:5 | Jesus knew that His death would not be the end, but a mere transition form one place to another
the One who sent me | who | John 16:5 | God the Father, the Creator and ultimate judge of mankind
instead, you grieve | what | John 16:6 | Jesus points out their thinking is still earthly and lacking, seeing only from their self-centric  perspective
it is best for you that I go away | what | John 16:7 | Salvation in Christ is only the beginning of the Chrisitan life, empowerment by the Holy Spirit has always been a part 
The Advocate | who | John 16:7 | the Holy Spirit, the Comforter, the Spirit of Truth, the 3rd member of the Trinity
if I go away, I will send Him | what | John 16:7 | Jesus is the sender of the Holy Spirit, it is part of the Father's plan that the Son sends the Spirit to us
he will convict the world | what | John 16:8 | the Holy Spirit also brings us conviction which is meant to lead to salvation, not condemnation which doesn't
world's sin = not believing | what | John 16:9 | the sin of unbelief will bring the consequence of eternal separation, unbelief also leads to more depraved sin
righteousness is available | what | John 16:10 | though righteousness is available, because of Jesus' death and resurrection, righteousness is available
ruler of this world, already judged | what | John 16:11 | Satan, the Ruler of this World, was judged and destined when Jesus died on the cross
you can't bear it now | what | John 16:12 | 
will guide you in all truth | what | John 16:13 | another role of the Holy Spirit is to guide and direct us in all the truth of Scripture and Godly living

## Sheet: Sheet2

## Sheet: Sheet3
