## Sheet: Sheet1
Observation | W | verse | Additional notes
The Lord | who | Gen 21:1 | The Lord God, literally "Yahweh" in Hebrew, the Creator, Judge, Father, first member of the Trinity
kept his word | what | Gen 21:1 | the question if the Lord "would" keep His Word is irrelevant, the keeping of it shows His trustable character and love for us 
Sarah | who | Gen 21:1 | the wife and half-sister of Abraham, the mother of the promised child, Isaac. Gave her servant (Hagar) to her husband
what He had promised | what | Gen 21:1 | The Lord promised Sarah would bear a son (Gen 17:19), this is the promised seed through which the Covanent was passed
She became pregnant | what | Gen 21:2 | up until this point, Sarah had been barren, the pregnancy in elder years alone is a sign to the power and plan of God
gave birth to a son | what | Gen 21:2 | fulfilling the "wife duty" of this time, Sarah produces a son, the true on promised by God
named their son Isaac | what | Gen 21:2 | God had told Abraham (Gen 17:19) to name him this. Isaac means "he laughs" because they laughed at God's promise
eight days after… was born | when | Gen 21:4 | this is the time that God had given Abraham as his "responsibility" in answer to the Abrahamic Covanent (Gen 17:12)
100 years old  | when  | Gen 21:5 | age of Abraham when Isaac was born 
brough me laughter | what | Gen 21:6 | another reference to the name of Isaac meaning, "he laughs" 
all who hear will laugh with me | what | Gen 21:6 | how often the birth of a baby bring joy and laughter into our lives, even so more when that child is promised by God
I have given Abraham a son | what | Gen 21:7 | Sarah is excited that she has fulfilled her duty as the "first wife" to provide an heir for Abraham
grew up, about to be weaned | when | Gen 21:8 | weaned not from breast milk, but from needing to be under the eye of mom all day long, around 3 years old
prepared a huge feast | what | Gen 21:8 | a cultural norm of the time, most big events were celebrated with feasting and fun 
Ishmael | who | Gen 21:9 | the son of Hagar, the Egyptian son of Sarah, father of the Arab nations, "He will be like a wild man" (Gen 16:12)
Hagar | who | Gen 21:9 | the Egyptian servant and Sarai, who was given to Abraham as the "second wife" to help overcome Sarah's barrenness
making fun of her son | what | Gen 21:9 | literally "mocking" her son, the begininngs of the "emnity" that God promised between them (Gen 16:12)
get rid of that slave woman | what | Gen 21:10 | Sarah making her feeligns very clear no longer wants Hagar or Ismael around, though she was the first cause of his birth
not… share the inheritence | what | Gen 21:10 | Sarah does not want Isaac's inheritence (which was promised by God) to be shared with Ishmael
this upset Abraham | what | Gen 21:11 | Abraham doesn’t want to send his first born son away… stepping outside of God's plan for sex & family never ends well
Do not be upset  | what | Gen 21:12 | God tells Abraham about the promise He made to Hagar back at the well (Gen 16:10) about Ishmael's descendants
Do whatever Sarah tells you | what | Gen 21:12 | the very advice that started the whole problem! God is showing His grace to all parties involved in this family 
Isaac is the son through… | what | Gen 21:12 | The Abrahamic Covanent is ONLY through the line of Isaac as he was the child of God's original promise
I will also make a nation  | what | Gen 21:13 | Isahmael's descendants will be a nation, but the rest of the promises in the Covanent do not apply to them
got up early  | what | Gen 21:14 | the early rising illustrates Abraham's love for son and the desire to see him provided for 
Beersheba | where | Gen 21:14 | meaning "well of the oath" v31, the place of the oath between Abraham and Abimelech
when the water was gone | what | Gen 21:15 | in that area of the world, water is life. Without it, it looked bleek. How quickly she forgot God's promise (Gen 16:12)
shade of a bush | what | Gen 21:15 | in the midst of the harsh landscape, Hagar does what she can to provide comfort to her thristy son
God heard the boy crying | what | Gen 21:17 | Ismael literally means "God hears" again, the Lord hears a small boys cries in the midst of everyting else. What great love.
go… for I will make a nation | what | Gen 21:18 | Ishmael's protection and provision came from God Himself, though Hagar couldn't see it, God was working on her behalf
God opened her eyes | what | Gen 21:19 | "opened her eyes" in the physical sense that she was crying, but also that she didn't "see" God's provision for them 
grew up in the wildneress | what | Gen 21:20 | As God had told Hagar at the well (Gen 16:12) Ishmael would be a wildman, so the wilderness is an apt place for them 
wilderness of Paran | where | Gen 21:21 | a desert wilderness between Canaan and Sinai
a woman from Egypt | who | Gen 21:21 | Hagar was an Egyptian, she goes home to arrange a marriage for her son
arrange a marriage | what | Gen 21:21 | though not how marriages are made in our culture, we must remember this was the culture of the time, and still is today
About this time | when | Gen 21:22 | about the time that Ishamael and Hagar had been sent away from Abraham's home
Abimelech | who | Gen 21:22 | the king of the Philistines. Was deceived by Abraham about Sarah and then told by God to return her
Phicol | who | Gen 21:22 | the commander of the army of the Philistines
God is obviously with you | what | Gen 21:22 | what an observation from a pagan king! This just shows us more the blessings of God are visible to others around us
Swear to me… | what | Gen 21:23 | Abimelech, the king, who had already been deceived by Abraham (Gen 20) now asks for a promise that it won't happen again
I have been loyal, so now… | what | Gen 21:23 | Abimelech mentions the truthful, all be it frightened nature of his character from last chapter as a bargaining chip
living as a foreigner | what | Gen 21:23 | even though Abraham is living in the land that the Lord had promised him (Gen 12:7) He was still a foreigner
Yes, I swear to it | what | Gen 21:24 | Abraham does not hesitate to make this agreement with the king of a pagan nation
Abraham complained | what | Gen 21:24 | Abraham takes this opportunity to get the king to rectify a situation that had obviously caused him trouble, water is life
you have never… before | what | Gen 21:26 | Abraham had never brought up this well before, either because he didn't want to make the journey or it was trivial
gave some sheep | what | Gen 21:27 | in a ironic turn, Abraham now gives Abimelech sheep, as Abimelech did in the previous chapter 
seven lambs | what | Gen 21:30 | the Hebrew word for seven (SHEH'-vah) means both seven and oath, so the well is both well of seven and well of the oath
worshiped the Lord | what | Gen 21:33 | Abraham worships the Lord at he site of his new treaty with Abimelech, possibly to honor the restoration of the well

## Sheet: Sheet2

## Sheet: Sheet3
