## Sheet: Sheet1
Observation | W | verse | Additional notes
in a little while | when | John 16:16 | Jesus is referring to his ascension, not his death. Jesus stay on Earth ressurrected until His ascension (Acts 1:3)
won't see me, will see me again | when | John 16:16 | the first referrs to Jesus Ascension, the second refers to His glorious Return 
are you asking what I meant?  | what | John 16:19 | Jesus isn't asking b/c he doesn't know, but because he again must reiterate truth to his disciples. 
I tell you the truth | what | John 16:20 | Jesus IS the truth, he reminds His disciples again, that His words are the very source of eternal truth
will weep and mourn | what | John 16:20 | only the select disciples mourned over the loss of Jesus, "We want Barabass" was the cry on good Friday
the world will rejoice | what | John 16:20 | Satan is the Ruler of this world and rejoiced along with the Jewish Leaders at the death of the Savior
will turn to wonderful joy | when | John 16:20 | the disciples were amazed and astonished at the ressurrection of Christ, they didn't believe at first either
woman giving birth  | what | John 16:21 | the dsciples didn't know it, but the were a part of the birth of the church, the bride of Christ
you haven't done this before | what | John 16:24 | Even the Jews as God's Chosen people didn't have access to the Father directly, Jesus as the WAY granted it
I will tell you plainly  | what | John 16:25 | Jesus taught His disciples for 40 days before his Ascension, Scripture doesn’t record what was taught then
you will be scattered | what | John 16:31 | the scattering of the disciples was necessary for the spreading of the gospel, persecution added to the church
you may have peace in me | what | John 16:33 | Jesus offered a peace that passes the world's understaning for His disciples 
you will have many trials | what | John 16:33 | there is no promise in Christiantiy that guarantees a happy and easy life, to follow Christ is to accept this truth
I have overcome this world | what | John 16:33 | the power and ministry of Christ overcame death and the prince of this world and is still reigning over it

## Sheet: Sheet2

## Sheet: Sheet3
