## Sheet: Sheet1
Observation | W | verse | Additional notes
sixth month | when | Luke 1: 26 | linking these events to the previous, illustrates that Mary's angelic encounter is at least a half a year after Zecharaiah's
God | who | Luke 1:26 | First member of the Trinity, God the Father, Creator, Judge at the End Times
The angel Gabriel | who | Luke 1:26 | one of the named angels in Scripture, usually delivers God's messages: Zecharaiah (1:19), Daniel (9:21)
Nazareth  | where | Luke 1:26 | a small rural town in lower Galilee, to the southwest of the Sea of Galilee 
Galilee  | where | Luke 1:26 | the land area west of the Sea of Galilee, north of Samaria and Judea
virgin | what | Luke 1:27 | the Greek word, "Parthenos" means the same thing as our English word, she had never had relations with a man 
pledged to be married | what | Luke 1:27 | this is best understood as "betrothed" the first set of wedding vows have been said and she is Joseph's responsibility 
Mary | what | Luke 1:27 | like the place, Mary is just a simple young girl, Jesus was not born into royalty or power, humility bore the Savior
highly favored | what | Luke 1:28 | literally, "graced one" or "one on whom grace rests"  this shows the preeminence of God's grace in selecting Mary 
 |  |  | The angel did not say "full of grace" the angel is NOT worshiping Mary. The same word is used in Eph 1:6 for all believers
concieve and give birth | what | Luke 1:31 | this is why the virgin status is so important, this child is a work of God alone, not an accident of man.
call him Jesus  | who | Luke 1:31 | our English "Jesus" comes from the Greek /ee-ay-SOOS/ which is from the Hebrew wich means Joshua
Son of the Most High  | what | Luke 1:32 | this is not just exalting him above other men, but showing Jesus' close relationship with the Father
of His faher David  | what | Luke 1:32 | this child will be the fulfillment of the Davidic promises (2 Sam 7:11b-16)
Reign over Jacob's descendants | what | Luke 1:33 | Jesus is the promised Messiah King that the Hebrews have been promised, He is both King and Savior
kingdom will never end | what | Luke 1:33 | part of the Davidic promise was that Israel would have a "forever king" to rule them, a kingdom that would not end
How will this be… since? | what? | Luke 1:34 | Mary's quesiton is not one of doubt, but a lack of understanding. Gabriel's response is not one of anger, but encouragement
Holy Spirit | who | Luke 1:35 | Thrid member of the Trinity, the Comforter, Guide, and One who gives spiritual gifts 
overshadow | what | Luke 1:35 | literally "to cast shade upon" or "to cover or envelope" figuratively to cover completely in God's power
Elizabeth | who | Luke 1:36 | the wife of Zecharaiah and mother of John the Baptist, this is the second person told via angel about John the Baptist 
said "unable to conceive"  | what | Luke 1:36 | interestingly, here we have a young woman (unable to conceive) and an old woman (unable to conceive)
is in her sixth month | when | Luke 1:36 | a repeat of the same infomration that was given earli in verse 1, Elizabeth is now six months pregnant
no word from God | what | Luke 1:36 | the reason this message (and the one to Elizabeth) doesn't change is that God's Word will not fail 
I am the Lord's servant | what | Luke 1:38 | Mary's response is the epitomy of humble servitude. This powerful principle changed the world, I am the Lord's servant .
 |  |  | paralells in the Davidic Covanent and the birth narrative in Luke
 |  |  | 2 Sam 7:9  "a great name"   -  "he will be great"  Luke 1:32
 |  |  | 2 Sam 7:14  "he will be my son"  -  "son of the Most High"  Luke 1:32
 |  |  | 2 Sam 7:16  "your house and your kingdom"  -  "king over the hosue of Jacob forever"  Luke 1:33

## Sheet: Sheet2

## Sheet: Sheet3
