## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
day of Pentecost | when | Acts 2:1 | one of the "three holy days" of Levicitus 23, the name Pentecost means "50th" coming from Lev 23:16
were all together | who | Acts 2:1 | this can be understood as the 120 believers of Acts 1:15, but doesn't rule out other believers who were in town for the festival
in one place | where | Acts 2:1 | we see from 2:2 they were in a house, it is possible they are back in the upper room from Acts 1:13
Suddenly | what | Acts 2:2 | the coming of the Spirit came without warning, this illustrates for us that the experience of the spirit heralded Its own arrival
sound… wind  | what | Acts 2:2 | wind has been used as a symbol for God and His presence since the OT, see Ez 37:1-4
from Heaven | where | Acts 2:2 | there can be no mistaking the fact that the Spirit came "from" Heaven as Christ promised in Acts 1:4-5, 8
filled the whole house/room | what | Acts 2:2 | this gives the illusion that the belivers are submerged or "baptized" in the Spirit as It filled the rooom they were in 
saw… tongues of fire | what | Acts 2:3 | Luke does not say they saw fire, they saw what looked LIKE or seemed to be fire. This visual manifestation is a further 
 |  |  | witness to them of the coming of the Spirit 
rest on each of them  | what | Acts 2:3 | now the Spirit cames to rest on each and every believer, this is in stark contrast to the OT where the Spirit temporarily 
 |  |  | assisted specific people in specific tasks. 
all of them  | who | Acts 2:4 | again, Luke includes the women, male disciples, and the twelve in the Spirit's outpouring 
speak in other tongues  | what | Acts 2:4 | because of the evidence of the crowd's hearing them (Acts 2:8) this is best understood as the speaking of earthly languages
 |  |  | that the disicples from Galilee (Acts 2:7) could not have known in and of themselves 
Spirit enabled them  | what | Acts 2:4 |  this first coming of the Spirit illustrates the Spirit gives the gifts, we see Paul teach the same in  1 Corinthians 12:4 
staying in Jerusalem  | where | Acts 2:5 | because of the religious requirement to be in the city of Jerusalem for the festival of Pentecost (Lev 23) there were Jews 
 |  |  | who lived outside of Judea in town for the observance and celebration 
heard this sound | what | Acts 2:6 | again, we see Luke providing audible evidence for something happening, even the travellers and residents of Jerusalem 
 |  |  | could heard the "wind" of Acts 2:2
each one… own language | what | Acts 2:6 | the question must be asked if the miracle here is in the speaking (by the 120) or the hearing (of the crowd)? It is our opinion
 |  |  | (Pastor Bill & Zack) that the miracle should be seen in the speaking because the Spirit fell on the 120, not the crowd. The 
 |  |  | witness to the crowd furthers the theological point that the there is a change in Redeptive History happening  and from 
 |  |  | this point forward, the Age of the Church will begin and evangelism will be seen as a work of the Christain Church
… not all … Galileans | where | Acts 2:7 | the area of Galilee was known as a "backwoods" area there was a certain dialect that was noticable in the speech 
 |  |  | the fact that the crowd can "hear" where they are from further illustrates the miracle of the speaking in other languages
own native language | what | Acts 2:8-11 | because of the gift of the Spirit, proclaimation of Jesus (aka prophecy) takes place not only to fulfill the words of the OT
 |  |  | prophet Joel, but also as an immediate catalyst for the growth of the early church. 
Amazed & perplexed… mean | what | Acts 2:12 | the crowd's response tells us that the hearing of the messages in their own languages not only was "out of the ordinary" 
 |  |  | ie amazed, but their was a clear expectation that this sign had a meaning ie perplexed. The crowd then asks what it means
some… too much (new) wine | what | Acts 2:13 | in every time period there are those who do not believe or see the supernatural and must therefore justify the miraculous
 |  |  | with a natural explanation. For this crowd on this day, they chose to see the new Church as full of drunks 
Then Peter… stood up… eleven | what | Acts 2:14 | Peter, now full of the Spirit, sheds his frightened denying demeanor and boldly addressses the entire crowd 
fellow Jews / live in Jerusalem | who | Acts 2:14 | this refers to the full time residents of Jerusalem and its surrounding areas as well as those in from out of town for Pentecost
not drunk… 9am | what | Acts 2:15 | Peter refutes the accusation that the Spirit born speaking is from wine and not God. Jews did not always eat or drink until the 
 |  |  | late morning or early afternoon during festival celebration, the idea that 120 people are drunk at 9am is unrealistic 
this is what was spoken… | what | Acts 2:16 | Peter immediately calls the OT prophecy from Joel is Joel 2:28-32, the meaning asked about in 2:12 finds it answer here
in the last days  | when | Acts 2:17 | Peter interpets the "last days" to begin here at the birth of the Church not at the beginning of the Tribulation. Thus the 
 |  |  | Age of the Church is entirely a part of the "last days" of redeptive history 
pour out… on all people | who | Acts 2:17 | Peter, having just seen and experienced the coming of Spirit, by the Spirit answers the accusors from the Scriptures 
sons/daughers & young/old | who | Acts 2:17-18 | this further illustrates that now the Spirit will be given to men and women, young and old 
… until the day of the Lord | what | Acts 2:19-20 | this part of the Joel prophecy has yet to be fulfilled, they will happen at Christ's second coming
calls on the… will be saved | what | Acts 2:21 | Peter here preaches that savlation (and the Spirit) is freely available to all who will "call on the name of the Lord" 

## Sheet: Sheet2

## Sheet: Sheet3
