## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
After Jesus had said this | when | Luke 19:28 | this is the transitional verse the ends the "Journey to Jerusalem" that began in 9:51 and bring us to Jesus Passion week
Jesus | who | Luke 19:28 | the Son of God, Son of Man, Promised Messiah, Savior of the World, a healer and teacher from Nazareth
Jerusalem | where | Luke 19:28 | the captial city of Judea and the central place of Jewish spiritual and civil life, the home of the Temple 
Bethphage & Bethany | where | Luke 19:29 | two towns or villages east / northeast of the city of Jerusalem. Bethany is the home of Lazarus, Mary, and Martha (John 11:1)
Mount of Olives | where | Luke 19:29 | a large area of high ground (2,700 above sea level. Jerusalem is 2,400) to the East of the city
 |  |  | Zecharaiah prophesied that the Messiah would descend from the Mount of Olives to Jerusalem (Zech 14:4)
go… find a colt | what | Luke 19:30 | the "colt" is most likely a donkey, not a horse (see Zech 9:9 & Matt 21:2) the use of the colt alludes to Zecharah's prophecy 
 |  |  | in 9:9 that the king of Jerusalem would come to her riding on the foal of a donkey
The Lord needs it | what | Luke 19:31-34 | there is debate amongst scholars as to why the owner of the animal gives it to the two disciples sent in v29. 
 |  |  | one popular theory is that the Savior knew supernaturally of the colt, and the Father direct the man's heart to give it
 |  |  | another theory is that Jesus had made prior arrangements with the owner of the animal that are not recorded in Scripture
threw / spread their cloaks | what | Luke 19:35-36 | this is a symbol of submission to a king or ruler. By placing their own garments undernearth the Savior and the feet
 |  |  | of the donkey, the disciples (and the fickle crowd) are placing their allegiance and submssion to Him
 |  |  | sadly, this allegiance and submission will not last the week as this is Sunday and the crowd cries for His death on Friday
[palm branches not mentioned] | what | Luke 19:35-36 | notice that Luke does not mention the palm branches being placed on the ground as Jesus entered Jerusalem. This is 
 |  |  | significant. The palm branches would likely not have had any significance to Luke's gentile audience. The cultural value
 |  |  | of the palm branches for the Jews was that they were used for Simon Maccabeus when he entered Jerusalem after deafeating
 |  |  | the Syrians and freeing the Jewish people during the intertestmental period (see 1 Macc 13:51)
Blessed in the King… | what | Luke 19:38 | this is a direct quote from Psalm 118:26, interesting only Luke adds the word 'king' into the text. This is likely because
 |  |  | of Luke's emphasis on the kingship of Christ for his gentile audience who may not have been aware of the OT imagery
peace in heaven | what | Luke 19:38 | notice Luke records "peace in heaven" not "peace on earth" as in the birth annoucement (Luke 2:14) this may be because 
 |  |  | Jesus' first coming did not bring peace to earth fully, but it did however bring peace between God and man in heaven
some pharisees | what | Luke 19:39 | strict legalistic teachers who were either waiting for him in every town, or they've been travelling with him since v13:31
Teacher, rebuke your disciples | what | Luke 19:39 | the pharisees disapprove of the declarations made about Jesus and ask Him to silence them, this illustrates their blindness
stones will cry out | what | Luke 19:40 | by saying this, Jesus first rebukes the Pharisees for not seeing Him as He was, but also validates the truth of their statement
 |  |  | even if those faithful who could see the Lord for who he was were silenced, the very stones of the city would cry out
as he approached… he wept | what | Luke 19:41 | what an amazing picture of the conflicing emotions in the narrative, the crowd and disicples are elated shouting praise 
 |  |  | to God and glorifying the Savior while Jesus is heartbroken for the city He knows will reject Him before the week is out
if you had only known… | what | Luke 19:42-44 | Jesus laments over the rejection that He will face shortly from the very people of God. This rejection will ultimately lead
 |  |  | to the seige and destruction of Jerusalem by the Romans in AD 70. It has been a very popular, all though incorrect, theory 
 |  |  | that the Jews were punished because they killed the Messiah. This is not what the Scriptures say. The anti-semetic view
 |  |  | is simply not in the text. Jesus clearly points out the coming destruction is because of their rejection of Him and nothing else.
 |  |  | the destruction described here is exactly what the Romans did when they sacked Jerusalem. They surrounded the city and cut
 |  |  | off all food and supplies for three years. During that time starvation and infighting killed many. Those that were left when
 |  |  | they Romans finally breached the walls were either slaughtered or taken away as captives to be used in the gladiatorial games
When Jesus entered… | when | Luke 19:45 | the singular moment in time when Jesus physically entered the Temple courts, likely the court of the Gentiles 
drive out those selling | what | Luke 19:45 | scholars disagree whether this is the same event as the temple cleansing at the beginning of the Lord's ministry in 
 |  |  | John 2:13-22, Luke clearly associates this event with the final week of Jesus life. Either way, commercializing the Lord's 
 |  |  | house is not acceptable. The "money changers" were proffitting of of the exchange rate for temple currency and the those
 |  |  | selling animals for sacrifice were selling less than quality animals for inflated prices. Monetizing worship is wrong.
Observation | W | Verse | Thoughts / Details
it is written | what | Luke 19:46 | Jesus, being the Son of God, could have said "by my own authority" and been right, but because of the unbelieving 
 |  |  | audience, the Savior appeals to the words of Scripture to which the priests and scribes would obey
my house… house of prayer | what | Luke 19:46 | this is a quote from Isaiah 56:7, a "house of prayer for the nations" 
den of robbers | what | Luke 19:46 | this is a quote from Jeremiah 7:11 "a den of robbers" 
teaching at the temple | what | Luke 19:47 | this is the culimation of Jesus teaching ministry thus far, He is now putting Himself in direct opposition to the religious elite
… trying to kill him  | what | Luke 19:47 | the religious leaders were so blinded by their own preconceived ideas that they could not see the Lord standing before them
could not… all the people | what | Luke 19:47 | the elite couldn't kill Him (yet) because the people were so enamoured with His teaching they wanted to hear him 

## Sheet: Sheet2

## Sheet: Sheet3
