## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
no one | who | Luke 8:16 | an open address to all humanity "no one" refers indirectly to all peope 
lights a lamp | what | Luke 8:16 | Jesus uses the analogy of a lamp to describe the illuminating value of His teaching of the Word of God
hides it under | what | Luke 8:16 | no one, once they fully understood and experienced the ministry of Jesus, would choose to hide that "light" in their life
put it on a stand | what | Luke 8:16 | the "light" in our lives from the teachings of Jesus deserve to be elevated so more people can see them 
nothing hidden… into the open | what | Luke 8:17 | this verse is a little tricky and I have heard it mistaught more than once. In context, v16 is talking about the illuminating 
 |  |  | nature of Jesus teaching, v18 warns us to be careful how we listen to His teaching, so then v 17 must also be referring to the 
 |  |  | "light" that is Jesus teachings. In them, there will not be any part of our life that can't (or won't) be exposed by His "light" 
consider carefully… | what | Luke 8:18 | we have a warning, when we pay attention to His teaching and learn from them, we will learn more, but when we do not
 |  |  | even the little understanding we may have can be taken from us 
Jesus | who | Luke 8:19 | Son of God, Savior of the World, Promised Messiah of the Jewish People, 2nd Member of the Trinity, Teacher and Healer 
mother & brothers | who | Luke 8:19 | Mary, James, and the other children of Mary and Joseph the Carpenter 
not able to get near Him | where | Luke 8:19 | Jesus teaching/healing ministry is so popular at this point that crowds around him prevented access to the Savior 
those who hear… | what | Luke 8:21 | Jesus makes it clear that His "family" will be those who come to Him by faith, not by mere heritage
one day | when | Luke 8:22 | notice the chronlogical break Luke provides, the next verses did not happen concurrent with the previous ones
other side of the lake | where | Luke 8:22 | the Lake of Ganesseret, also known as the Sea of Galilee, they crossed from Galillee over to the area of Geresa
into a boat | where | Luke 8:22 | remember, at least four of Jesus disciples were experienced fishermen, being on a boat on the water was not new to them 
He fell asleep | what | Luke 8:23 | this shows us two things: (a) the water was calm enough to nap, (b) Jesus was human and did require physical rest 
squall (storm) came up | what | Luke 8:23 | violent storms were frequent because of the difference in climate & elevation between the sea and the surrounding mountains
Master | who | Luke 8:24 | the Greek word /ep-es-TAH-tase/ means superintendent or overseer. This empasises Jesus authority over them in their view
we're going to drown | what | Luke 8:24 | this gives us an idea of how bad the storm was if it could frighten the experienced sailors 
rebuked the wind and water | what | Luke 8:24 | Jesus spoke with authority and corrected the forces of nature 
where is your faith?  | what | Luke 8:25 | as if to say, "If I'm not worried, you shouldn't be either." 
Who is this?  | who | Luke 8:25 | the question we should each be asking daily, who is this? In fear amazement of who the Lord Jesus really is 
region of the Geresenes | where | Luke 8:26 | the land on the eastern side of the Sea of Galillee, likely the northeastern shore
demon posessed man | what | Luke 8:27 | this is not an allegory or metaphor, this man was indeed under the influence and control of demonic entities 
from the town | where | Luke 8:27 | this man was from this area, he was not a transient or vagrant, he was from this very region 
for a long time | when | Luke 8:27 | this poor man's condition had been this way for some time, it was not a "new" occurance, but a steady reputation of 
no clothes, or house, in tomb | what | Luke 8:27 | the demonic posession had taken the man's decency (clothes), community (house), and normalcy (tomb) from his life 
when he saw Jesus | when | Luke 8:28 | the moment of seeing Jesus for the first time caused an immediate verbal and physical response for the afflicted man 
Jesus, Son of the Most High God | who | Luke 8:28 | even the demons who  were plaguing this man's life were forced to recognize the authority of the Savior 
chained and kept under guard | what | Luke 8:29 | these are examples of the town (that he was from) trying to use earthly means to solve a spiritual problem, they don't work 
Legion, because many demons | what | Luke 8:30 | this is also not allegory or symbolism, this man was affected by multiple demonic entities 
came out, went to the pigs | what | Luke 8:33 | this is one of the mysteries of the spiritual realm that we need to accept we won't fully understand. How does a spiritual being
 |  |  | "go into" or "possess" a physical being? Even though we can not understand this, does not mean it is not real 
those tending pigs | who | Luke 8:34 | the other people from this area who had been out in fields caring for the pigs in the fields 
people from the area | who | Luke 8:35 | the other residents of this area, who had not been on the shores the day Jesus arrived 
begged to go with him  | what | Luke 8:38 | after being completely freed and healed by Jesus, the man wants to follow Jesus, this should be the response to salvation 
return home | where | Luke 8:39 | remember, this man was from the area (v27) and now he would return as a messenger sent to tell the news about Jesus

## Sheet: Sheet2

## Sheet: Sheet3
