## Sheet: Sheet1
Observation | W | verse | Additional notes
After this | when | John 7:1 | after the events of the previous chapter
Jesus  | who | John 7:1 | Son of God, Promised Messiah, 2nd member of the Trinity
Galilee | where | John 7:1 | province north of Judea and Samaria due west of the Sea of Galilee
Judea | who | John 7:1 | province west of the Jordan River and Dead Sea, home of the Jewish people and the Temple at Jerusalem
Jewish Leaders | who | John 7:1 | The Pharisees and Saducees who together led the Jewish nation
Jewish Festival of Shelters | when | John 7:1 | also called the Feast of Tabernacles, in Hebrew: Sukkot, established in Leviticus 23:24, lasted for 7 days
Jesus' brothers | who | John 7:3 | the biological half-brothers of Jesus of Nazareth
your followers | who | John 7:3 | the use of the word "your" indicates that the brothers of Jesus are not followers of his at this point
your miracles | what | John 7:3 | another attestation of the fact that Jesus ministry was known for supernatural healings and miracles
you can't become famous  | what | John 7:4 | like the crowd from the previous chapter, even Jesus own earthly family did not understand His real mission
show yourself | what | John 7:4 | by misunderstanding the purpose of Jesus mission, the earthly assumption is that Jesus should make Himself famous
the world | who | John 7:4 | in context, all the people of the world, or as many people as possible
right time | when | John 7:6 | Jesus again alluding to the fact that even His earthly ministry was guided by the timing of the Father in Heaven
(the world) does hate me |  |  | 

## Sheet: Sheet2

## Sheet: Sheet3
