## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
large crowds | who | Luke 14:25 | again, Luke uses the imagery of crowd to bear witness to Jesus teaching. This crowd likely links to Luke's description of the 
 |  |  | large amount of guests who were able to attend the 'great banquet' in the previous verses (14:15-24)
Jesus | who | Luke 14:25 | The Son of God, Son of Man, Promised Messiah, Savior of the World.  In Luke also a healer and teacher 
turning to them He said | what | Luke 14:25 | Jesus had drawn a large crowd, but knew that not all in it were truly committed. Unlike the pharisees of His day (Jn 11:48),
 |  |  | Jesus wasn't distracted by the number of people following Him, He knew that the cost of discipleship was high 
If anyone  | who | Luke 14:26 | the following statement are directed towards anyone, then or now, who would choose to follow Christ
doesn't not hate… | what | Luke 14:26 | at first glance this verse can be a bit scary in that it seems to allude to the Savior authorizing hatred. This is not the correct
 |  |  | understanding of this phrase. Both in the OT and NT the word 'hate' is used to describe the difference in devotion or 
 |  |  | commitment one can have to one thing over another (see Luke 16:13) this is about the priority of Christ in one's life
father and mother | who | Luke 14:26 | Jesus can not be suggesting that we actually hate our parents, this would contradict the 10 Commandments (Ex 20:12)
wife and children | who | Luke 14:6 | in Ephesians 5:33 and 6:4, Scripture gives us more description of how Godly families are to act, Jesus is not contradicting that
cannot be my disciple  | what | Luke 14:26 | the first requirement of discipleship is to hold Jesus as the supremem authority and priority in our lives 
carry their cross | what | Luke 14:27 | The Romans would make a condemned person carry the cross beam of their cross to the site of their execution. This was 
 |  |  | both humiliating and degrading, if we are to be committed Christ followers, we must love Him more than our own pride / life
wants to build a tower | what | Luke 14:28 | in Jesus day, a tower was a large structure usually built to to protect a city or vineyard. It was an elevate place of protection
 |  |  | if someone were to begin the project, but never finish it, it would be an insult to their character as well as an open invitation 
 |  |  | for someone to come and overpower them. 
everyone will ridicule you | what | Luke 14:29-30 | honor and disgrace were large cultural values in Jesus day, this isn't a simple teasing, this was a huge disgrace / dishonor
king about to go to war | what | Luke 14:31 | like the man failing to build a tower in the previous verses, this is only an example and is not a real person. It should also 
 |  |  | not be allegorized to apply to spiritual warfare either. The wise king in this example knew not only the size of his army, but
 |  |  | also the size of the army opposing him, because of this knowledge he was better able to make a leadership decision that 
 |  |  | protected his people and save his country from a bitter defeat 
In the same way  |  |  | both the foolish builder and the wise king teach the same lesson: "count the cost before you begin" 
 |  |  | This would not have been a poplular lesson in Jesus' day, nor is it really a poplular one today. We often beg people to come 
 |  |  | to Christ for the promise of "free" salvation but then don't inform them of the cost of discipleship. One scholar put it this way:
 |  |  | "The entrance fee into the Kingdom of Heaven is nothing, but the annual subscription is everything." 
loses its saltiness | what | Luke 14:34 | the table salt that we use today is pure sodium chrloride, thus it can not actualy loose it's saltiness. However, the salt used
 |  |  | in Jesus' day was not so pure. It was mixed with other small stones and elements evaporated from salt water or dug up from
 |  |  | the ground. Thus, it was possible for the actual sodium chrloride to be washed away and have salt loose it's saltiness 
soil or the manure pile | what | Luke 14:34 | Salt had several purposes in the ancient world. One, like today, was for flavoring. The second was used to kill weeds (the soil)
 |  |  | and also to slow the fermentation process in the manure pile. So, if the salt lost the saltiness, it wasn't only not flavorful
 |  |  | but it was also useless for its other functions as well. It was totally and utterly value-less. 
whoever has ears | who | Luke 14:35 | Jesus knew that within the large crowd (v25) there was a smaller group of actual committed disciples. He was speaking to
 |  |  | the whole crowd, but was teaching the faithful disciples that were mixed in with the fair-weather followers. 

## Sheet: Sheet2

## Sheet: Sheet3
