## Sheet: Sheet1
Observation | W | verse | Additional notes
Two years later | when | Gen 41:1 | the time between the dreams of the baker and butler and Pharoah's dreams, this was the time God had set
Pharoah | who | Gen 41:1 | the "king" of Egypt, supreme leader and deity of ancient Egypt
Nile River | what | Gen 41:1 | the major river in the region, to ancient Egypt, the Nile was the source of life and prosperity 
Dream | what | Gen 41:2 | dreams as a means of spiritual communication was important to the Egyptians, God used this to show His powerful plan
woke up / distrubed | what | Gen 41:4,7,8 | Pharoah woke up and was distrubed by his dreams, this sent him looking for someone to interpret them
magicians / wise men | who | Gen 41:8 | dream interpretation was a "big deal" in ancient egypt and thus Pharoah turned to his "proffessional" interpreters
not one could tell him | what | Gen 41:8 | because the dreams were from Jehovah, none of the worldly methods of interpretation would suffice 
I've been reminded… | what | Gen 41:9 | it was God Himself who "reminded" the cup-bearer of Joseph, because this was now God's timing for His purpose
sent for Joseph at once | what | Gen 41:14 | the urgency that Pharoah called for Joseph illustrates the level of "upset" Pharoah was at the dreams
dream last night  | when | Gen 41:15 | the dreams were so upsetting to Pharoah that he called for Joseph the next day to ease his mind
I have heard that … | what | Gen 41:15 | God had moved through the cup-bearer to have Joseph appear before Pharoah with a good reputation
beyond my power | what | Gen 41:16 | Joseph's first recorded words after two more years of unjust imprisonment show no bitterness or anger 
God can tell you | who | Gen 41:16 | As he did with the servants in the prison, Joseph is quick to say it is God (lit. Elohiym) not he who has the power
and set you at ease | what | Gen 41:16 | Joseph understood that seeking the interpretation was not the end, but the means to bring Pharoah's mind to ease
both mean the same thing | what | Gen 41:25 | just like the servants in the prison, both of their dreams were their heads being "lifted up" 
God is telling Pharoah | what | Gen 41:25 | The Soverign God, Jehovah, chooses to speak to a gentile worldly king, because it serves His purpose
the two dreams | what | Gen 41:32 | two dreams are to show God's providence and plan, just like the two dreams in the prison
gather / guard the food | what | Gen 41:35 | the purpose of God's provision was the His people the Hebrews, Egypt was "blessed by association'
suggestions received well | what | Gen 41:37 | the slave from Pharoah's dungeon is now giving advice to Pharoah AND his officials… THAT is the work of God
Since God has revealed | what | Gen 41:39 | Pharoah gives credit to God (lit. Elohiym) for the dream interpretation
in charge of my court | what | Gen 41:40 | Joseph is elevated from the lowliest of places as a prisoner to the 2nd highest role in all of Egypt 
lift a hand or foot | what | Gen 41:44 | just as Joseph had been in the prison and in Potiphar's home, Joseph now managed the work of all Egypt
30 years old | when  | Gen 41:46 | Joseph has 17 when he had his first dream (Gen 37:2), so this story took 13 years to get to this point
Mannasah, Ephraim | who | Gen 41:51-52 | the names of Joseph's sons reflect his state of mind and heart while in his place in Egypt
land of my grief | what | Gen 41:52 | in spite of being used mightily in Egypt, in his heart Joseph was still a foreigner longing for home

## Sheet: Sheet2

## Sheet: Sheet3
