## Sheet: Sheet1
Observation | W | verse | Additional notes
Passover | what | John 2:13 | Annual festival celebrated by the Jews, origins from the Exodus story, 
Jews | who | John 2:13 | The people of God, the Hebrews, the chosen people to whom God made multiple covanents with 
nearly time | when | John 2:13 | meaning it was happening currently 
Jesus | who | John 2:13 | Son of God, Savior of the World
up to Jersusalem | where | John 2:13 | leaving Jesus current location, Capernaum and going "up" in elevation to Jerusalem
the Temple | where | John 2:14 | THE Temple Jersusalem, the house of God on earth, the central place or "heart" of the Jewish people's worship
merchants | who | John 2:14 | men making a buisness of selling items for sacrificial worship and forgiveness
cattle, sheep, & doves | what | John 2:14 | all animals prescribed in the law to use for the sacrifice for forgiveness of sin
dealers or money changers | who | John 2:14 | to pay in the temple you had to use Jewish currency, for those who travelled, they needed to exchange, profit was also made here
whip | what | John 2:15 | G5416 a scourge or whip
drove out | what | John 2:15 | Jesus not only stopped the commerce, but drove out the animals, those doing the selling, and those exchanging money
chased them | what | John 2:15 | Jesus chased the men selling the animals out of the temple
scattered the coins | what | John 2:15 | by overturning the tables and scattering the coins, Jesus in effects stops the commerce and proffiting from His Father's house
going over to | what | John 2:16 | Jesus treated those who were selling doves differently than those selling the other animals
those who sold doves | who | John 2:16 | Jesus less harsh treatment of those who sold doves could be because according to the Law, they served the poor
get these things out of here | what | John 2:16 | Jesus also could have asked them to remove the birds rather than letting them loose to fly throughout the Temple
my Father's House | where | John 2:16 | another name for the Temple, the resting place of the Holy Spirit as well as the Ark of the Covanent
a marketplace | where | John 2:16 | just like today, a place of commerce where goods are bought and sold while money is being made
then | when | John 2:17 | while witnessing the events
the disciples | who | John 2:17 | the disciples of Jesus Christ
prophecy | what | John 2:17 | a saying or mentioning in Scripture about something that has not happened, or not knowable 
Jewish Leaders | who | John 2:18 | the leaders and and ruling council of the Jewish faith
God | who | John 2:18 | the God of the universe, Jahovah
What are you doing? | what | John 2:18 | First the Jewish leaders ask what he is doing, because no Jewish man in his right mind would interupt the worshp of God
What authority… to do this? | what | John 2:18 | The Jewish leaders ask by what authority he has the right to do this, since he has taken the right to do it
show us a sign to prove it | what | John 2:18 | The Jewish leaders wouldn't have been satisified with a mere answer, they wanted miraculous proof of His divinity
All right…. | what | John 2:19 | Jesus acquiesses to their request, but responds with a prophecy, not a miraculous sign
Destroty this temple | what | John 2:19 | Because of the ministry of Jesus, we are now the living Temple of God  (2nd Corintians  2:16, jesus speaking of Himself
three days I will raise it up  | when | John 2:19 | Jesus didn't mean the physical temple, but He was predicting His own ressurection 
46 years to build this temple | what | John 2:20 | Even in the face of the Savior, the self-righteous couldn't see past their own accomplishments and plans 
his disciples remembered | what | John 2:22 | post-ressureciton, the disciples now saw Jesus words as prophecy fulfilled
the Scriptures & what Jesus said | what | John 2:22 | belief in Jesus and His words led to a deeper belief in the Scriptures all together
many began to trust | what | John 2:23 | with the validation of His miracles, many people began to believe in Jesus
he knew each persons heart | what | John 2:25 | Jesus is again showing His divine character by knowing the state of people's hearts (1 Sam 16:7)

## Sheet: Sheet2

## Sheet: Sheet3
