## Sheet: Sheet1
Observation | W | verse | Additional notes
about this time | when |  Gen 14:1 | about the time that Abram parted ways with Lot and the Lord confirmed His convanent with Abram
4 Warrior Kings of the East | who | Gen 14:1 | a coalition of kings from the East: Amraphel (Shinar), Arioch (Ellasar), Kedorlamomer (Elam), Tidal (Goiim) 
5 Rebel Kings of the Plains | who | Gen 14:2 | a coalition of kings from the Plains: Bera (Sodom), Birsha (Gomorrah), Shinab (Admah), Shemeber (Zeboiim), Bela (Zoar)
12 years | when | Gen 14:4 | the number of years the Plains Kings have bene subject to the Warrior Kings of the East
13th year | when | Gen 14:4 | the year in which the Rebel Kings decide to push back against their oppressors
14th year | when | Gen 14:4 | the year in which the Warrior Kings respond to the insolence of the Kings of the Plains
plunder | what | Gen 14:11 | upon winning the battle, the  Warrrior Kings plunder Sodom & Gomorrah
kidnapping | what | Gen 14:12 | while pilfering the cities of Sodom & Gomorrrah, the Warrior Kings kidnap Lot, his family, and all his posessions
a man who escaped | who | Gen 14:13 | the un-named man brought the report back to Abram that his Lot, his nephew, has been taken
Abram, the Hebrew | who | Gen 14:13 | The father of the Jewish nation, recipeient of the Abrahamic Convanent, Progenator of God's chosen people
318 train men | who | Gen 14:4 | trained men, living in abram's household. Here we begin to see Abram as a military leaer
during the night | when | Gen 14:15 | as a sound military practice, Abram uses the cover of darkness to mask his assault of the Warrior Kings
recovered all the goods | what | Gen 14:16 | this shows Abram's aibility as a military leader,
Abram returned |  where | Gen 14:17 | Abram returned rescuing Lot to the land that God had promised to im 
Melchizadek | who | Gen 14:18 | King of Salem (peace), Priest of Most High God, 
Melchizadek's blessing | what | Gen 14:20 | the blessing confirms for us that is was God that brought Abram the victory of the Warrior Kings
will not accept anything | what | Gen 14:22 | Abram knew his victory had come from the Lord, and thus would not accept anything from the king of Sodom

## Sheet: Sheet2

## Sheet: Sheet3
