## Sheet: Sheet1
Observation | W | verse | Additional notes
on the last day | when | John 7:37 | on the last day of the festival of Shelters, Tabernacles, or Booths
Jesus | who | John 7:37 | Son of God, Savior of the World, 2nd Member of the Trinity, Promised Messiah of the Old Testament
the crowds | who | John 7:37 | the other Jewish (and possibly non-jewish) believers in the city of Jerusalem for the festival
anyone who is thirsty | who | John 7:37 | again, Jesus is making a blanket plee to all the Jews to come to Him, "thirsty" envoking the image of God's Spirit quenching thirst
the Scriptures | what | John 7:38 | at this point, the New Testament hasn't been written and thus referring to the Old Testament Scriptures 
rivers of living water | what | John 7:38 | thirst has been used to describe the internal desire for God's presence, thus rivers of water are His unending presence
Spirit | who | John 7:39 | the Holy Spirit, third member of the Trinity, the indwelt power of God on a person for the work of ministry
would be given to everyone | what | John 7:39 | referring to the day of Pentecost in Acts 2 when the Holy Spirit decended and was given to the believers for the work of ministry
everyone | who | John 7:39 | the baptism of the Holy Spirit on the Gentiles in Acts 10 was the sign to Peter that God had accepted the Gentiles as believers
had not yet been given | when | John 7:39 | while the writing of this Gospel took place after Acts 2, the timing of the narrative is prior to that event.
Jesus had not yet entered | when | John 7:39 | Jesus Himself said that the Holy Spirit can't come until He leaves his earthly ministry (John 16:7)
when the crowds heard… | when | John 7:40 | illustrating that the timing of this statement was concurrent with the previous comment made by Jesus
some of them declared | who | John 7:40 | there is divison about  Jesus and who He is, this group thinks He is a prophet
Prophet | who | John 7:40 | by calling Him a prophet they are recognizing the annointing of God on Him and the authority of God in Him 
we've been expecting | what | John 7:40 | the Jews are waiting for their promised messiah to save them from the Roman occupation and restore their kingdom
others said | who | John 7:41 | another group of Jews believing differently than the previous group
He is the Messiah | what | John 7:41 | stating that Jesus is the Messiah or Christ is a step above prophet, now recognizing Jesus as THE Messiah, not just A prophet
Galillee | where | John 7:41 | a more rural area of land north of the land of Judah more than 50 miles north of Jerusalem
royal line of David | what | John 7:42 | one of the many prophecies of the Old Testament for the Messiah was to be from the line, or house, of David the King
Bethlehem | where | John 7:42 | Bethlehem, a city just south of Jerusalem in Judea, also the village where King David was born
crowd was divided | what | Johhn 7:43 | Jesus, both then and today, is a polarizing figure. CS Lews's tri-lema, he's either a Liar, a Lunatic, or the Lord
arrested… no one laid a hand | what | John 7:44 | though the religious legalistic men of his day wanted Jesus out of the way, they were not able to manipulate their way past Him
the Temple Guards | who | John 7:45 | the men that were charged with the order and security of the Temple, who operated under the high priest's authority 
Pharisees | who | John 7:45 | `a group of the Jewish governing counsell that were knows for their legalistic zeal
have you been led astray | what | John 7:47 | it is obvious that Jesus was, in their opinion, a heretic and didn't fit their view of the Scriptures and thus was wrong
Is there a single one? | what | John 7:47 | the fact that they used themselves as their own litmus test for truth illustrates the arrogance of their legalism
foolish crowd, they are ignorant | what | John 7:47 | intersting that they disparage the crowd for their lack of knowledge when it is their job to teach that very crowd
Nicodemus | who | John 7:50 | the Jewish teacher who first came to Jesus at night in John 3 interested in knowing about eternal life
before he's given a hearing | what | John 7:51 | Nicodemus is on the sly trying to get Jesus to speak, in his own words to the Jewish rulers
are you from Galilee | what | John 7:52 | seemingly as an insult, because "Can anything good come from Nazareth?"  (John 1:46)

## Sheet: Sheet2

## Sheet: Sheet3
