## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
after this | when | Acts 18:1 | after Paul's ministry in the city of Athens 
went to Corinth | where | Acts 18:1 | the city of Corinth was destroyed by the Romans in 146 BC after an unsucessful alliance against Rome was defeated. The area
 |  |  | was uninhabited for almost 100 years until the city was rebuilt by Julius Caesar in 44 BC. By 27 BC the city was thriving
 |  |  | and was named the capital city of the province of Asia. Corinth was home to the temple of Aphrodite was believed to 
 |  |  | be the home of 1,000 temple slaves who would descend into the city at night to sell themselves as prostitues. There is debate
 |  |  | as to whether this took place in the "old" or "new" Corinth. Either way, by the time of the New Testament, the city of Corinth
 |  |  | had a well known reputation for greed and lust. So much so that the term "Corinthian Girl" was a slang term for prostitute. 
 |  |  | Because of it's location on the small bit of land that separated the Corintian Gulf from the Aegean sea, it was a very wealthy
 |  |  | city, made so by trade and the hauling of ships on log rollers from one sea to the other. 
Priscilla and Aquilla | who | Acts 18:2 | a Jewish married couple who came to faith prior to meeting Paul, most likely in the Church at Rome before the Jews were 
 |  |  | made to leave. Interestingly of the 7 times this couple is mentioned in Scripture, 5 of these verses have Priscilla's name 
 |  |  | preceeding her husbands. This may indicate her higher standing or stature in the early church. See the following verses: 
 |  |  | Acts 18:2, 18, 19, 26; Romans 16:3, 1 Corinthians 16:19, 2 Timothy 4:19. This couple would become partners in the Gospel
 |  |  | with Paul as well shared the same trade. 
all Jews to leave Rome | what | Acts 18:2 | This reference gives evidence to the growing strife between Christians and Jews. Judiasm was a legal and thus protected 
 |  |  | religion in the Roman empire. The expulsion of the Jews from Rome is possibly due to the unrest growing between Jews
 |  |  | and the growing Christian Church. 
he was a tent-maker | what | Acts 18:3 | this could also be translated "leather worker", in either regard, Paul shared a common trade with Priscilla & Aquilla 
every Sabbath… synagogue | where | Acts 18:4 | as was Paul's custom, he went to the place of worship to share Jesus with those who already knew the One True God
When Silas & Timothy… devoted | when | Acts 18:5 | Silas and Timothy finally meet up with Paul in Corinth and it is at this point that Paul dedicates himself full time to the 
 |  |  | ministry. Could this be because Silas and Timothy brought Paul funds from the Macedonian churches (2 Cor 11:9, Phil 4:15)
shook out his clothes… protest | what | Acts 18:6 | this was a common practice done by the Jews to symbolically "rid themselves" of any unclean gentile dirt they may have 
 |  |  | picked up while travelling away from home. Paul uses this practice here to illustrate the unclean-ness and thus guilty 
 |  |  | hearts of his Jewish brothers 
from now on I will go… | when | Acts 18:6 | this is not a statement overarching the rest of Paul's ministry, but rather the ministry in the city of Corinth 
Titius Justice | who | Acts 18:7 | a "God fearer" or "Worshipper of God" this man is a gentile believer in the One True God who becomes a Christian 
Crispus and his household | who | Acts 18:8 | this man is a Jews (as noted by his status as the synagogue leader) who also converts to Christianity 
many of the Corinthians | who | Acts 18:8 | there are many other converts in the city of Corinth that are not named outright 

## Sheet: Sheet2

## Sheet: Sheet3
