## Sheet: Sheet1
Observation | W | verse | Additional notes
Abraham | who | Gen 19:27 | Father of the nation of Israel, first person to be called a Hebrew, uncle to Lot
place where he stood  | where | Gen 19:27 | Abraham went back to where he had spent time with the Lord and had discussed the destruction of Sodom & Gomorrah
listened to Abraham's request | what | Gen 19:29 | The Lord was still faithful to Abraham and saved Lot from the destruction that Sodom's sin had bought
Lot left Zoar | what | Gen 19:30 | while Lot was saved from the judgment, he still wasn't safe, he was afraid of the locals in the town
let's get daddy drunk… | what | Gen 19:32-38 | the remaining verses in this chapter illustrate one very clear and eye-opening point. Our children can and will be affected by
 |  |  | the culture in which we surround them. That doesn't mean that children are going to be "good "or "bad" but that we must
 |  |  | take our responsibility as parents to teach, guide, and protect our children and not just "go along" with whatever's popular

## Sheet: Sheet2

## Sheet: Sheet3
