## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
brothers | who | Acts 13:26 | notice Paul begins the second half of this discourse with another address to both halves of his audience as "brothers" 
ppl of Jerusalem & rules | who | Acts 13:27 | Paul does not hold the Romans responsible for the death of Christ, but rather the Jews who did not see their own Messiah
condeming / fulfilled | what | Acts 13:27 | the Jews and leaders who called for Jesus execution are both at fault and the means by which salvation was achieved 
no proper ground | what | Acts 13:28 | Paul emphasizes the fact that Jesus died innocent, there was no fault in Him yet He was killed anyway 
all that was written about Him | what | Acts 13:29 | even though the Jewish people sought to rid themselves of Jesus, they ended up fulfilling prophecy about Him
God raised Him from the dead | what | Acts 13:30 | the ressurection of Jesus remains the most powerful example of God's hand on the life of Christ 
many days | when | Acts 13:31 | Jesus' post resurrection appearances were not a "one and done" thing, but mulitiple appearances to large groups (1 Cor 15:6)
those who had travelled… | who | Acts 13:31 | interestingly, Paul does not count himself as part of this group, but rather focuses on the disciples who knew Him best 
they are His witnesses | what | Acts 13:31 | the "witness" of Christ was, has been, and still is the greatest responsibility of the Christian life, we are each witnesses of
 |  |  | Christ's resurrection, His forgiveness, what He has done in each of us, and the promise of eternal life after this one
good news | what | Acts 13:32 | from the Greek / eu-an-gel-EE-zo/  which is where we get our English word "evangelize" from 
God promised our fathers | what | Acts 13:32-33 | Paul clearly sees the salvation offered in Christ as the fulfillement of the Old Testament covenants 
never see decay | what | Acts 13:34-35 | Pauls makes a connection between the resurrection (no decay) with Isaiah 55:3 and Psalm 16:10 like Peter in Acts 2
when David served… | when | Acts 13:36-37 | the prophesy of a body seeing "no decay" could not apply to David because he was buried and did decay, Peter also points
 |  |  | this out in his sermon to the Jews in Jerusalem in Acts 2
therefore, my brothers | who | Acts 13:38 | again Paul uses the word "brother" to address his audience even though some of his listeners are Gentiles. Could this
 |  |  | allude to his new understanding that in Christ Gentiles will be made a part of God's salvation? Yes, I think so. 
everyone who believes | what | Acts 13:39 | salvation in Christ is and has always been based on faith and belief, not works, merits, or anything else 
is justified  | what | Acts 13:39 | the term 'justified' in a theological sense means no longer guilty of one's sin, we are legally "not guilty" at justification 
could not be justified from | what | Acts 13:39 | this in no way means the Law could justify anyone, but rather the opposite, the Law only condemned, Christ saves 
does not happen to you  | what | Acts 13:40-41 | Paul is quoting from Hab 1:5 here illustrating that God's plan for the "new" convenant was already foretold 
invited them to speak further | what | Acts 13:42-43 | the meat of Paul's message hit home with many who heard it and they asked them to speak again 
on the next Sabbath | when | Acts 13:44 | Paul and Barnabas spent at least a week in the town of Pisidian Antioch
almost the whole city  | who | Acts 13:44 | the message of Christ had been spreading during the week after Paul's first sermon, the Holy Spirit was working in the city 
filled with jealousy | what | Acts 13:45 | the Jews in Antioch were less concerned with spiritual salvation and cared more about popoularity and social influence 
had to speak to you first  | what | Acts 13:46 | Paul and Barnabas made a point to minister to the Jews first, and then to the gentiles. Upon the Jewish rejection of the gospel
 |  |  | they will continue their work with the Gentiles
you reject it / not worthy of… | what | Acts 13:46 | again we see Paul equating the acceptance or rejection of faith with the reception of salvation in Christ 
I have made you… | what | Acts 13:47 | this is a quote from Isaiah 49:6 which Paul's sees as his ministry calling or purpose 
when the Gentiles heard… | when | Acts 13:48 | the Gentiles are happy when they hear this news as salvation will not be denied them, they will no longer be treated like
 |  |  | outsiders as the Jews have been treating them, they are now offered salvation freely by faith 
appointed for eternal life | what | Acts 13:48 | this statement seems to be in conflict with "everyone who believes" (verse 39) but the simple fact is God is sovereign and 
 |  |  | man is a free will agent. Both are Scriptural truths and should not be overextended at the expense of the other 
the Word of God spread | what | Acts 13:49 | this is the end goal of any Gospel venture, not the growth of a group, but the spreading of the Word 
Jews incited / stirred up… | what | Acts 13:50 | the jealousy from verse 45 now becomes opposition and scheming by trying to remove Paul and Barnabas from the area
shook the dust | what | Acts 13:51 | in a symbolic act of rebuke, Paul and Barnabas don't even take the dust with them from the city of Antioch 
filled with joy  | what | Acts 13:52 | despite what would appear to be a 'bad' ending to this narrative, the disciples find joy in the speading of the Word 

## Sheet: Sheet2

## Sheet: Sheet3
