## Sheet: Sheet1
Observation | W | verse | Additional notes
Jesus | who | John 8:21 | Son of God, Savior of the World, Promised Messiah, 2nd Member of the Trinity
them | who | John 8:21 | the people, the crowd, the passers-by, the nameless faceless crowd that has been listening to Jesus teaching
going away | where | John 8:21 | there was some confusion as to where Jesus was talking about, some thought that He might commit suicide
will search for me | what | John 8:21 | after the resurrection, the Jews did search for His physical body, some Jews are still searching for a Savior
will die in your sin | what | John 8:21 | the ultimate outcome of sin is death (James 1:15), sin without the forgiveness of Christ is death and separation
where I am going | where | John 8:21 | because they did not know that Jesus was from Heaven, there's no expectation that He would return there
the people | who | John 8:22 | the same crowd of people as mentioned in the previous verse
commit suicide | what | John 8:22 | while Jesus did not kill Himself, He did infact submit to having His own life taken
what does He mean | what | John 8:22 | Like most of the record of Jesus' teaching in John, the people heard, but didn't fully understand His words
from below | where | John 8:23 | humans are from earth, which is "under" or below Heaven   the natural world
from above | where | John 8:23 | Jesus is from Heaven which is "above" or higher than the earth    the supernatural world
die in your sins | what | John 8:24 | man without forgiveness is destined to die in a sinful state
who I claim to be | who  | John 8:24 | Jesus now alluding to faith in Him will result in forgiveness of sin
much to say about You / condemn | what | John 8:26 | the pharisees, while steeped in their own religiousity, were still full of sin that Jesus could have pointed out
but I won't | what | John 8:26 | while Jesus had the right and power to condemn the sinfulness of the Jewish leaders, He chose not to
one who sent me | who | John 8:26 | Jesus again reminding us that His life and ministry were guided by a Heavenly agenda
they still didn't understand | what | John 8:27 | Jesus told his disciples in Matt 13:13 that there are those who would hear but not understand His teaching
Son of Man | who | John 8:28 | an Old Testament prophetic term for the coming messiah
believed in Him | what | John 8:30 |  56pjlbjr7c90jog c97v0phb.ygtl f;ov

## Sheet: Sheet2

## Sheet: Sheet3
