## Sheet: Sheet1
Observation | W | verse | , 
Sabbath | when | Luke 6:1 | the last day of the week on the Jewish calenar. Set aside as a holy day in Leviticus 23:3
unlawful on the Sabbath | what | Luke 6:2 | in Leviticus 23:3, the Law states that there should be no work on the Sabbath, the plucking of the grain was legal (Deut 23:25)
Jesus answered | what | Luke 6:3 | again, we see the Pharisees trying to show their spiritual superiority and Jesus answering for He and His disciples 
David | who | Luke 6:3 | The second king of Israel, father of Solomon, a man "after God's own heart" writer of several Psalms
companions were hungry | what | Luke 6:3 | a short story found in 1 Samuel 21:1-6, 
consecreated bread | what | Luke 6:4 | the bread was intended for the priests to eat while serving God, it was given by a priest to David for he and his men
Son of Man | who | Luke 6:5 | this is an Old Testament prophetic term from the book of Daniel for the coming Messiah (Daniel 7:13-14)
Lord of the Sabbath | what | Luke 6:5 | Jesus is the Son of God, He was there when the Law was written, He alone is most qualified to interpret Its meaning
synagogue  | where | Luke 6:6 | a local place of teaching and worship for the Jewish people, not to be confused with the Temple 
teaching | what | Luke 6:6 | Jesus ministry has focused on two main activities, teaching and miraculous healings 
right hand was shrivelled | what | Luke 6:7 | another example of a person in need of healing from a physical infirmation or malformation 
Pharisees | who | Luke 6:7 | a very legalistic and hyper-religious group sect within Judaism. They prided themselves on their own self-righteousness 
looking for a reason | what | Luke 6:7 | their motivation is clear, they want to find something wrong with Jesus to accuse Him of and are thus waiting and watching
heal on the Sabbath | what | Luke 6:7 | based on Jesus minsitry thus far, there is good reason to believe that Jesus will infact heal this man, and He does 
knew what they were thinking | what | Luke 6:8 | even in His earthly form, Jesus knew the conduct of the hearts and minds of men, Jesus still does this to us today 
Get up and stand in front | what | Luke 6:8 | it is Jesus who makes this man the center of attention, aware that the Pharisees are watching, Jesus ensures everyone is 
good/evil, save/destroy | what | Luke 6:9 | Jesus creates a strong moral dichotomoy here between His actions and those of the Pharisees
completely restored | what | Luke 6:10 | this man's healing was full and complete, there was nothing left untouched or still scarred after the Savior's healing
were furious | what | Luke 6:11 | this illustrates (to me at least) how far off base the Pharisees hearts were that they respond in anger to a healing 
might to do Jesus | what | Luke 6:11 | how hypocritical that they are angered by Jesus healing but then will go off and conspire to do something worse to Jesus 
one of those days | when | Luke 6:12 | notice Luke's change in time, the next few vereses aren't chronogically linked to the two preceededing Sabbath stories 
mountainside to pray | where | Luke 6:12 | even Jesus took time to pray and spend time in the presence of His Father 
spent the night praying | what | Luke 6:12 | Jesus spend the night in the presence of His Father, prayer was not neglected because of the work of ministry 
chose twelve of them | what | Luke 6:13 | Jesus wasn't interested in quantity, but rather the quality of his disciples. He chose 12 that would go on to change the world
Simon Peter | who | Luke 6:14 | brother of Andrew, a fisherman from Capernaum, married, preached at Pentecost in Acts and 3,000 people got saved 
Andrew | who | Luke 6:14 | brother of Peter, also a frisherman from Capernaum, previously a disciple of John the Baptist 
James | who | Luke 6:14 | brother of John, a fisherman from Capernaum, son of Zebedee, business partners with Peter & Andrew
John | who | Luke 6:14 | brother of James, a fisherman from Capernaum, son of Zebedee, business partners with Peter & Andrew, author of 5 NT books
Phillip | who | Luke 6:14 | from Bethsaida, brought Nathaniel to Jesus
Bartholomew | who | Luke 6:14 | also called Nathanael, from Galilee, Jesus told him that he was an honest Israelite when he saw him under the fig tree
Matthew | who | Luke 6:14 | also called Levi, a tax collector whom Jesus called while at work, hosted a party for Jesus, wrote the Gospel of Matthew  
Thomas | who | Luke 6:14 | also called Didymus, known as "doubting Thomas" because of his desire to see the risen Savior 
James, son of Alphaeus  | who | Luke 6:14 | also caleld James the Younger or James the Less, possible brother of Matthew (Levi) 
Simon, the Zealot | who | Luke 6:14 | is identified as a Zealot in 4 New Testament books, present at the Last Supper and the Ascension
Judas, son of James  | who | Luke 6:14 | also called Thaddaeus and possibly Jude the author of the book of Jude, other believe it was Judas the brother of Jesus
Judas Iscariot | who | Luke 6:14 | the one who ultimately betrayed Jesus into the hands of the Jewish and Roman authorities 

## Sheet: Sheet2

## Sheet: Sheet3
