## Sheet: Sheet1
Observation | W | verse | Additional notes
God | who | Gen 35:1 | the eternal Father and Creator of all, the God who chose Abraham and his descendants as His chosen people
Jacob | who | Gen 35:1 | the son of Isaac, grandson of Abraham, the third patriarch of the Hebrews, father of the 12 tribes of Israel
Bethel | where | Gen 35:1 | the place where Jacob first heard from God after fleeing his brother Esau's wrath (Gen 28:13-15)
build an altar | what | Gen 35:1 | interestingly, this is the only time in Genesis God commands someone to build an altar
Esau | who | Gen 35:1 | the firstborn son of Isaac, older twin brother of Jacob, the brother he deceived and stole his birthrite (Gen 27)
everyone in his household | who | Gen 35:2 | the re-commitment and worship at Bethel would now be an entire family affair, not just Jacob himself
get rid of pagan idols | what | Gen 35:2 | even without the law, Jacob understood that God does not tolerate idol worship and wants to be first in the hearts of His people
 |  |  | the fact that Jacob needed to give this instruction to his family illustrates that some did still worship pagan idols
 |  |  | remember, Rachel stolet the pagan idols from the house of her father Laban when then left for Canaan. (Gen 31:34)
purify yourselves | what | Gen 35:2 | an early glimpse of the idea of "ceremonial cleanlines" or the need to be pure before coming to God 
clean clothing | what | Gen 35:2 | the idea of ritual purification is the representation of separating all that is unlcean and sinful from yourself, hence clean clothes
He has been with me | what | Gen 35:3 | Jacob now abandons the "God of my father" perspective for a personal relationship with the God who has called him 
Terror of God spread | what | Gen 35:5 | Jacob expected the nations around him to join forces and crush them militarily (Gen 34:30), the opposite is what the Lord did 
Luz | where | Gen 35:6 | the name of the place in (Gen 28:19) which Jacob then renamed Bethel
Paddan-Aram | where | Gen 35:9 | the place where Jacob went to find his wife and live with his uncle Laban. (Gen 29)
Israel | who | Gen 35:10 | God reaffirms his renaming of Jacob into "Israel" (Gen 32:8), this change reflects the inner change of faith in Jacob's life
El-Shaddai | who | Gen 35:11 | literally "God Almighty" the same name God used to identify Himself when confirming the convanent with Abraham (Gen 17:1)
be fruitful and multiply | what | Gen 35:11 |  this could be called the first commandment, given to Adam (Gen 1:28) and then again to Jacob (Gen 28:3) 
Kings… desendants  | what | Gen 35:11 | both of these elements are mentioned in God's conversation with Abraham (Gen 17:6,8)
stone pillar to mark the place | what | Gen 35:14 | Jacob either setup a new stone, or rededicated the one he made earlier (Gen 28:18-19)
Ephrath (Bethlehem)  | where | Gen 35:16 | another great example of the ability for a single place to have more than one name in Biblical history 
Rachel | who | Gen 35:16 | the second wife of Jacob, his favorite wife, the one he worked 14 years to marry (Gen 29:28)
Benjamin | who | Gen 35:18 | the youngest son of Jacob, the only full brother of Joseph
Reuben & Bilhah | what | Gen 35:21 | this small detail placed in a larger narrative and seems to be out of place. Remember that the Bible is theological history 
 |  |  | because something is mentioned, we need to ask "why" is it important? In this case, this act is what disqualifies Reuben from 
 |  |  | being the line through which the Messianic King would come (Gen 49:34)
l |  |  | likewise, the next oldest sons, Simeon and Levi are disqualified because of their murderous actions in response to the rape 
 |  |  | of their sister Dinah in the previous chapter. This then leaves Judah to be the one through whom the Messiah would come
12 sons (tribes) of Israel | who | Gen 35:22-26 | Rueben, Simeon, Levi, Judah, Issachar, Zebulun, Joseph, Benjamin, Dan, Naphtali, Gad, Asher, 
Isaac | who | Gen 35:27 | the father of Jacob and Esau, Jacob finally returns to his father in time to see him before he dies
Mamre | where | Gen 35:27 | the only plot of land that Abraham purchased from the Canaanites, to be used as a burial place. (Gen 23:17)

## Sheet: Sheet2

## Sheet: Sheet3
