## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
certain people  | who | Acts 15:1 | the identity of these persons is unknown, the primary detail of importance is their stance which drives the conflict
Judea to Antioch | where | Acts 15:1 | from the "Jewish" center of faith to the "Greek" center of Christianity 
teaching the believers | what | Acts 15:1 | these teachers were welcomed in, so they were likely Christians, but began teaching something that caused quite a stir 
cannot be saved | what | Acts 15:1 | Paul also mentions this conflict in Galatians 2, the heart of this issue however is not merely legalism, but the nature of 
 |  |  | salvation itself. If you have to do anything else other than believe in Jesus to be saved, than Jesus is not enough by Himself. 
dispute and debate | what | Acts 15:2 | discourse, dispute, and debate all are healthy parts of the Christian community, they should never lead to disunity 
see the apostles and elders | who | Acts 15:2 | the debate over this issue was sharp enough both sides felt they needed to consult the apostles on this issue. Remember, 
 |  |  | they did not have the completed Word of God as we do today, so they went to the next best source, the Apostles
Phoenicia & Samaria | where | Acts 15:3 | they were travelling south from Antioch to Jerusalem 
all believers very glad | what | Acts 15:3 | the "layman's" reception of the news of Gentile conversion is one of joy, not of arrogance or irritation 
came to Jerusalem | where | Acts 15:4 | Jersusalem is still the center of Christianity at this point in Church history 
church, apostles, & elders | who | Acts 15:4 | though the rest of this chapter only features the speaking parties, this verse seems to indicate this council was public
reported everything | what | Acts 15:4 | Paul and Barnabas reported on their ministry in the first missionary journey 
must be circumcised | who | Acts 15:5 | notice the opposition is not coming from outside, but from within the church, these men, having the best of intentions, still
 |  |  | lived by the Law and didn't see any reason not to, Jesus never cancelled it, so from their persepctive, to be a part of the 
 |  |  | covenant people of God, the new coverts needed to do all that was required of Law to be a full part of God's people 
consider this question | what | Acts 15:6 | the "meeting" does not have to imply secret or even private, they could be meeting in a large room full of witnesses 
Peter's speech | what | Acts 15:7 | Peter gives the first of three speeches in this chapter. Peter appeals to the salvific nature of his ministry to gentiles 
God made a choice | what | Acts 15:7 | Peter's vision and interaction at Cornelius' home was divinely driven and thus was God's will 
showed He accepted them | what | Acts 15:8 | giving the Holy Spirit to the Gentiles as He did with the Jews was the "stamp of approval" for Gentile inclusion in salvation 
did not discriminate | what | Acts 15:9 | Peter's perspective is that God made no difference between Jew and Gentile, so why should they begin to do so now
able to bear | what | Acts 15:10 | the "yoke" of the Law only served to illustrate man's inability to live holy before God, why would they do that to the Gentiles
through grace… we are saved | what | Acts 15:11 | this is one of the foundational elements of Christian doctrine, we are saved by grace alone. 
Barnabas and Saul  | who | Acts 15:12 | Barnabas and Saul give the second speech in this council meeting. They offer the supernatural nature of Gentile ministry
signs and wonders | what | Acts 15:12 | Barnabas and Saul give testimony of the amazing signs and wonders done during their ministry to the Gentiles 
James spoke up  | who | Acts 15:13 | James offers the third speech at this council, he gives the Scriptural basis and expectation for Gentile inclusion 
Brothers | who | Acts 15:13 | James speech is for a larger audience than just himself or a few, the address feels as if it's been given to a group 
a people for His name | who | Acts 15:14 | James also sees the Gentile inclusion in salvation as a God-ordained event 
as it is written | what | Acts 15:15-18 | James quotes here from Amos 9:11-12
rebuild Davdid's tent | what | Acts 15:16 | James quotes Amos' belief in a restored Israel, not replaced as some Covenant Theolgians would interpret 
rest of manking | who | Acts 15:17 | the understanding of who may come to God, namely Gentiles, is not a new thing, Amos saw Gentile inclusion 800 years before
Gentile warnings  | what | Acts 15:19-20 | the warnings here are not because of Jewish Law, but in response to pagan worship practices. In some pagan temples, 
 |  |  | animals were strangled, their blood drank, and their meat consumed. They also have temple prostitution. These warnings
 |  |  | are to keep the new Gentile believers from importing pagan pracitces into their new Christian faith 
Law of Moses has been preached | what | Acts 15:21 | the Law has and continues to be read across the Roman empire, this would not need to be a requirement for them 
apostles, elders, & church | who | Acts 15:22 | again, Luke seems to be painting a picture that this decision was made with the full understanding and consent of the Church
men and letter | what | Acts 15:22 | the letter would be the offical communication and answer to the question, the men travelling are the witnesses of this 
Paul, Barnabas, Silas, & Judas | who | Acts 15:22-23 | Paul and Barnabas we already know, little else is known about this Judas, and Silas will become a travelling companion of
 |  |  | Paul on his second missionary journey here in a little bit. 
the letter | what | Acts 15:23-29 | the tone of the letter is very warm and loving, and it confirms for the new gentile believers all the details already mentioned
gathered the church  | who | Acts 15:30 | the letter was delivered in a large communal setting because it was to address a community issue 
Judas & Silas were prophets | what | Acts 15:32 | the role of the prophet is to declare the word of God, this is not only telling the future but encouraging the present 
sent off, stayed home | what | Acts 15:33-34 | this section ends with the departing of Judas and Silas to return to Jerusalem while Paul & Barnabas stayed in Antioch

## Sheet: Sheet2

## Sheet: Sheet3
