## Sheet: Sheet1
Observation | W | verse | Additional notes
Jesus | who | John 9:1 | Son of God, Promised Messiah, 2nd member of the Trinity, Savior of the World, all round cool guy
man born blind | who | John 9:1 | the recipient of Christ's miraculous healing, this man goes un-named, but was born blind
Rabbi | who | John 9:2 | a Jewish term for one's religious teacher, literally means, "my great one" a way of showing honor & submission
his disciples | who | John 9:2 | the disciples of Jesus Christ, those who followed him and submitted to His teaching
why was this man…? | what | John 9:2 | the disciples clearly saw the man's being born blind as a choice, thus the question why? 
was it because of… sin | what | John 9:2 | the disciples also clearly saw the fact of this man's blindness as a judgement against sin
so the power of God could be seen | what | John 9:3 | the power of God is often most sought after and most visible in the midist of calamity and/or difficuty
Lazarus | who | John 11:1 | this is the first mention of the now famous man from bethany, he is the brother of Mary & Martha
sick | what | John 11:1 | when lazarus is introduced to us he is already deathly ill
Bethany | where | John 11:1 | a small town to the south east of Jerusalem, also the place where Jesus ascended to Heaven
Mary & Martha | who | John 11:1 | sisters most known for their disagreement (Luke 10:38-42), offered hospitality to Jesus often
pour perfume on the Lord's feet | what | John 11:2 | Jesus revealed that this was done to prepare him for his burial (John 12:7)
your friend is sick | what | John 11:3 | based on the frequency in which Jesus visited them, and his reaction to Lazarus' death, they were likely friends
sickness will not end in death | what | John 11:4 | Jesus knew what He was going to do, his confidence is "not ending in death" is a foreshadowing for us of eternal life
Glory of God, Son of God | what | John 11:4 | Jesus did not do this for His own glory, but that the Lord would ultimately be glorfied thru the Messiah
he stayed for two days | when | John 11:6 | even with the news (and knowledge) of his illness, Jesus waited two days before going to their home
Judea | where | John 11:7 | the main Jewish area of the Roman empire, also confirms that Bethany is in Judea
his disciples | who  | John 11:8 | the disciples that were following Jesus and learning from His teachings
Rabbi | who | John 11:8 | literally "my great one" a sign of both submission and respect to one's teaching and guidance
are you going there again?  | what | John 11:8 | the disciples recognizing the danger Jesus would be putting Himself in question the journey
they have/ have no light | what | John 11:10,11 | Jesus again using the themes of light and dark to illustrate His enlightening presence in our world 
fallen asleep, wake him up  | what | John 11:11 | Jesus already knew that Lazarus had died, the 2 day delay wasn't to bring about the death of Lazarus
if he is sleeping | what | John 11:12 | the disicples again misunderstand Jesus words, only seeing the physical nature of His words
now you will really believe | what | John 11:14 | Jesus left for Bethany knowing the miracle was waiting to be accomplished and it's result in the faithful 
Thomas, the twin | who | John 11:16 | Thomas is read to go and lay down his life for Jesus, also what we are each called to do to follow Jesus
in the grave for 4 days | when | John 11:17 | by the time Jesus arrives, Lazarus has been dead now for 4 days, so, he died two days before the news reach i
your brother will rise again | what | John 11:23 | a promise from the Messiah that Lazarus will rise from the dead, mistakenly understood to be the last days 
I am the resurrection and the life | who | John 11:25 | Jesus now fully affirms that HE is the ressurection and life beyond death, he reveals this power by raising Lazarus
Messiah, Son of God | who | John 11:27 | the promised Messiah from Heaven that the Jews have been waiting for. 
The Teacher | who | John 11:28 | "Didaskalos" greek word for one who teaches the things of God, reveals their faith in who Jesus was
would not have died | what | John 11:32 | her faith in Jesus as a healer is clearly portrayed in the way she addresses the Savior
anger… deeply troubled | what | John 11:33 | Jesus is emotionally moved, but at what? It can't be the death, Jesus knew about it, most likely the unbelief displayed
Jesus wept | what | John 11:35 | if Jesus knew about the death ahead of time, He also can't be weeping at it now, again more than likely unbelief
healed a blind man… | what | John 11:37 | look at the stabbing amount of unbelief and sarcasm leveled at the Lord in this statement

## Sheet: Sheet2

## Sheet: Sheet3
