## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
in those days  | when | Acts 6:1 | Luke continues the narrative of the birthing of the Church in Jerusalem 
disciples… increasing | what | Acts 6:1 | the conflict between the Hellenistic and Hebraic Jews is born out of growth. Growth can and will bring challenges 
Hellenistic Jews | who | Acts 6:1 | these are Jews whose primary language is Greek. They likely are from regions outside of Jerusalem 
Hebraic Jews | who | Acts 6:1 | these are jews whose primary language is Hebrew. They likely are from Judea and Galilee 
complained against | what | Acts 6:1 | there is some dispute amongst scholars as to the nature of the dispute mentioned here. It is my (Pastor Bill) opinion that
 |  |  | the overlooking of the Hellenistic Jews should be considered a racial slight. Because the enemy has failed to attack 
 |  |  | and defeat the church from the outside  in the previous chapters, his attention has now turned to causing strife from within
daily distribution of food | what | Acts 6:1 | here we see an early form of service style ministry. Caring for the needy has always been a Christian responsibility 
the Twelve | who | Acts 6:2 | the now restored unit of twelve apostles (see Acts 1:21-26) are the leaders of the newly formed Church of Jesus 
all the disciples  | who | Acts 6:2 | the Apostles did not govern from "on high" but rather brought together the whole assembly of disciples to choose the
 |  |  | men who would be appointed to serve 
it would not be right… | what | Acts 6:2 | the Apostles had a clear priority for prayer and teaching, so much so that other Godly men needed to be appointed 
 |  |  | so this "Care Ministry" could continue, but not impede the apostolic ministry 
wait on tables | what | Acts 6:2 | here we see the ministry refered to as "serving" the Greek word used here is /diakoneō/ which is the same root word 
 |  |  | from which we get our English term "Deacon" 
brothers (and sisters)  | who | Acts 6:3 | the Greek Word used here is /adelphōs/ here refers to people of the same ancestry or countrymen, this should not be read
 |  |  | as the apostles only speaking to the male disciples. The word means "all people" as much as mankind refers to both 
 |  |  | men and women today. 
choose… from among you | what | Acts 6:3 | the apostles give the chruch the responsibility of choice for apointing the proto-deacons. This was a whole church affair 
known to be… Spirit & Wisdom | what | Acts 6:3 | the apostles requirement for the men was that they have a well known reputation for Godliness and wisdom 
over to them  | what | Acts 6:3-4 | the newly appointed men would assume this role in order that both service and teaching continue 
they chose… | who | Acts 6:5 | all the names listed appear to be Greek in nature. This may mean that they are all Hellenistic Jews. If this is the case it is 
 |  |  | a very wise and compassionate move on behalf of the church as a whole to appoint men from the group that is offended
laid their hands  | what | Acts 6:6 | this act should be viewed as an act of commissioning or appointment as with Moses and Joshua see Numbers 27:18-23
Word of God spread | what | Acts 6:7 | the outcome of the appointment of the new servants is continued Gospel growth 
priests became obedient | what | Acts 6:7 | the new growth also included priests being drawn to Jesus
now Stephen | who | Acts 6:8 | in the next section and following chapter, Luke will focus on one of the seven men chosen, Stephen
miraculous signs… | what | Acts 6:8 | Stephen, full of grace and power, also had a ministry of miracles. This was not because of him, but the Spirit within him 
opposition arose | what | Acts 6:9 | as has the pattern thus far, powerful ministry and Kingdom growth is met with opposition 
Synagogue of the Freedmen | where | Acts 6:9 | this is likely a local synagogue in Jerusalem comprised of freed slaves from various parts of the Roman empire 
Cyrene, Alexandria, Cilicia… | where | Acts 6:9 | these likely refer to either two or four additional synagogues in or around the area of Jerusalem. It was the custom then 
 |  |  | to meet weekly in local synagogues to worship and read the Scriptures. For Jews whose primary language was Greek and 
 |  |  | not Hebrew, they would meet together and read the Law in Greek. 
argue… but could not stand | what | Acts 6:9-10 | though Stephen faced opposition, it was not his speaking skills that made him victorious, it was the Spirit's leading 
secretly persuaded | what | Acts 6:11 | these false witnesses either take Stephen's preaching wildly out of context or blantently lie, in doing so break the law 
before the Sanhedron | what | Acts 6:12 | like Jesus, Stephen is brought before the high court on false charges to answer for God's ministry 
produced false witnesses | what | Acts 6:13 | in a massively hypocritical move, Stephen's opposition break the Law (false witnesses) in order to accuse him of breaking 
 |  |  | the law himself, see Exodus 20:16
Jesus will destroy and change | what | Acts 6:14 | Stephen may have quoted Jesus from John 2:19 or Mark 14:58 in referring to His own body as the Temple that would be 
 |  |  | resurrected in three days. Jesus also said that He did not come to abolish the Law in Mathew 5:17. While the reality is 
 |  |  | that Jesus fulfilled the Law and now ushered in a new epoch of redemptive history, the Sanhedron is blind to this reality 
face like an angel | what | Acts 6:15 | this does not saw Stephen was an angel, but merely that his face looked like one. This is likely a reference to his peace
 |  |  | and surety of his closeness to the Father.

## Sheet: Sheet2

## Sheet: Sheet3
