## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
about that time | when | Acts 19:23 | Luke ends the coverage of Paul's Ephesian ministry with this last scene of a riot in opposition to Christianity
about the way  | what | Acts 19:23 | Luke is sure to inform us that the disturbance in view is over Christianity as a whole, not just Paul himself
a silversmith, Demetrius | who | Acts 19:24 | the opposition that arose here is clearly motivated by financial reasons, though he will argue several points 
silver shines  | what | Acts 19:24 | Ephesus was home to the great temple of Diana (or Artemis) the 4th wonder of the Ancient World. The temple at Ephesus
 |  |  | was four times the size of the Parthenon in Athens and was described as the most decadant of all the ancient wonders
 |  |  | local artisans would sell small statues of Artemis to travellers who came to worship at the temple. 
called them together | who | Acts 19:25 | Demetrius called a meeting of not only silversmiths, but other artisans who would be financially aligned with him 
receive a good income | what | Acts 19:25 | Demetrius begins his address revealing his true motivation, money. He will twist this to appear as religious zeal
this fellow Paul… led astray | what | Acts 19:26 | this is another great example of the impact Christianity had on the surrounding culture, even from a person of opposition
made by human hands… no gods | what | Acts 19:26 | clearly, Paul taught that idolatry was a sin and as the Gospel began to penetrate the culture, it created an impact on the 
 |  |  | prosperity of the religiously related businesses. At it's base, this is an economic opposition, not a theological one
will loose its good name | what | Acts 19:27 | the second point Demetrius makes is because of the lack of income, the reputation of the idol makers is at risk, this 
 |  |  | means their position of influence and possibly power in the culture and city is also being threatened by Christianity 
temple… be discreditted | what | Acts 19:27 | if his first two points were not enough to motivate the crowd of artisans to join his cause, the final point Demetrius makes
 |  |  | is to appeal to the religious zeal of the city. The temple at Ephesus was the greatest of its day, to insult it was to insult them
 |  |  | and the reputation of their goddess and the city itself. This adds patriotic and religious zeal to his appeal 
when they heard this… | when | Acts 19:28 | Demetrius got the response he intended to get, the crowd was whipped into a frenzy and quickly adopted a mob mentality
the whole city  | who | Acts 19:29 | the anger and oppositon quickly spread through the entire city until the mob mentality took over 
the people seized | what | Acts 19:29 | driven by anger, the mob seized two of Paul's travelling companions, likely to kill them in honor of their goddess 
 |  |  | whether Detemrius intended for this level of violence is not clear. However, intended or not, this is the result of his actions
Gaius and Aristarchus | who | Acts 19:29 | other Christian ministers who travelled and worked with Paul, by association they represent Christianity was a whole
rushed into the theater | where | Acts 19:29 | the theater at Ephesus was large enough to hold over 25,000 people, larger than many basketball stadiums today 
Paul wanted to appear | what | Acts 19:30 | Paul was eager to present a defense of himself and of the Christian faith as he had done previously
some of the officials | who | Acts 19:31 | these are wealthy gentiles in a governamental or leadership position in the city 
was in confusion | what | Acts 19:32 | the unruly state of the angry mob had a lot of fury, but very little focus 
pushed Alexander to the front | who | Acts 19:33 | what is not clear is whether Alexander is a Jew or a Jewish Christian, the former seems more likely as the Jews would have
 |  |  | wanted someone to illustrate they were not part of the "way" of Jesus so they would be out of danger from the mob
shouted for two hours | what | Acts 19:34 | the undirected energy of the crowd is reunited shouting for Artemis and city, but still doesn't solve anything 
the city clerk  | who | Acts 19:35 | this would have been an elected city leader, akin to a mayor, who would answer directly to Rome for the city's actions
 |  |  | Rome would not look too kindly on the free reign of a mob in their empire
fell from heaven | what | Acts 19:35 | this is likely a meteorite as special and sacred celestial stones were a part of the worship of Artemis 
facts are undeniable | what | Acts 19:35 | what is interesting is the "facts" that the temple of Artemis was in Ephesus and that they believed the meteorites that 
 |  |  | had fallen were her representation is not at all in conflict with Christianity, so the crowd is really off base from it's beginning
do not do anything rash | what | Acts 19:36 | here we see the "Mayor's" motivation come out, he knows he will answer for whatever happens in his city and wants to 
 |  |  | calm the actions of this crowd before things get any worse 
brought these men here… | what | Acts 19:37 | the crowd brought Gaius and Aristarchus forceablty to the theater, but they had committed no crimes 
the courts are open  | what | Acts 19:38 | the Romans prided themselves on law and order though their system was easily corrupted
settled in legal assembly  | what | Acts 19:39 | the implication here is that the mob assembly is less than legal and they will be in violation of the law themselves if they 
 |  |  | do not release Gaius and Aristarchus and disperse the unruly group 
in danger of being charged | what | Acts 19:40 | Whether Demetrius intended to incite a riot that would be unlawful or just protect his own financial wellbeing is not 
 |  |  | directly said in the text. What is clear is that because of an economic oppositon to Christianity, laws were being broken 
there is no reason for it | what | Acts 19:41 |  

## Sheet: Sheet2

## Sheet: Sheet3
