## Sheet: Sheet1
Observation | W | verse | Additional notes
A severe famine | what | Gen 26:1 | just as his father Abraham had, Isaac deals with a famine (lack of resources) in the promised land (place of blessing) 
the land | where | Gen 26:1 | specifically, the land of Canaan, the promised land, that which God had supernaturally deeded to His children 
Isaac | who | Gen 26:1 | the son of Abraham, the new steward of God's covanent and the second patriarch of the Jewish people
Gerar | where | Gen 26:1 | a city about 45 miles southwest of Jerusalem, near Gaza due west of the Salt Sea
Abimelech | who | Gen 26:1 | the king or cheiftan of the Phillistines, could also be the title of the king, like Pharoah of the Egyptians
Philistines | who | Gen 26:1 | one of the more well known pagan groups living in the promised land, Goliath would come from the Philistines 
The Lord | who | Gen 26:2 | the one true Creator, Judge, Lord, and Heavenly Father, the one who made the covanent with Abraham 
do not go down to | what | Gen 26:2 | The Lord warns Isaac not to give in to the temptation to flee the famine, God is going to provide in the midst of it
Egypt | where | Gen26:2 | the nation of ancient Egypt, but also symbolically, the antithesis of God's promised land… trusting in man's wealth
live here / stay in the land | what | Gen 26:2 | as in many time in our journey of faith, not fleeing means staying where God's wants us to be, his promised plan
I will be with you / bless you | what | Gen 26:3 | God promises that the obedience He is commanding will be rewarded, often this is the same for us
confirm…land… descendants | what | Gen 26:3 | this is a repeating of the Abrahamic covanent that the Lord already made, this is not a new promise but an extension of one
Abraham listened/obeyed | what | Gen 26:5 | this is the first time we see God mention the faith of Abraham as a part of the covanent, God established his faith
all my requirements | what | Gen 26:5 | what did God instruct Abraham to do? Move to Caanan (12:1), circumcision (17:10), sacrifice Isaac (22:2) 
So Isaac stayed | what | Gen 26:6 | in reponse to God's calling, Isaac does not leave the land, but remains faithful in the place of blessing
she is my sister | what | Gen 26:7  | in a repeat of his father's mistake, Isaac also tries to pass his wife off as his sister, this time it is a full lie 
 |  |  | thought Isaac had enough faith to stay in the land in the midst of famine, it wasn't enough to stop the lie
they will kill me | what | Gen 26:7  | Isaac had the faith to stay in Gerar, but then still was afriad of the people there seeking his life for his wife
she is so beautiful | what | Gen 26:7  | clearly, the beauty of the women in this family was enough to cause jealousy and even paranoia 
Isaac caressing Rebekah | what | Gen 26:8 | the word here means to laugh of make sport of, in an intimate way love making, clearly this touch was not platonic
guilty of great sin | what | Gen 26:10 | how interesting that the pagan king here recognizes the power of God and His ability to define sin
anyone who touches…dealth | what | Gen 26:11 | here we see an early echo of the "wages of sin is death" from Romans 
planted his crops | what | Gen 26:12 | Isaac planted, he didn't just wait for God to do it all, he shows stewardship and faith in his work ethic
the Lord blessed him | what | Gen 26:12 | the blessing of the Lord is not earned, but freely given by His grace and providence alone
Philistines jealous of him | what | Gen 26:15 | Isaac also did not ask for their jealousy, it's amazing how often jealousy can creep in on God's blessed and blessings
filled up all the wells | what | Gen 26:15 | as a retalitory act, but also a means of slowing Isaac's expansion, water was a need for life in the desert area
Go… too powerful for us | what | Gen 26:16 | here God's blessing again causes conflict with the Philistines, God's blessings were noticable to other people
reopened the wells | what | Gen 26:18 | the water from a well is the main source of life in a desert area, Isaac "reclaimed" the life that was cut off
disputes of the wells | what | Gen 26:19-22 | the wells themselves are another symbol of jealousy, but rather than fight, Isaac keeps the peace by moving on
 |  |  | interestingly, God does not speak to Isaac until after he chose to trust rather than fight for the wells of water
Lord has created enough | what | Gen 26:22 | Isaac saw the lack of conflict with his pagan neighbors as a blessing form the Lord thus naming the well this way
Beersheba | where | Gen 26:23 | the place where Abraham and Abimelech swore an oath of peace (Gen 21:31)
I am the God of your father | who | Gen 26:24 | God speaks to Isaac directly and identifies Himself as the person God of his father Abraham, God establishes relationship
built an alter | what | Gen 26:25 | Abraham clearly taught Isaac how to worship seeing as he built an alter to the Lord and worshipped him here
Phicol | who | Gen 26:26 | again, the Philistine's military leader joins their king in the request for the peace in the land
The Lord is with you | what | Gen 26:28 | Abimelech again responds to the power of God, but this time refers to God by his covanent name Jehovah
 |  |  | when Abimelech spoke with Abraham used "Elohim" a general term for God, now uses the personal name Jehovah
oath not to interfere | what | Gen 26:31 | again, the blessings of God brought the pagan nation to the doors of the Hebrews requesting peace 
well of the oath | what | Gen 26:33 | this is the second time that the well is named to remember the peace God provided from the pagan Philistines
Esau's family | who | Gen 26:34-35 | the chapter ends with a brief mentioning of the "other brother" because he is not the focus of the promise
Esau's wives | who | Gen 26:34-35 | Esau's wives were not from the "clan" of Abrham, as Rebekah was. 

## Sheet: Sheet2

## Sheet: Sheet3
