## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
then the entire council | when | Luke 23:1 | Luke links the Jewish trial of Jesus with three part Roman trial continuing the narrative 
Jesus | who | Luke 23:1 | Son of God, Son of Man, Promised Messiah, Savior of the World 
Pilate  | who | Luke 23:1 | Pilate, the Roman prefect or governer was placed over Judea after Herod Archelaus was deposed
began to state their case | what | Luke 23:2 | Here, the Jewish leaders change their approach no longer asking "Are you the Messiah?" (22:67-70) and now try to 
 |  |  | accuse Jesus of crimes that would put Him at odds with the Roman Empire 
 |  |  | 1: "leading our people astray"   this is intended to make Jesus appear to be insighting rebellion 
 |  |  | 2: "not paying taxes" this is a blatent lie (20:25) and is intended to show Jesus' insubordination to Rome
 |  |  | 3: "claims to be a king"  this claim was also false, even though Jesus is a King, it is intended to further antagonize Rome
Are you the king of the Jews? | who | Luke 23:3 | Pilate skips over the first two accusations and keys in on Jesus divine position
you have said so | what | Luke 23:3 | Jesus does not openly answer the question, but rather leads Pilate to the answer 
I find no basis for a charge | what | Luke 23:4 | Pilate , as the governing authority, examines the false claims and pronounces Jesus innocent 
started in Galilee | where | Luke 23:5-7 | when Pilate hears that Jesus is from Galilee, he sees this as an opportunity to rid himself of this problem, because Jesus
 |  |  | would have been under the jurisdiction of Herod Antipas, one of the sons of Herod the Great 
in Jerusalem | where | Luke 23:7 | the captial city of Judea, home of the Temple, seat of ruling authority for the Roman Governer 
at that time | when | Luke 23:7 | the time of the Passover. 
when he saw | when | Luke 23:8 | here Herod is portrayed in a gentler light that the Jewish religious leaders, however, Herod's desire to see the Savior does 
 |  |  | not mean he was genuine in his faith, but rather wanted to see display or performance of divine power 
Jesus gave no answer | what | Luke 23:9 | as prophesied by Isaiah in 53:7, Jesus remiains silent before His accusers. Jesus' choice not so speak should not be 
 |  |  | understood as fear or submission, but rather a superior not needing to validate the questions of an inferior authority 
vehemently accusing | what | Luke 23:10 | the religious leaders do not relent in their accusation and humiliation of Jesus, they will continue to pressure the Roman
 |  |  | authorities until they get what they want
Herod… soldiers mocked | what | Luke 23:11 | Herod's attidue changes suddenly from v8 to participating in the humiliation of Jesus 
sent Him back to Pilate | where | Luke 23:11 | by sending Jesus back to Pilate, Herod is in effect saying that he too could find no cause to kill Jesus 
Herod & Pilate… friends | what | Luke 23:12 | the emnity between Pilate and Herod is likely due to the fact that Pilate is ruling over land and people that were once ruled
 |  |  | by Herod Antipas' father (Herod the Great) and brother (Herod Archelaus). 
and the people  | who | Luke 23:13 | again we see Luke, the careful investigator (1:3) showing that a crowd of witnesses are part of the narrative events 
no basis for your charges | what | Luke 23:14-15 | again, Pilate professes Jesus innocence. This is especially important in light of Dueteronomy 19:15 where the requirement 
 |  |  | for two witnesses be required for the death penalty. Here, Luke gives us two Roman authorities both witnessing the 
 |  |  | innocence of Jesus as He stands before them 
I will punish him | what | Luke 23:16 | the term "punish" here equates to "teach Him a lesson" in our vernacluar today, this beating is completely unjustified 
 |  |  | and illustrates Pilate capitualation to the angry crowd
and release him | what | Luke 23:16 | Pilate makes his intentions clear, because Jesus has been found innocent, even though He will still be beaten, there 
 |  |  | is a clear purpose in the heart of Pilate to release Jesus as a free man 
(missing verse 17?) | what | Luke 23:17 | some modern translations do not contain verse 17, this is not a redaction of the Biblical text, but a reflection of some of the
 |  |  | earlier Greek manuscripts not containing this verse. The verse itself says: "for it was necessary for him to release one to
 |  |  | them at the feast" this is in harmony with the other gospels (Matt 27:15, Mark 15:6, John 18:39). The verse addition to Luke's
 |  |  | gospel can easily be explained as a scribal inclusion in an attempt to harmonize the gospel accounts. 
the whole crowd | what | Luke 23:18 | Luke brings his "crowd" character front and center to illustrate that the group of Jews who called for the death of Jesus
Release Barabbas | who | Luke 23:18-19 | Barabbas is described as a criminal, robber, insurrectionist, and murderer. In a sad turn of events, the crowd stoked by 
 |  |  | the unyielding religious leaders choose a killer over the Healer. Interestingly, Barabbas's name means "son of the father". 
Observation | W | Verse | Thoughts / Details
wanting to release Jesus | what | Luke 23:20-21 | Luke makes it clear, the gentile authorities tried multiple times to release Jesus, though the Romans were the instruments
 |  |  | by which the Savior's life was taken, he instigators are clearly the Jewish nation rejecting their Promised Messiah 
for a third time | what | Luke 23:22 | again Pilate attempts to save Jesus life from the Jewish crowd calling for it. This may be influenced by a dream from that 
 |  |  | Pilate's wife had the night before in which she also declares Christ's innocence, see Matthew 27:19
with loud shouts | what | Luke 23:23-24 | here we the crowd as a character getting more and more upset at not getting it's way, like a spoiled toddler complaining
 |  |  | the crowd is now spinning out of control, Pilate must act so as not to cause a riot while so many Jews are in the city 
released / surrendered | what | Luke 23:25 | Luke ends this scene with a most unjust reversal of fortunes, a murderer is set free and the Savior is condemned

## Sheet: Sheet2

## Sheet: Sheet3
