## Sheet: Sheet1
Observation | W | verse | Additional notes
before Passover | when | John 13:1 | before the time of the annual Passover celebration, one of the festivals in which Jewish men are required to attend
Jesus | who | John 13:1 | Son of God, Savior of the World, Promised Messiah, Lamb of God, Light of the World, Redeemer
his hour had come | when | John 13:1 | Jesus time had "now come" for the pinnace of His earthly ministry to happen and his attoning work to happen
leave this world | where | John 13:1 | Jesus would, upon rising from the grave, no longer be tethered to this earthly plain
return to His father | where | John 13:1 | Jesus would return to His father's side, where He is seen in the story of Stephen as being seen standing in Heaven
His disciples | who | John 13:1 | now referring directly to the 12 disciples of Jesus, Matthew, Mark, & Luke all referr to the Last Supper being the 12 only
he loved them  | what | John 13:1 | if there was any doubt of Jesus' relationship with his disciples, this settles it, He loved them dearly 
time for supper | when | John 13:2 | a simple reference to the time of day being evening time
devil had already prompted | what | John 13:2 | Jesus betrayal was not 100% Judas' idea, he was tempted and prompted by Satan to do so
Judas Iscariot | who | John 13:3 | one of the original 12 disciples, the one who finally betrayed him to the pharisees
given him authority | what | John 13:3 | Jesus knew that God the Father had granted Him authority, and chose to willingly follow His plans
come from > return to | where | John 13:3 | Jesus was first from Heaven (John 1:1) and would return to Heaven at His ascension (Acts 1:9)
got up from the table | where | John 13:4 | the table that Jesus served the last supper with his disciples, thus the washing happened after the meal
took off his robe, wrapped a towel | what | John 13:4 | Jesus set aside his "host" garments and took up the clothing and place of a servant to clean the disciples feet
washing the disciples feet | what | John 13:5 | this was a common activity done for guests, but never by a host, always by a servant, Jesus makes Himself a servant
drying them with the towel | what | John 13:5 | Jesus used his own clothing to dry the feet of his disciples, taking their dirt upon himself leaving them clean
you don't understand | what | John 13:7 | Peter didn't understand at that moment all that Jesus was trying to teach them, but he would later 
you will never wash my feet | what | John 13:8 | Peter is not making a statement of defiance, but of love and submission to Christ
unless I wash you… | what | John 13:8 | Jesus speaking of the spiritual cleansing of His blood, the only way to "belong" to Christ
then washy my hands and feet | what | John 13:9 | Peter in his typical overzealous fashion doesn't see that Jesus is talking about spritual truth, not physical
has bathed, except for the feet | what | John 13:10 | Jesus is talking about two "cleanings" bathing is salvation, while foot washing is daily renewing of holiness
an example to follow… | what | John 13:15 | Jesus's final example was for his disciples to (a) be servants and (b) see all men as equals

## Sheet: Sheet2

## Sheet: Sheet3
