## Sheet: Sheet1
Observation | W | verse | Additional notes
Jesus, Me | who | John 14:1 | Son of God, Savior of the World, Promised Messiah, The final Passover Lamb
Disciples | who | John 14:1 | the only people at the table are Jesus Himself and the 12 called disciples that became Apostles
God | who | John 14:1 | God the Father, Creator of the World, Judge of humanity in the end
more than enough room | what | John 12:2 | contradicting the idea that Jehova God only has room for certain people 
my Father's House | where | John 14:2 | Heaven, in the imagery of a spralling mansion with many rooms and additions
if this were not so… | what | John 14:2 | Jesus using the trustworthy-ness of His character to support the expanse of God's grace
when everything is ready | when | John 14:3 | Jesus again referrencing the fact that He is working on a Divine time table and there are pre-selected times for things 
I will come and get you | what | John 14:3 | Jesus coming to get His disciples at the rapture, because at the 2nd Coming Jesus is coming to Earth to reign
we don't know… | what | John 14:5 | The disciples still didn't understand all that Jesus was trying to teach them
I am THE WAY | what | John 14:6 | Jesus is not ONE WAY, but THE WAY to Heaven, there is no "other" way that is sufficient for man to reach God 
I am THE TRUTH | what | John 14:6 | Jesus is not A TRUTH, but THE TRUTH about God and thus the only reliable source of truth to know God
I am THE LIFE | what | John 14:6 | Jesus is the only way to receive eternal life, there is no other man who has proven power over death itself
no one can come to the Father | what | John 14:6 | Jesus is the only way to approach the Father in Heaven, many try to claim this, but Jesus is the only intermediary
If you know me…  | what | John 14:7 | Jesus teaching His disciples that He is the emodied revelation from Heaven of the Father
show us the Father | what | John 14:8 | while they knew Jesus, they still lacked a full understanding of who Jesus was and who the Father was
still don't know who I am | who | John 14:9 | Jesus trying to be clear about His own Messiah-ship. God the Father is revelaved fully in the person of Jesus Christ
words I speak are not mine | what | John 14:10 | Jesus was sent on a mission from the Father and spoke only that words the He was given to reveal the Father to us
believe b/c of the work | what | John 14:11 | Jesus knew that the signs and miracles that He did were to validate his mission and teaching about God the Father
will do the same works | what | John 14:12 | lost somewhat today, we as followers of Jesus are promised the power to also validate the person/ministry of Jesus
even greater works | what | John 14:12 | After Jesus ascended to Heaven, the Holy Spirit decended and baptized the church, we are all now able to do miracles
ask for anything in my name | what | John 14:13 | to "ask" as in inferior asking of the superior, specifically the attitude and practice of prayer in Jesus name

## Sheet: Sheet2

## Sheet: Sheet3
