## Sheet: Sheet1
Observation | W | verse | Additional notes
God | who | Gen 5:1 | God the loving eternal everlasting Father, Creator of the universe and final judge of all humanity
Adam | who | Gen 5:1 | the first human, first man, first husband, originally created as God's regent on earth
to be like Him | what | Gen 5:1 | despite the infection of sin at the fall, God's design and dominion over man, thus His love, has never changed
Eve | who | Gen 5:2 | implied in that God created male and female, God created Eve by hand as He did Adam
blessed | what | Gen 5:2 | God blessed Adam & Eve, by proxy all human beings, our first blessing (Gen 1:28) was to be fruitful & multiply
human / man | what | Gen 5:2 | the Hebrew word for human or mankind is " ah-dam" or Adam, the word is both a proper name and a term for humanity
Seth  | who | Gen 5:3 | Seth is NOT the first born son to Adam & Eve, though he is menioned here because it was from Seth that Noah came
Enosh | who | Gen 5:6 | son born to Seth
Kenan | who | Gen 5:9 | son born to Enosh
Mahalalel | who | Gen 5:12 | son born to Kenan
Jared | who | Gen 5:15 | son born to Mahalalel
Enoch | who | Gen 5:19 | son born to Jared
close fellowship  | what | Gen 5:22 | Enoch break the pattern because of his close relatioship with God
God took Him | what | Gen 5:24 | Enoch did not die, but was merely "taken up" or one could say raptured by God to be with Him
Methusela | who | Gen 5:21 | son born to Enoch, he is the oldest person listed in the Bible
Lamech | who | Gen 5:25 | son born to Methusela
Noah | who | Gen 5:29 | son born to Lamech, built the Ark, was the father of the family that survived the flood
releif | what | Gen 5:29 | the hebrew word for Noah sounds similar to a term for relief or comfort, this could also be prophetic of Noah's mission
ground the Lord had cursed | what | Gen 5:29 | there still is a clear messianic expectation, as the Son of Lamech is thought to bring relief from sin's effects 
Timeline |  |  | I count 1556 years from Adam to the birth of Shem, Ham, & Japheth
 |  |  | Noah was born 10 generations after Adam
Messianic Bloodline |  |  | what we know now is this is the bloodline of Jesus, the true Messiah (Luke 3:36-38)

## Sheet: Sheet2

## Sheet: Sheet3
