## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
Jesus  | who | Luke 18:1 | Jesus, the Son of God, Son of Man, Promised Messiah, Savior of the World, in Luke highlighted as a healer and teacher 
told his disciples | who | Luke 18:1 | this first parable is told to the Savior's disciples and is continuing to prepare them for the work of ministry
to show them to pray… | what | Luke 18:1 | Luke gives us Jesus' motivation for the parable telling the reader that this parable is to encouarge persistent prayer 
a certain town | where | Luke 18:2 | the "certain town" is only important in that it is the home of both the judge and the woman it's exact location is not important
a judge… | who | Luke 18:2 | the judge didn't fear God (faithful) or man (compassion) thus the portrait is the opposite of God 
a widow | who | Luke 18:3 | a woman who has lost her husband and by proxy her main source of provision, she is at the mercy of the judge
kept coming to him  | what | Luke 18:3 | her actions illustrate persistence and desparation. She is not able to accomplish what see is seeking from the judge
grant me justice | what | Luke 18:3 | what the circumstances of the widow's case are is unclear, however, regardless of the details, the unjust judge is 
 |  |  | the only person of authority over the case to which she can plead for help
For some time | when | Luke 18:4 | the amount of time the judge held off helping and the reason for the delay are both left unsaid, the Roman court system
 |  |  | was rife with bribes and it is possible the judge is waiting for such a payment. The widow, being poor, is unable to pay
Even though I do not… | what | Luke 18:4 | the parable is built to assure us that it was not the judge's faithfulness or compassion that ultimately moved him to 
 |  |  | help the woman, the only reason for his change of heart was the persistence of the widow
I will see that she gets justice | what | Luke 18:5 | the final outcome of the widow's case is one of justice, even from an unjust judge
attack me / wearing me out | what | Luke 18:5 | verse 5 gives a good example of the difference between the translation of a group of words and the intended meaning of a
 |  |  | phrase. The literal words in Greek are difficult to translate, but in essence mean "to give a black eye". This is why the NIV
 |  |  | translates the verse "attack" the HCSB, NKJV, NASB, and NLT render this as "wear me out" which is a more accurate view
 |  |  | of the phrase itself. The woman is not physically attacking the judge, but she is "wearing him out" by her persistence 
and will not God | what | Luke 18:7 | Jesus uses a classic "lesser to greater" Hebraic argument to illustrate if a wordly, faithless, compassionless man will do
 |  |  | this for a stranger, how much more would a benevolent loving God answer the persistent requests of His chosen people
get justice, and quickly | when | Luke 18:8 | this should not be considered to be "fast" but "timely" God doesn’t answer all prayers in the moment, but in the right time
when the Son of Man comes | when | Luke 18:8 | linking to the end of the previous section, Jesus refers again to His second coming
will He find faith | what | Luke 18:8 | looking at the challenging truths from last chapter, it is easy to see how the disciples may have been scared or struggling
 |  |  | with what was to come. To this Jesus teaches this parable of persistence, and reminds them to keep the faith 
to some who were confident… | who | Luke 18:9 | this next parable is addressed to a new audience, time to the self-righteous religious crowd
looked down on… | what | Luke 18:9 | a by-product of self-exaltation is the view that everyone else is "lower" than you
two men went to pray | what | Luke 18:10  | at the outset of the parable, both men are equals before God, they are both coming to the Lord to pray
a pharisee | who | Luke 18:10  | a member of a group of hyper-legalistic Jewish teachers, they were the minority in the sanhedron, but had more influence
a tax collector | who | Luke 18:10  | tax collectors were seen as traitors and theives because they collected Jewish money and gave it to Roman hands
 |  |  | Rome did not share their porition of taxation, so many tax collectors would take more than Rome required and keep the rest
Pharisees prayer | what | Luke 18:11 | "I thank you" is the only Godly part of this prayer, the pharisees focus is on his own actions and self-righteousness
stood at a distance | what | Luke 18:13 | the "distance" from the pharisee taken by the tax collector illustrates a heart of humility, unlike the pharisee 
not even look / beat his breast | what | Luke 18:13 | both of these actions show a humble heart, the tax collector did not consider himself worthy, unlike the pharisee
tax collector's prayer | what | Luke 18:13 | in contrast to the pharisee's prayer, the tax collector focuses on God's ability to forgive his sin, not his own worthiness
went home justified | what | Luke 18:14 | this would have been a big shock to see the tax collector be the one justified and the pharisee not. Remember that Luke 
 |  |  | was a travelling companion of Paul. The understanding of "justification by faith" is clearly seen here as in Romans 3:23
 |  |  | Luke uses the same word that Paul does for justification, meaning been seen as righteous before God
exalt / humbled | what | Luke 18:14 | the Savior ends with a statement of reversal. The common thought of the day was that the self-righteous were indeed the
 |  |  | righteous before God and the poor, afflicted, or otherwise undesireable were already being judged by God. The illustration
 |  |  | of justification by faith here is meant to rebuke their wrong thinking and inform ours about how faith really works. 

## Sheet: Sheet2

## Sheet: Sheet3
