## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
the apostles | who | Acts 5:12 | the now restored twelve, with the addition of Mattias to replace Judas, the leaders of the early Church
many signs and wonders | what | Acts 5:12 | following in the example of their Teacher, the apostles used miraculous signs to validate their teaching about Jesus
all the believers | who | Acts 5:12 | Luke again illustates the unity of the believers meeting together to worship 
in Solomon's Colonnade | where | Acts 5:12 | a specific area of the Temple, because all the believers were Jewish at this point, it was natural to worship in the Temple 
No one else dared join them | who | Acts 5:13 | this can be taken two ways: (a) non-believers dared not join the Church as a whole because of fear, or (b) other Christians
 |  |  | dared not join the apostles while they worshiped the Lord in the Temple out of reverence (a kind of fear) for the apostles 
highly regarded | what | Acts 5:13 | the apostles and the early church had a high regard in the eyes of the people, but not of the Temple's leaders 
more men and women | who | Acts 5:14 | notice that women are mentioned specifically again, Luke is clearly portraying women as a part of the Church's activity 
Peter's shadow on the sick | what | Acts 5:15 | it was a common belief at this time that a person's shadow was an extension of themselves. Because of this, people began
 |  |  | to have the supersticious belief that Peter's shadow could heal. Notice Luke doesn't say this actually occurred, only that 
 |  |  | people began to bring the sick and infirmed onto Peter's "shadow side". 
crowds gathered | who | Acts 5:16 | Luke again uses the presence of a crowd to establish multiple witness attestation. This time it validates the witnesses of the 
 |  |  | healing ministry of the apostles. Notice also that ALL the sick who were brought to the apostles were healed. This was not 
 |  |  | a "hit or miss" ministry, but one of full power and anointing. 
then…  | when | Acts 5:17 | sadly, the response to true Spirit born ministry is often joy or hatred. In this case, the people were filled with joy and the 
 |  |  | religious leaders were filled with hateful jealousy. Peter an the apostles were taking the spotlight away from them and 
 |  |  | gaining an influence with the people that was not subject to the Sanhedron's rule. 
high priest | who | Acts 5:17 | this could be Annas or Caiaphas, the text is not clear 
members of… the sadducees | who | Acts 5:17 | one of the two groups comprising the Sanhedron, the Sadducees were larger in number, but lesser in influence. 
arrested the apostles | what | Acts 5:18 | some have tried to claim that this is the second telling of a the previous arrest of Peter and John, however, in this narrative
 |  |  | all of the apostles are seen as ministering (5:12) and all are arrested (5:18), unlike Peter and John previously 
during the night | when | Acts 5:19 | the angelic jailbreak wil happen at night. This could be to symbolize the "darkness" in the hearts of the leaders unwilling
 |  |  | or unable to see the power of God moving in the midst of God's people 
an angel of the Lord | what | Acts 5:19 | it is ironic that the Lord uses an angel to set the apostles free from jail, seeing as the Sadducees don't believe in angels 
 |  |  | see Acts 23:8. Some have attempted to claim that the word used here for angel /ahn-geh-loss/ does literally mean 'messenger'
 |  |  | and therefore could have been a human intervention. While this is gramatically accurate, it does not fit within Luke's 
 |  |  | use of the term throughout the book of Acts. 21 times this word is translated in the NIV into 'angel' in the divine sense. 
 |  |  | to read this as a human being used by God would be foreign to Luke's perspective on angelic messengers. 
go stand… tell the people | what | Acts 5:20 | the encouragement from the angel is two-fold: (a) go back to the place where you were in the house of the Lord, (b) keep
 |  |  | preaching that which you have seen or heard about this message of new life 
at daybreak | when | Acts 5:21 | this illustrates it is not only the next day, but early the next day. There was no "downtime" in their obedience to the angel
called together the sanhedron | who | Acts 5:21 | the full 71 member body of the ruling teachers and elders of Isreal. This means there are Sadducees and Pharisees present
on hearing this report | what | Acts 5:22-24 | further illustrating the ignorance of the religious leaders, they did not know how or why their prisoners had escaped
did not use force… were afraid | what | Acts 5:25-26 | the temple guards knew how fickle a religious crowd could be, since they had a high regard for the apostles (v13)
we gave your orders | what | Acts 5:27-28 | the only charge they could level at the apostles was for disobedience. The people still looked up to them, and the miracles
 |  |  | done by the Spirit's power validated their ministry, but "untrained, ordinary men" (4:13) to teach the people was unheard of
determined to make us guilty | what | Acts 5:28 | the Sanhedron, and the Sadducees overall still did not recognize the statement made by the crowd at Jesus trail (Matt 27:25)
must obey God… men | what | Acts 5:29 | Peter, taking another prominent position in the early church, Peter points out that obedience God civil authority is only 
 |  |  | to be required until it directly conflicts with God's authority 
God of our Fathers | who | Acts 5:30 | Peter clearly connecting with the patriarachal roots of the Judaism sees Christianity as the fulfillment of promses made 
 |  |  | to the Patriarchs of the Jewish people: Abraham, Isaac, and Jacob 
raised from dead… you killed | what | Acts 5:31 | Peter again lays the responsibility for the death of Jesus at the feet of the religious leaders who called (and plotted) His death
Prince and Savior | what | Acts 5:31 | this is one of the only two times in which the word Savior is used in Luke.
we are witnesses | what | Acts 5:32 | Peter and the apostles continue to do that which Jesus had set out for them, to be His witnesses (Acts 1: 8)
and so is the Holy Spirit | who | Acts 5:32 | the Holy Spirit was an additional witness and verification that Jesus was indeed the Savior and had sent the Spirit 
 |  |  | to the Church as the guarantee of His victory and promise of His return. 
furious… put them to death | what | Acts 5:33 | the full Sanhedron had just been lectured by a common fishermen who had the Spirit of God. Their response was rage
Gamaliel | who | Acts 5:34 | a very well respected Pharisee, also a teacher of the apostle Paul (Acts 22:3)
consider carefully | what | Acts 5:35 | wise words to a group of men who were already hot tempered and ready for action. Gamaliel's speech, while helpful to the
 |  |  | apostles should not be seen as pro-Christianity, but merely with a high view of God and His sovereinty, he wanted 
 |  |  | the governing people of Isreal not to rush into a decision that would bring moer focus to their crimes 
Theudas & Judas | who | Acts 5:36-38 | Gamaliel sites two revolutionaries that attempted to overthrow the Roman occupation and were killed for it. Their followers
 |  |  | who may have been passionate at the time, were no longer an issue
if it is from God | what | Acts 5:39 | possibly alluding to 2 Chronicles 13:12, the advice is be patient and "examine the fruit" before making judgment
had them flogged | what | Acts 5:40 | the apostles are flogged for the crime of disobedience to the Sanhedron. This gives us a great example of how the Christian 
 |  |  | today should view their relationship and submission to the civil governemnt authories. 
worthy of suffering  | what | Acts 5:41 | the apostles saw the flogging as a symbol of being "worthy enough". This is a perspective that we have definitely lost 
 |  |  | in our modern day view of Christiantiy. The apostles, like Christ, would suffer for the cause, but this was a blessing
day after day… house to house | what | Acts 5:42 | Gamaliel's words rang true as the power of the Gospel could not be contained or stopped and continued to spread

## Sheet: Sheet2

## Sheet: Sheet3
