## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
then | when | Acts 7:1 | this chronological term links the events of this chapter with the ones from the previous 
the high priest | who | Acts 7:1 | most likely Ciaphas as he was the sitting high priest at the time (Matthew 26:3)
are these charges true | what | Acts 7:1 | in our modern day vernacular this would be "How do you plead?" 
 |  |  | Remember the false charges against Stephen were two fold: (a) speaking against the Temple,  (b) disobeying the Law
brothers and fathers | who | Acts 7:2 | Stephen addresses his audience as all men because only men could serve on the Sanhedrin 
our father Abraham | who | Acts 7:2 | the first man to be called a Hebrew, the first to receive the covenant promises from the Lord (Gen 12) 
still in Mesopotamia  | where | Acts 7:2 | Stephen points out that God came to Abraham while he was still in his "old" land, he begins his first argument here
 |  |  | that physical location is of little value when it comes to holiness before God. He is defending himself and pushing back 
 |  |  | agains the idolatry of the Temple complex by the Jews of his day 
Leave.. Go to… I will show | where | Acts 7:3-4 | The Lord called Abraham away from his homeland, his people, and to settle in an area that was selected by God not himself
 |  |  | the promised land is made holy because of God's chosing, not because in and of itself it is more worthy 
gave him no inheritence | what | Acts 7:5 | Abraham lived as a foreigner in the promised land. The only land he purchased was a burial cave at Machpelah (Gen 23)
God promised… possess land | what | Acts 7:5 | Israel's inheritence of the promised land was not due to a business deal or their own military power, it was God's will 
had no child | what | Acts 7:5 | the Abrahamic covenant promised descendants at a time when Abraham and Sarai had no children (Gen 18)
Your descendants will be slaves | what | Acts 7:6 | God told Abraham about the Egyptian captivity long before Joseph and his brothers were born
come out… worship me | what | Acts 7:7 | the purpose of redeption from the slavery of sin is the restoration of relationship with the Father to worship Him 
covenant of circumcision | what | Acts 7:8 | God's makes his covenant with Abraham in Gen 15, but does not give him the sign of the covenant until Gen 17
Abraham, Isaac, Jacob, the 12 | who | Acts 7:8 | Stephen recounts the growth of God's chosen peope from a single man to a family lineage 
Jealous of Joseph…  | what | Acts 7:9-10 | though it would appear that jealousy and anger had their way with Joseph, Stephen clearly understands God had a plan
ruler of all Egypt | what | Acts 7:10 | God had moved Joseph to Egypt for the expressed purpose of making him ruler, in order to save his family 
then a famine struck | what | Acts 7:11 | the famine was not an accident or coincidence, God gave Pharoah the dream about the coming famine (Gen 41)
first visit / second visit  | when | Acts 7:12-13 | Stephen makes the point that during the first visit Joseph's identity was unknown to them, but during the second visit they 
 |  |  | were restored to him thus bringing their salvation from death by starvation. This may be a prophetic allusion to the 
 |  |  | people of Israel not recognizing their Savior King at His first visit, but being fully restored to Him at His second coming
time drew near | when | Acts 7:17-19 | the events of the Egytpian enslavement were divinely predicted and thus are following a God-ordained time table (Gen 15:13)
Moses… no ordinary child | who | Acts 7:20-22 | the earliest events of Moses life set him apart as a divine deliverer who would be Hebrew with an Egyptian education
powerful in speech and action | what | Acts 7:22 | it is interesting that Stephen sees Moses as powerful in speech when Moses doubted his speaking ability himself (Ex 4:10)
Moses first 40 years  | when | Acts 7:23-28 | Again, Stephen points out the change in geography for another main Old Testament character 
killing the Egyptian | what | Acts 7:24 | possibly stepping into his deliverer role too early, Moses attempts to do God's will (free His people) in his own strength
who made you ruler…? | what | Acts 7:27 | Stephen higlights the rejection of Moses by his fellow Israelites, though Moses was God's divinely appointed deliverer
 |  |  | the Israellites of his day did not recognize him as such and rejected him in their ignorance 
burning bush near Sinai | where | Acts 7:29-34 | Moses is "in the wilderness" for 40 years before the Lord appears to him to send him back to Egypt. The Lord appears 
 |  |  | in miraculous power (burning bush not consumed in Ex 3:3) and gives him furhter miracuous signs (Ex 4:1-17)
he was sent… their deliverer | what | Acts 7:35 | though the children of Israel had rejected Moses, God had selected him as the chosen deliverer of His people 
did wonders and signs | what | Acts 7:36 | Moses ministry as a deliverer included miracuous signs and wonders 
at the Red Sea & wilderness | where | Acts 7:36 | God's miraculous power not only saved His people from slavery, but provided for them until they could inherit the land 
 |  |  | even through their disobedience and resulting wandering, God did not stop providing for His people until they had eaten
