## Sheet: Sheet1
Observation | W | verse | , 
every year | when | Luke 2:41 | This was one of the three festivals Jewish males were required to attend, both Mary and Jesus attending is a show of piety 
his parents (Mary & Joseph)  | who | Luke 2:41 | the "parents" of the Savior. Mother the biological link to the Davidic line, Joseph the legal link to the Davidic line.
Jerusalem | where | Luke 2:41 | the captial city of Judea, home of the Temple, the center of Jewish religious life 
Festival of the Passover | what | Luke 2:41 | one of the "feasts" installed by God in Leviticus 23 to be celebrated the 14th day of the 1st month, remembered the Exodus
 |  |  | Passover is a single night (1/14), then 7 days for the Feast of Unleavened bread by Jesus day these were celebrated together
He (Jesus)  | who | Luke 2:42 | The Son of God, Son of Man, 2nd member of the Trinity, Promised Messiah, Savior of the World, Son of Joseph the Carpenter
12 years old | when | Luke 2:42 | this is the only reference to the Messiah's childhood after His birth. Jesus is clearly aware of His identity (v49)
 |  |  | there is no need for us to know anything about the childhood of the Savior because it's not theologically relevant for us
 |  |  | at the age of 13, a Jewish boy becomes a "son of the law" Jesus participating at age 12 is another sign of piety 
the festival was over | when | Luke 2:43 | this would be 8 days after Passover. 1 for Passover and 7 for the Feast of Unleavened Bread
returning home | where | Luke 2:43 | to Nazareth from Jerusalem, a distance of roughly 65 miles being travelled by foot or on the back of an animal 
they were unaware of it | what | Luke 2:43 | Mary & Joseph get a bad rap here, the "first family" would've been travelling in a large caravan (v44) with many boys 
traveled on for a day | what | Luke 2:44 | the total journey was 80 miles & would have taken around 4 days, one day was 25% of the total distance spent backtracking
three days  | when | Luke 2:46 | Jesus wasn't missing, they just hadn't found Him for the three days 
the teachers | who | Luke 2:46 | the scribes, pharisees, and teachers of the religious law, the upper and elite class of Jewish religious society 
listening & asking questions | what | Luke 2:46 | Jesus should not be pictured here as "teaching" them, He was still a young boy and was listening and responding as such 
amazed… understanding | what | Luke 2:47 | Jesus was both fully God and fully man, this meant He did expierence childhood and learning just as we do
… treated us like this | what | Luke 2:48 | Clearly, Mary was upset by the actions of the young Savior, this should not been seen however as sin or disobedience
your father and I  | what | Luke 2:49 | Mary sees Joseph as the "father" of the son even though she knows the child was conceived by the Holy Spirit (1:29-35)
my Father's house/business | what | Luke 2:50 | even as a young boy, the Savior has a clear grasp on His identity as the Son of God, interesting that he then chooses to grow
obedient to them | what | Luke 2:51 | up as a boy with full regard for his family and submission to His parents, he chose to submit to them as His parents 
treasured in her heart | what | Luke 2:51 | again, Luke is alluding to the source of his information for "carefully investigating" all his material (1:1-3)

## Sheet: Sheet2

## Sheet: Sheet3
